Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,94.90,95.50,94.80,95.45,204000,93.52
2014-02-25,94.85,95.00,94.35,95.00,219000,93.08
2014-02-24,94.95,95.00,94.25,94.45,255300,92.54
2014-02-21,95.25,95.25,94.60,94.80,211500,92.88
2014-02-20,94.35,95.35,94.15,94.70,244800,92.78
2014-02-19,93.65,94.70,93.20,94.50,171800,92.59
2014-02-18,93.70,94.20,92.95,93.60,234100,91.70
2014-02-17,93.00,94.45,93.00,94.30,183300,92.39
2014-02-14,91.95,92.65,91.50,92.40,221900,90.53
2014-02-13,91.95,92.10,90.55,92.10,344200,90.23
2014-02-12,90.80,91.90,90.60,91.35,268100,89.50
2014-02-11,90.35,90.90,90.05,90.65,611800,88.81
2014-02-10,90.60,90.60,89.60,89.70,146300,87.88
2014-02-07,89.25,90.00,88.75,89.95,158400,88.13
2014-02-06,88.95,89.35,88.20,88.55,328400,86.76
2014-02-05,87.80,88.40,87.20,88.25,255600,86.46
2014-02-04,87.70,87.95,86.75,87.30,178800,85.53
2014-02-03,88.00,88.70,87.30,87.70,175400,85.92
2014-01-31,88.50,89.60,87.30,87.85,156200,86.07
2014-01-30,87.75,89.35,87.40,88.10,240400,86.31
2014-01-29,89.50,89.90,87.65,87.75,173700,85.97
2014-01-28,89.00,89.15,87.20,88.65,109700,86.85
2014-01-27,88.50,88.75,87.35,88.35,149500,86.56
2014-01-24,89.15,89.75,88.10,88.10,104000,86.31
2014-01-23,89.90,90.25,89.35,89.45,161000,87.64
2014-01-22,89.55,90.00,89.30,89.90,143700,88.08
2014-01-21,89.85,90.25,89.50,89.60,104900,87.78
2014-01-20,89.50,90.25,89.35,89.60,81600,87.78
2014-01-17,88.20,90.60,88.20,90.00,294700,88.18
2014-01-16,88.45,88.45,87.70,88.20,106800,86.41
2014-01-15,87.75,89.10,87.65,88.45,167900,86.66
2014-01-14,87.70,87.80,87.00,87.40,146400,85.63
2014-01-13,88.30,88.85,88.05,88.05,126200,86.27
2014-01-10,87.05,88.30,87.05,88.15,139400,86.36
2014-01-09,87.00,87.40,86.85,87.30,155200,85.53
2014-01-08,87.70,87.70,86.60,86.95,132600,85.19
2014-01-07,87.15,87.30,86.55,87.10,198800,85.34
2014-01-06,86.40,86.40,86.40,86.40,000,84.65
2014-01-03,86.20,87.15,85.95,86.40,218900,84.65
2014-01-02,86.90,86.90,85.00,85.95,274600,84.21
2014-01-01,86.15,86.15,86.15,86.15,000,84.40
2013-12-31,86.15,86.15,86.15,86.15,000,84.40
2013-12-30,85.85,86.30,85.50,86.15,167900,84.40
2013-12-27,86.25,86.60,85.65,85.75,98600,84.01
2013-12-26,85.90,85.90,85.90,85.90,000,84.16
2013-12-25,85.90,85.90,85.90,85.90,000,84.16
2013-12-24,85.90,85.90,85.90,85.90,000,84.16
2013-12-23,84.80,86.05,84.80,85.90,115400,84.16
2013-12-20,85.60,85.85,84.80,85.30,299800,83.57
2013-12-19,84.90,85.75,84.45,85.75,173900,84.01
2013-12-18,83.55,84.40,83.20,83.95,117500,82.25
2013-12-17,84.00,84.40,83.45,83.45,169500,81.76
2013-12-16,84.20,84.85,84.00,84.00,108500,82.30
2013-12-13,84.15,85.05,84.00,84.00,195600,82.30
2013-12-12,84.55,84.55,83.90,84.35,174600,82.64
2013-12-11,85.75,85.85,84.00,84.00,190100,82.30
2013-12-10,85.40,86.15,85.00,85.65,302100,83.91
2013-12-09,85.00,85.40,84.45,85.30,214000,83.57
2013-12-06,83.55,84.95,83.55,84.55,306800,82.84
2013-12-05,84.25,84.40,83.60,83.60,105100,81.91
2013-12-04,84.15,85.00,83.75,83.90,143400,82.20
2013-12-03,84.75,84.90,83.80,84.25,184300,82.54
2013-12-02,85.05,85.35,84.75,84.80,109900,83.08
2013-11-29,85.50,85.95,85.00,85.00,314000,83.28
2013-11-28,85.25,85.65,84.45,85.20,122100,83.47
2013-11-27,85.25,85.40,84.80,85.25,62200,83.52
2013-11-26,84.75,85.05,84.35,85.05,128800,83.33
2013-11-25,85.75,85.75,84.75,84.75,92100,83.03
2013-11-22,85.15,85.25,84.75,85.25,79800,83.52
2013-11-21,85.50,85.80,84.70,85.10,122700,83.38
