Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,43.80,43.91,43.20,43.50,1160200,42.02
2014-02-25,43.08,43.95,42.97,43.95,2001900,42.45
2014-02-21,42.20,42.47,42.01,42.40,1186300,40.95
2014-02-20,41.75,42.00,41.59,42.00,1120000,40.57
2014-02-19,41.93,42.17,41.63,42.08,832100,40.65
2014-02-18,42.27,42.40,41.66,41.80,2010100,40.37
2014-02-17,41.09,42.11,41.05,41.98,1506000,40.55
2014-02-14,40.44,41.39,40.36,41.05,1798700,39.65
2014-02-13,40.77,40.79,40.03,40.24,1592700,38.87
2014-02-12,40.50,40.78,40.14,40.70,2355700,39.31
2014-02-11,39.90,40.46,39.89,40.46,2911400,39.08
2014-02-10,39.63,39.88,39.28,39.70,1829200,38.35
2014-02-07,39.54,40.00,39.06,39.21,1997900,37.87
2014-02-06,37.46,39.75,37.46,39.54,4526000,38.19
2014-02-05,37.10,37.46,37.04,37.46,2049200,36.18
2014-02-04,37.01,37.28,36.71,37.06,2015200,35.80
2014-02-03,38.09,38.24,37.24,37.37,1497200,36.10
2014-01-31,38.38,38.70,37.51,38.02,2172400,36.72
2014-01-30,38.76,38.90,38.06,38.58,1883500,37.26
2014-01-29,40.00,40.25,38.72,38.90,1948800,37.57
2014-01-28,39.45,39.89,39.28,39.85,942200,38.49
2014-01-27,39.88,39.89,39.14,39.41,1537200,38.07
2014-01-24,40.60,40.89,39.55,39.74,1687500,38.39
2014-01-23,40.90,41.61,40.54,40.67,2742900,39.28
2014-01-22,40.42,41.20,40.42,40.92,1351300,39.52
2014-01-21,40.41,40.73,40.19,40.39,1181600,39.01
2014-01-20,40.50,40.61,40.23,40.41,459700,39.03
2014-01-17,40.10,40.64,40.00,40.50,1542600,39.12
2014-01-16,40.50,40.51,40.07,40.12,999800,38.75
2014-01-15,40.27,40.71,40.19,40.49,2240000,39.11
2014-01-14,39.83,40.40,39.59,40.12,2226000,38.75
2014-01-13,39.72,40.42,39.54,39.94,1936900,38.58
2014-01-10,39.54,40.00,39.53,39.71,1483900,38.36
2014-01-09,38.99,40.00,38.73,39.38,3222800,38.04
2014-01-08,39.06,39.20,38.71,38.84,2462500,37.52
2014-01-07,39.14,39.16,38.67,39.10,1568200,37.77
2014-01-06,39.05,39.05,39.05,39.05,000,37.72
2014-01-03,38.42,39.23,38.42,39.05,1078000,37.72
2014-01-02,38.72,38.95,38.35,38.40,937300,37.09
2014-01-01,38.72,38.72,38.72,38.72,000,37.40
2013-12-31,38.72,38.72,38.72,38.72,000,37.40
2013-12-30,38.65,38.94,38.54,38.72,916100,37.40
2013-12-27,38.30,38.90,38.21,38.71,1051400,37.39
2013-12-26,38.19,38.19,38.19,38.19,000,36.89
2013-12-25,38.19,38.19,38.19,38.19,000,36.89
2013-12-24,38.19,38.19,38.19,38.19,000,36.89
2013-12-23,37.54,38.40,37.51,38.19,1844300,36.89
2013-12-20,37.17,37.71,36.84,37.54,1632000,36.26
2013-12-19,37.02,37.33,36.84,37.27,1580900,36.00
2013-12-18,36.68,37.26,36.56,36.75,1896000,35.50
2013-12-17,36.71,36.76,36.51,36.58,1747000,35.33
2013-12-16,37.11,37.29,36.40,36.76,2004500,35.51
2013-12-13,37.35,37.74,37.06,37.06,1052900,35.80
2013-12-12,38.14,38.19,37.12,37.16,2087500,35.89
2013-12-11,37.22,38.37,37.03,37.98,1904800,36.69
2013-12-10,37.18,37.60,37.12,37.36,1252100,36.09
2013-12-09,37.99,38.00,37.28,37.48,1069100,36.20
2013-12-06,37.70,37.90,37.37,37.77,841800,36.48
2013-12-05,37.40,38.00,37.31,37.63,858400,36.35
2013-12-04,38.10,38.17,37.15,37.50,1342300,36.22
2013-12-03,39.00,39.10,37.88,38.10,1575700,36.80
2013-12-02,39.33,39.41,39.02,39.11,612800,37.78
2013-11-29,39.45,39.65,39.23,39.37,1379900,38.03
2013-11-28,39.20,39.86,39.15,39.45,1415600,38.11
2013-11-27,39.20,39.38,39.00,39.20,1800600,37.86
2013-11-26,39.34,39.64,39.23,39.37,1286000,38.03
2013-11-25,39.31,39.79,39.29,39.38,575800,38.04
2013-11-22,39.23,39.39,38.95,39.21,769200,37.87
2013-11-21,39.17,39.35,38.91,39.23,900100,37.89
2013-11-20,39.28,39.49,39.00,39.27,696700,37.93
2013-11-19,39.07,39.48,38.91,39.36,2693100,38.02
2013-11-18,39.11,39.44,39.06,39.13,1145600,37.80
2013-11-15,38.88,39.25,38.80,39.08,796100,37.75
2013-11-14,39.32,39.36,38.60,38.97,1611100,37.64
2013-11-13,39.56,39.63,39.01,39.11,1551400,37.78
2013-11-12,39.70,39.98,39.49,39.60,1363900,38.25
2013-11-11,39.55,39.66,39.40,39.64,1015400,38.29
2013-11-08,39.41,39.49,39.02,39.26,1375600,37.92
2013-11-07,39.31,39.57,39.06,39.40,1534500,38.06
2013-11-06,39.01,39.38,39.01,39.13,1030700,37.80
2013-11-05,38.84,39.07,38.74,38.97,2152300,37.64
2013-11-04,38.00,38.75,37.99,38.74,1151600,37.42
2013-11-01,38.25,38.25,37.65,37.87,678600,36.58
2013-10-31,38.46,38.51,38.00,38.12,1445500,36.82
2013-10-30,38.52,38.80,38.44,38.51,1115900,37.20
2013-10-29,38.00,38.43,37.98,38.40,1781800,37.09
2013-10-28,38.71,38.71,37.62,38.11,2238900,36.81
2013-10-25,38.69,39.29,38.00,38.70,3565300,37.38
2013-10-24,41.25,41.50,38.01,38.47,11862600,37.16
2013-10-23,43.98,44.25,43.50,44.10,1942000,42.60
2013-10-22,43.05,44.40,42.82,44.05,2344700,42.55
2013-10-21,43.06,43.54,43.06,43.10,2217600,41.63
2013-10-18,41.93,43.09,41.93,43.00,2424300,41.53
2013-10-17,41.25,41.95,41.20,41.91,1921900,40.48
