Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,24.80,27.50,24.80,26.90,17700,26.90
2014-02-25,24.50,25.00,24.00,24.50,21300,24.50
2014-02-24,26.40,26.40,24.00,24.50,22000,24.50
2014-02-21,27.20,27.20,26.50,26.50,15700,26.50
2014-02-20,28.00,28.30,24.00,28.20,33300,28.20
2014-02-19,30.60,30.60,28.50,28.60,15700,28.60
2014-02-18,31.50,33.90,30.40,30.70,15900,30.70
2014-02-17,30.70,32.00,30.70,31.40,7300,31.40
2014-02-14,31.50,31.70,30.30,30.60,5200,30.60
2014-02-13,31.00,31.40,30.40,31.20,12400,31.20
2014-02-12,31.40,31.40,30.00,30.80,8300,30.80
2014-02-11,31.90,31.90,30.80,31.80,1200,31.80
2014-02-10,32.00,32.00,29.90,31.70,5100,31.70
2014-02-07,31.00,31.90,31.00,31.70,8400,31.70
2014-02-06,29.70,31.00,28.70,30.40,3600,30.40
2014-02-05,30.00,31.80,28.00,29.70,11800,29.70
2014-02-04,29.80,30.10,27.40,29.90,24600,29.90
2014-02-03,32.50,32.50,29.20,30.00,18600,30.00
2014-01-31,33.50,33.90,30.40,32.70,18800,32.70
2014-01-30,34.90,34.90,32.70,33.70,5800,33.70
2014-01-29,35.50,35.50,33.50,34.50,11800,34.50
2014-01-28,36.00,36.20,35.10,35.50,3200,35.50
2014-01-27,36.60,36.60,36.00,36.30,1600,36.30
2014-01-24,36.40,36.60,35.20,36.50,11100,36.50
2014-01-23,36.00,37.00,35.50,36.60,6700,36.60
2014-01-22,36.70,36.70,35.40,36.70,6200,36.70
2014-01-21,36.80,36.80,35.20,36.70,5500,36.70
2014-01-20,35.00,37.60,35.00,36.70,27700,36.70
2014-01-17,35.10,35.80,34.20,34.50,10000,34.50
2014-01-16,33.50,35.00,33.40,34.90,18500,34.90
2014-01-15,33.80,33.90,33.20,33.40,6400,33.40
2014-01-14,34.40,34.40,33.00,33.80,9700,33.80
2014-01-13,35.00,35.00,34.30,34.50,12400,34.50
2014-01-10,35.90,35.90,35.50,35.50,1100,35.50
2014-01-09,36.00,36.00,35.00,35.80,15100,35.80
2014-01-08,35.50,35.90,35.50,35.90,10100,35.90
2014-01-07,36.00,36.00,34.00,35.70,5800,35.70
2014-01-06,34.90,34.90,34.90,34.90,000,34.90
2014-01-03,35.00,35.30,33.20,34.90,18500,34.90
2014-01-02,33.00,34.60,32.00,33.50,12800,33.50
2014-01-01,32.90,32.90,32.90,32.90,000,32.90
2013-12-31,32.90,32.90,32.90,32.90,000,32.90
2013-12-30,33.00,33.90,32.00,32.90,12200,32.90
2013-12-27,33.00,33.00,32.30,33.00,7000,33.00
2013-12-26,33.00,33.00,33.00,33.00,000,33.00
2013-12-25,33.00,33.00,33.00,33.00,000,33.00
2013-12-24,33.00,33.00,33.00,33.00,000,33.00
2013-12-23,32.50,33.30,32.50,33.00,8200,33.00
2013-12-20,33.90,34.60,32.40,33.00,10100,33.00
2013-12-19,33.00,34.50,32.50,34.00,5900,34.00
2013-12-18,32.50,33.90,32.50,33.00,9400,33.00
2013-12-17,32.90,33.80,32.00,33.30,17000,33.30
2013-12-16,32.50,33.50,31.90,32.90,5200,32.90
2013-12-13,33.80,34.00,32.50,34.00,2600,34.00
2013-12-12,33.10,35.00,32.70,34.00,11000,34.00
2013-12-11,36.50,36.50,34.00,34.30,24200,34.30
2013-12-10,35.80,38.00,33.10,36.50,19200,36.50
2013-12-09,39.30,39.30,35.80,35.80,29900,35.80
2013-12-06,38.90,40.00,37.00,39.30,34400,39.30
2013-12-05,37.50,49.60,37.50,38.20,187900,38.20
2013-12-04,34.60,38.00,34.50,37.80,50500,37.80
2013-12-03,32.70,36.00,32.00,34.50,32900,34.50
2013-12-02,30.80,33.00,30.10,33.00,61500,33.00
2013-11-29,29.70,29.70,29.30,29.70,19300,29.70
2013-11-28,29.90,30.50,29.00,29.70,23100,29.70
2013-11-27,29.40,29.80,28.70,29.70,12700,29.70
2013-11-26,28.70,29.50,28.70,29.40,10500,29.40
2013-11-25,28.70,29.60,28.50,28.60,4100,28.60
2013-11-22,28.50,28.90,27.80,28.80,14800,28.80
2013-11-21,29.40,30.50,28.30,28.60,9500,28.60
2013-11-20,29.90,29.90,28.30,29.40,6200,29.40
2013-11-19,29.00,29.10,28.30,29.10,8200,29.10
2013-11-18,30.50,30.50,28.80,28.80,10200,28.80
2013-11-15,29.20,30.00,29.10,29.80,16200,29.80
2013-11-14,28.00,30.40,28.00,30.40,21500,30.40
2013-11-13,28.10,29.00,28.00,28.10,4900,28.10
2013-11-12,28.30,29.20,28.20,29.20,12400,29.20
2013-11-11,30.00,30.00,28.00,28.80,31700,28.80
2013-11-08,29.50,30.60,29.50,30.00,11300,30.00
2013-11-07,31.00,31.10,30.80,30.80,5000,30.80
2013-11-06,31.00,32.00,30.30,31.00,10300,31.00
2013-11-05,31.00,33.20,29.80,32.40,21300,32.40
2013-11-04,31.20,31.50,30.60,31.00,8100,31.00
2013-11-01,31.00,31.00,30.50,30.50,4200,30.50
2013-10-31,31.80,31.80,30.50,31.50,6400,31.50
2013-10-30,31.80,32.00,31.80,31.80,2500,31.80
2013-10-29,32.40,32.40,31.30,32.00,8700,32.00
2013-10-28,32.90,32.90,31.60,32.50,18900,32.50
2013-10-25,32.40,33.70,30.70,32.80,32300,32.80
2013-10-24,31.00,31.00,30.10,30.90,8100,30.90
2013-10-23,29.20,31.00,29.20,30.80,75400,30.80
2013-10-22,30.00,30.70,29.30,29.50,4500,29.50
2013-10-21,30.30,30.30,29.10,29.40,10400,29.40
2013-10-18,30.80,30.80,29.00,29.10,4000,29.10
2013-10-17,30.00,30.80,29.10,30.70,12000,30.70
2013-10-16,30.50,31.00,29.00,30.00,46500,30.00
2013-10-15,30.00,30.50,29.50,30.50,10000,30.50
2013-10-14,31.20,31.20,29.00,29.00,6900,29.00
2013-10-11,30.00,30.80,29.00,30.00,12000,30.00
2013-10-10,26.80,30.00,26.80,29.50,25700,29.50
2013-10-09,28.40,28.40,25.90,26.80,47500,26.80
2013-10-08,30.80,30.80,28.20,28.50,41600,28.50
2013-10-07,31.50,31.60,30.30,30.90,9700,30.90
2013-10-04,30.10,31.00,30.10,31.00,9500,31.00
2013-10-03,31.20,31.70,30.20,31.00,24100,31.00
