Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,206.10,208.10,205.00,206.60,572100,201.47
2014-02-25,205.00,206.90,204.60,206.50,120200,201.37
2014-02-21,204.50,205.60,202.20,203.60,210900,198.54
2014-02-20,200.70,204.50,199.30,203.90,344900,198.84
2014-02-19,202.00,203.00,200.60,201.60,205500,196.59
2014-02-18,199.80,201.50,199.40,201.50,216600,196.50
2014-02-17,199.60,201.10,199.60,200.70,1069300,195.72
2014-02-14,195.30,200.00,195.30,198.70,196200,193.77
2014-02-13,194.60,196.50,194.00,195.60,306200,190.74
2014-02-12,191.50,198.60,191.50,194.90,710300,190.06
2014-02-11,183.50,185.30,182.60,185.20,133700,180.60
2014-02-10,183.90,183.90,181.30,182.60,94600,178.07
2014-02-07,176.10,182.50,176.10,182.50,500600,177.97
2014-02-06,175.80,178.80,175.50,175.70,187400,171.34
2014-02-05,173.60,176.10,172.80,175.70,151300,171.34
2014-02-04,172.50,174.70,170.70,173.60,116300,169.29
2014-02-03,176.10,177.70,173.00,173.20,164500,168.90
2014-01-31,177.70,179.60,173.50,175.40,129500,171.05
2014-01-30,175.10,178.50,174.20,177.70,104900,173.29
2014-01-29,175.80,179.00,172.00,175.60,199500,171.24
2014-01-28,173.40,175.70,172.00,175.50,105100,171.14
2014-01-27,175.00,175.10,172.00,173.10,166800,168.80
2014-01-24,180.20,181.90,175.20,176.50,218000,172.12
2014-01-23,183.50,185.20,180.60,181.10,220500,176.60
2014-01-22,184.30,185.70,182.40,182.80,117900,178.26
2014-01-21,183.00,186.00,182.10,184.30,192700,179.72
2014-01-20,183.20,184.00,181.20,184.00,224500,179.43
2014-01-17,182.10,185.00,182.00,185.00,135200,180.41
2014-01-16,183.00,183.00,180.50,180.50,142500,176.02
2014-01-15,176.40,183.50,176.40,183.00,230300,178.46
2014-01-14,179.00,179.00,176.10,176.40,353700,172.02
2014-01-13,180.70,181.90,179.90,179.90,214800,175.43
2014-01-10,178.00,180.70,178.00,180.70,148800,176.21
2014-01-09,179.50,180.00,177.90,178.00,307000,173.58
2014-01-08,182.10,182.80,179.50,179.50,129000,175.04
2014-01-07,183.70,184.00,181.60,182.10,119200,177.58
2014-01-06,183.70,183.70,183.70,183.70,000,179.14
2014-01-03,182.30,184.50,181.10,183.70,117200,179.14
2014-01-02,181.50,183.50,181.50,182.80,133200,178.26
2014-01-01,181.50,181.50,181.50,181.50,000,176.99
2013-12-31,181.50,181.50,181.50,181.50,000,176.99
2013-12-30,182.00,183.00,181.00,181.50,95200,176.99
2013-12-27,182.00,183.00,180.50,181.50,122300,176.99
2013-12-26,181.00,181.00,181.00,181.00,000,176.51
2013-12-25,181.00,181.00,181.00,181.00,000,176.51
2013-12-24,181.00,181.00,181.00,181.00,000,176.51
2013-12-23,178.50,181.00,178.00,181.00,68000,176.51
2013-12-20,177.00,179.00,175.50,178.50,142700,174.07
2013-12-19,173.00,177.00,173.00,176.50,112600,172.12
2013-12-18,171.50,174.00,171.50,172.50,176300,168.22
2013-12-17,174.00,174.50,171.50,172.00,144200,167.73
2013-12-16,171.50,174.50,171.50,174.00,126400,169.68
2013-12-13,170.50,174.00,170.00,171.50,160300,167.24
2013-12-12,173.50,174.50,170.00,170.00,193600,165.78
2013-12-11,174.50,176.50,173.50,174.00,160100,169.68
2013-12-10,173.50,177.00,173.50,174.00,408700,169.68
2013-12-09,172.50,174.50,172.00,174.00,378400,169.68
2013-12-06,173.00,173.00,169.00,172.00,423300,167.73
2013-12-05,170.00,174.00,169.50,172.00,425800,167.73
2013-12-04,174.00,174.50,170.00,170.50,372500,166.27
2013-12-03,180.00,180.00,170.50,173.50,616900,169.19
2013-12-02,185.00,185.50,178.00,179.50,427900,175.04
2013-11-29,186.50,188.00,185.00,185.00,148400,180.41
2013-11-28,187.50,188.00,186.00,186.50,77500,181.87
2013-11-27,185.50,187.50,185.00,187.00,83600,182.36
2013-11-26,183.50,185.50,183.00,185.00,106900,180.41
2013-11-25,183.00,184.50,180.00,184.00,134300,179.43
2013-11-22,182.50,183.50,181.00,182.00,225200,177.48
2013-11-21,184.50,186.00,182.00,182.50,172400,177.97
2013-11-20,184.50,187.00,183.00,185.00,84800,180.41
2013-11-19,185.50,187.00,183.50,184.50,133600,179.92
2013-11-18,185.50,188.50,184.50,185.50,182000,180.89
2013-11-15,185.00,186.50,185.00,185.50,93500,180.89
2013-11-14,187.00,187.50,180.50,185.50,347900,180.89
2013-11-13,189.00,190.00,185.50,186.00,526600,181.38
2013-11-12,188.50,190.00,187.00,189.50,437900,184.79
2013-11-11,186.00,189.00,185.50,188.50,122400,183.82
2013-11-08,188.00,188.50,185.50,185.50,138500,180.89
2013-11-07,188.50,191.50,188.50,189.50,216400,184.79
2013-11-06,187.00,190.50,186.50,188.00,193300,183.33
2013-11-05,187.50,189.50,186.00,186.00,115800,181.38
2013-11-04,184.50,189.50,184.50,187.50,227400,182.84
2013-11-01,185.50,186.00,184.00,184.00,62000,179.43
2013-10-31,186.00,186.50,184.00,185.00,130000,180.41
2013-10-30,184.50,186.00,184.00,186.00,266200,181.38
2013-10-29,185.00,186.50,184.00,184.50,194200,179.92
2013-10-28,188.50,189.00,185.50,185.50,221000,180.89
2013-10-25,184.50,189.50,184.00,187.50,528900,182.84
2013-10-24,197.00,200.50,183.00,184.50,641600,179.92
2013-10-23,194.50,197.00,194.50,197.00,77300,192.11
2013-10-22,197.00,197.50,193.50,195.00,138900,190.16
2013-10-21,197.00,199.00,195.50,196.50,142000,191.62
2013-10-18,194.00,197.50,194.00,197.50,160800,192.60
2013-10-17,192.50,194.00,192.00,193.00,131500,188.21
2013-10-16,187.00,192.00,185.50,192.00,172800,187.23
2013-10-15,188.50,190.50,186.50,189.00,171400,184.31
2013-10-14,188.50,188.50,185.50,187.50,157800,182.84
2013-10-11,190.00,191.00,188.50,189.00,142600,184.31
2013-10-10,184.50,189.50,184.50,189.50,426600,184.79
2013-10-09,185.00,186.00,183.00,183.50,145800,178.94
2013-10-08,184.50,187.00,184.50,185.00,312900,180.41
2013-10-07,184.00,185.50,182.50,185.00,138600,180.41
2013-10-04,186.00,186.00,184.00,184.50,205900,179.92
2013-10-03,185.00,187.00,184.00,186.50,293400,181.87
2013-10-02,188.50,188.50,184.50,185.50,375700,180.89
2013-10-01,186.50,190.50,186.00,190.00,201700,185.28
2013-09-30,185.50,187.50,184.00,187.00,215500,182.36
2013-09-27,188.00,188.50,186.50,187.50,107800,182.84
2013-09-26,188.50,188.50,187.50,188.50,89600,183.82
2013-09-25,188.00,188.50,186.50,188.00,88700,183.33
2013-09-24,187.00,189.00,186.50,188.50,106700,183.82
2013-09-23,189.00,189.50,187.50,187.50,266700,182.84
