Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,3.78,3.80,3.72,3.75,506800,3.75
2014-02-25,3.94,3.94,3.78,3.83,1067300,3.83
2014-02-24,3.69,3.86,3.54,3.84,1545000,3.84
2014-02-21,3.65,3.84,3.58,3.67,2060600,3.67
2014-02-20,4.35,4.43,3.52,3.54,8987300,3.54
2014-02-19,3.45,4.29,3.39,4.15,11347300,4.15
2014-02-18,3.26,3.41,3.26,3.40,1186600,3.40
2014-02-17,3.23,3.29,3.14,3.25,631200,3.25
2014-02-14,3.39,3.40,3.14,3.22,1436500,3.22
2014-02-13,3.18,3.50,3.03,3.35,1472200,3.35
2014-02-12,3.33,3.33,3.18,3.20,1472300,3.20
2014-02-11,3.36,3.38,3.24,3.33,1758400,3.33
2014-02-10,3.66,3.66,3.28,3.40,5741000,3.40
2014-02-07,3.10,3.55,2.98,3.51,7247600,3.51
2014-02-06,2.68,2.97,2.65,2.97,2081300,2.97
2014-02-05,2.78,2.90,2.65,2.67,1314600,2.67
2014-02-04,2.70,2.79,2.62,2.79,2029200,2.79
2014-02-03,3.23,3.23,2.83,2.85,3394500,2.85
2014-01-31,3.40,3.46,2.90,3.15,10422300,3.15
2014-01-30,2.70,3.15,2.25,3.15,15134900,3.15
2014-01-29,3.60,3.66,2.62,2.79,12576200,2.79
2014-01-28,3.50,3.91,3.40,3.60,5616200,3.60
2014-01-27,3.95,4.05,3.04,3.65,14541800,3.65
2014-01-24,4.22,4.78,3.68,3.85,13134900,3.85
2014-01-23,5.90,6.25,4.00,4.10,18267100,4.10
2014-01-22,6.30,6.90,5.30,5.70,13324500,5.70
2014-01-21,7.70,9.30,6.15,8.00,10108800,8.00
2014-01-20,6.45,10.05,6.45,7.45,8687200,7.45
2014-01-17,5.65,7.00,5.00,6.30,7492800,6.30
2014-01-16,3.75,6.40,3.75,5.70,8320600,5.70
2014-01-15,3.08,3.70,2.95,3.69,2703200,3.69
2014-01-14,2.85,3.08,2.70,3.08,488400,3.08
2014-01-13,3.05,3.05,2.59,2.81,1143400,2.81
2014-01-10,3.10,3.25,3.02,3.06,1658700,3.06
2014-01-09,3.00,3.15,2.82,3.08,1869000,3.08
2014-01-08,2.46,3.18,2.30,2.90,2611400,2.90
2014-01-07,1.70,2.49,1.69,2.49,2058300,2.49
2014-01-06,1.68,1.68,1.68,1.68,000,1.68
2014-01-03,1.56,1.68,1.53,1.68,565600,1.68
2014-01-02,1.41,1.57,1.40,1.51,233500,1.51
2014-01-01,1.40,1.40,1.40,1.40,000,1.40
2013-12-31,1.40,1.40,1.40,1.40,000,1.40
2013-12-30,1.47,1.54,1.36,1.40,575100,1.40
2013-12-27,1.65,1.65,1.43,1.47,356800,1.47
2013-12-26,1.62,1.62,1.62,1.62,000,1.62
2013-12-25,1.62,1.62,1.62,1.62,000,1.62
2013-12-24,1.62,1.62,1.62,1.62,000,1.62
2013-12-23,1.69,1.69,1.55,1.62,368100,1.62
2013-12-20,1.63,1.69,1.57,1.63,686800,1.63
2013-12-19,1.40,1.71,1.40,1.57,477000,1.57
2013-12-18,1.34,1.40,1.30,1.38,358600,1.38
2013-12-17,1.36,1.37,1.30,1.35,203200,1.35
2013-12-16,1.30,1.40,1.20,1.32,213900,1.32
2013-12-13,1.10,1.49,1.08,1.28,1443500,1.28
2013-12-12,1.08,1.11,1.05,1.09,330900,1.09
2013-12-11,1.10,1.16,1.06,1.07,357900,1.07
2013-12-10,1.22,1.22,1.08,1.12,1102300,1.12
2013-12-09,1.29,1.29,1.16,1.21,657100,1.21
2013-12-06,1.17,1.44,1.12,1.22,2091500,1.22
2013-12-05,1.37,1.40,1.15,1.17,2368600,1.17
2013-12-04,1.70,1.93,1.25,1.37,7031800,1.37
2013-12-03,0.69,1.82,0.69,1.61,9962100,1.61
2013-12-02,0.68,0.68,0.55,0.55,262600,0.55
