Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,68.50,69.50,68.00,68.50,8400,65.26
2014-02-25,68.75,69.00,67.75,68.50,21400,65.26
2014-02-21,66.50,67.00,66.00,66.50,19200,63.36
2014-02-20,67.00,68.25,66.50,66.50,40200,63.36
2014-02-19,66.75,67.00,64.75,66.25,47400,63.12
2014-02-18,66.50,67.00,65.50,66.00,80400,62.88
2014-02-17,65.00,66.00,64.25,65.75,42500,62.64
2014-02-14,60.25,65.25,60.25,63.75,37700,60.74
2014-02-13,62.50,64.00,62.50,64.00,21600,60.97
2014-02-12,62.00,62.75,61.25,62.50,17400,59.55
2014-02-11,59.00,62.25,59.00,62.25,27700,59.31
2014-02-10,61.00,61.00,60.00,61.00,5800,58.12
2014-02-07,58.00,61.00,58.00,61.00,87000,58.12
2014-02-06,58.25,58.25,57.00,57.00,27300,54.31
2014-02-05,57.00,58.25,57.00,58.25,8100,55.50
2014-02-04,57.75,57.75,56.50,56.50,25400,53.83
2014-02-03,58.50,58.50,58.00,58.50,253600,55.73
2014-01-31,58.50,59.25,58.00,58.50,4200,55.73
2014-01-30,58.50,58.50,57.50,58.50,4700,55.73
2014-01-29,59.50,60.00,58.50,58.75,7100,55.97
2014-01-28,58.75,59.00,58.25,59.00,1900,56.21
2014-01-27,59.75,59.75,58.00,58.00,54000,55.26
2014-01-24,61.00,61.50,58.50,58.50,31500,55.73
2014-01-23,60.75,63.00,60.00,60.25,22000,57.40
2014-01-22,62.75,62.75,60.75,61.00,194800,58.12
2014-01-21,62.75,63.50,62.75,63.25,19400,60.26
2014-01-20,62.75,63.00,62.75,62.75,12000,59.78
2014-01-17,61.50,63.00,61.50,63.00,46900,60.02
2014-01-16,60.50,61.50,60.50,61.50,73100,58.59
2014-01-15,60.25,61.00,59.50,59.75,29700,56.93
2014-01-14,60.75,61.00,59.25,60.50,11100,57.64
2014-01-13,60.25,61.00,59.75,60.00,17200,57.16
2014-01-10,57.50,60.50,57.50,60.50,47600,57.64
2014-01-09,57.00,58.00,57.00,57.50,9300,54.78
2014-01-08,57.00,57.50,57.00,57.50,12800,54.78
2014-01-07,57.50,57.75,56.50,57.00,3100,54.31
2014-01-06,57.25,57.25,57.25,57.25,000,54.54
2014-01-03,57.00,57.50,56.50,57.25,3100,54.54
2014-01-02,55.00,57.00,55.00,57.00,6200,54.31
2014-01-01,57.50,57.50,57.50,57.50,000,54.78
2013-12-31,57.50,57.50,57.50,57.50,000,54.78
2013-12-30,56.00,57.50,55.75,57.50,21800,54.78
