Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,132.75,132.75,131.00,131.00,800,131.00
2014-02-25,131.50,133.00,131.50,131.50,7100,131.50
2014-02-24,130.00,131.50,130.00,131.50,27500,131.50
2014-02-21,131.00,131.50,128.00,130.75,9600,130.75
2014-02-20,127.25,129.50,125.25,129.50,3900,129.50
2014-02-19,124.50,127.50,123.75,127.50,8500,127.50
2014-02-18,126.25,126.25,124.50,124.50,1900,124.50
2014-02-17,125.00,125.25,124.00,124.00,1700,124.00
2014-02-14,123.00,124.00,122.75,123.00,1200,123.00
2014-02-13,124.75,124.75,123.00,123.00,1000,123.00
2014-02-12,125.00,125.00,123.25,123.25,2100,123.25
2014-02-11,124.50,126.00,121.25,124.25,12900,124.25
2014-02-10,121.00,121.00,117.50,120.25,6600,120.25
2014-02-07,122.00,122.00,120.00,121.00,3900,121.00
2014-02-06,122.25,122.50,121.00,121.50,64900,121.50
2014-02-05,120.25,122.50,120.00,120.75,2600,120.75
2014-02-04,124.75,124.75,118.00,119.00,6000,119.00
2014-02-03,125.00,126.25,122.00,122.00,5900,122.00
2014-01-31,124.00,126.00,124.00,124.75,3000,124.75
2014-01-30,127.25,127.25,123.25,124.00,5100,124.00
2014-01-29,122.50,122.50,119.50,121.50,9200,121.50
2014-01-28,121.00,121.50,120.50,121.50,3500,121.50
2014-01-27,119.00,120.50,118.75,120.50,10100,120.50
2014-01-24,124.50,124.50,119.00,120.00,4600,120.00
2014-01-23,123.00,123.00,120.50,123.00,5800,123.00
2014-01-22,116.75,122.00,116.75,122.00,7700,122.00
2014-01-21,122.25,123.00,119.75,120.00,4800,120.00
2014-01-20,118.00,122.00,117.75,122.00,8200,122.00
2014-01-17,119.00,119.00,116.50,118.00,35500,118.00
2014-01-16,120.50,120.50,119.25,119.25,4000,119.25
2014-01-15,114.50,122.00,114.50,121.00,13700,121.00
2014-01-14,115.00,116.00,113.00,113.75,1700,113.75
2014-01-13,114.25,116.00,113.00,116.00,6000,116.00
2014-01-10,113.75,115.25,112.50,113.25,11500,113.25
2014-01-09,116.75,117.25,114.50,114.50,7900,114.50
2014-01-08,116.00,117.00,115.00,116.75,12300,116.75
2014-01-07,116.75,118.50,116.00,116.00,35300,116.00
2014-01-06,116.25,116.25,116.25,116.25,000,116.25
2014-01-03,116.75,116.75,116.25,116.25,100,116.25
2014-01-02,118.00,118.50,114.25,117.00,5200,117.00
2014-01-01,117.00,117.00,117.00,117.00,000,117.00
2013-12-31,117.00,117.00,117.00,117.00,000,117.00
2013-12-30,118.00,118.50,116.75,117.00,2400,117.00
2013-12-27,117.50,118.25,117.00,118.00,7400,118.00
2013-12-26,117.50,117.50,117.50,117.50,000,117.50
2013-12-25,117.50,117.50,117.50,117.50,000,117.50
2013-12-24,117.50,117.50,117.50,117.50,000,117.50
2013-12-23,116.75,118.00,116.75,117.50,6700,117.50
2013-12-20,114.00,116.75,112.50,116.75,12900,116.75
2013-12-19,106.00,114.25,106.00,114.25,10600,114.25
2013-12-18,106.50,106.50,105.25,106.25,7400,106.25
2013-12-17,108.50,109.00,105.00,105.50,5900,105.50
2013-12-16,109.25,110.75,108.50,108.75,30600,108.75
2013-12-13,107.00,111.00,107.00,109.25,5500,109.25
2013-12-12,107.00,107.00,102.50,106.75,11800,106.75
2013-12-11,105.75,108.50,105.50,108.50,1800,108.50
2013-12-10,105.25,108.25,105.25,107.00,12000,107.00
2013-12-09,109.00,109.25,105.00,105.00,1500,105.00
2013-12-06,109.50,109.50,107.75,109.25,1800,109.25
2013-12-05,107.00,109.75,106.75,109.25,2200,109.25
2013-12-04,109.25,109.25,107.75,107.75,1300,107.75
2013-12-03,109.75,109.75,109.50,109.75,300,109.75
2013-12-02,110.25,111.00,108.25,110.25,4700,110.25
2013-11-29,110.00,111.00,109.50,109.50,3600,109.50
2013-11-28,111.25,111.25,109.00,110.25,3300,110.25
2013-11-27,113.50,114.00,112.00,112.00,103200,112.00
2013-11-26,112.50,113.75,112.50,113.75,2300,113.75
2013-11-25,114.75,114.75,111.75,112.00,2100,112.00
2013-11-22,111.00,111.50,111.00,111.50,300,111.50
2013-11-21,111.00,112.00,109.75,111.75,1400,111.75
2013-11-20,109.25,111.50,109.25,110.75,5400,110.75
2013-11-19,108.50,109.50,107.50,109.50,44000,109.50
2013-11-18,108.50,112.00,108.50,108.50,5100,108.50
