Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,155.50,157.00,155.50,157.00,41800,151.90
2014-02-25,155.50,156.00,155.00,155.50,83100,150.45
2014-02-24,154.50,157.50,154.50,156.50,118300,151.42
2014-02-21,154.00,155.50,153.50,155.00,32400,149.97
2014-02-20,151.50,154.50,150.50,154.00,1230800,149.00
2014-02-19,150.00,152.00,149.50,152.00,41100,147.06
2014-02-18,149.25,150.50,149.00,150.50,184200,145.61
2014-02-17,149.75,150.50,149.00,150.00,133300,145.13
2014-02-14,146.00,149.75,145.75,149.75,38500,144.89
2014-02-13,150.00,150.00,144.00,146.00,53100,141.26
2014-02-12,147.00,149.75,147.00,149.25,86700,144.40
2014-02-11,147.50,148.00,146.50,146.75,42500,141.99
2014-02-10,144.00,147.00,144.00,147.00,64800,142.23
2014-02-07,148.25,148.75,142.75,143.50,390100,138.84
2014-02-06,149.75,151.50,147.75,148.75,100000,143.92
2014-02-05,160.00,160.00,147.00,148.50,415600,143.68
2014-02-04,148.25,149.75,141.00,148.25,405700,143.44
2014-02-03,155.00,156.00,151.00,152.00,92100,147.06
2014-01-31,156.00,157.50,153.50,155.00,44100,149.97
2014-01-30,158.00,158.00,155.00,156.50,45400,151.42
2014-01-29,161.50,164.00,157.50,158.00,186600,152.87
2014-01-28,158.50,162.50,158.50,161.00,38100,155.77
2014-01-27,156.00,158.50,153.00,158.00,55900,152.87
2014-01-24,161.00,161.50,157.00,157.50,38400,152.39
2014-01-23,163.50,165.00,160.50,161.00,34800,155.77
2014-01-22,164.50,166.50,164.00,164.00,100500,158.68
2014-01-21,165.00,166.50,164.00,164.50,122600,159.16
2014-01-20,165.00,166.50,164.00,165.50,55700,160.13
2014-01-17,165.00,166.00,163.00,165.00,48700,159.64
2014-01-16,162.00,166.00,158.00,166.00,458000,160.61
2014-01-15,157.50,162.50,157.00,162.00,262800,156.74
2014-01-14,154.00,158.50,153.50,157.50,148600,152.39
2014-01-13,155.00,158.00,154.00,155.50,79500,150.45
2014-01-10,153.00,154.50,150.00,154.50,387600,149.48
2014-01-09,151.50,152.50,151.00,151.50,15800,146.58
2014-01-08,151.00,152.00,151.00,152.00,60300,147.06
2014-01-07,151.00,152.00,150.50,151.00,93600,146.10
2014-01-06,151.00,151.00,151.00,151.00,000,146.10
2014-01-03,151.00,152.50,150.50,151.00,77200,146.10
2014-01-02,152.50,153.50,149.50,150.50,74100,145.61
2014-01-01,152.50,152.50,152.50,152.50,000,147.55
2013-12-31,152.50,152.50,152.50,152.50,000,147.55
2013-12-30,154.50,155.00,152.50,152.50,83600,147.55
2013-12-27,153.00,154.50,153.00,154.00,44400,149.00
2013-12-26,152.50,152.50,152.50,152.50,000,147.55
2013-12-25,152.50,152.50,152.50,152.50,000,147.55
2013-12-24,152.50,152.50,152.50,152.50,000,147.55
2013-12-23,151.00,152.50,151.00,152.50,205900,147.55
2013-12-20,152.00,153.00,150.00,151.50,91800,146.58
2013-12-19,148.00,152.00,148.00,152.00,22100,147.06
2013-12-18,149.00,149.50,147.25,148.00,44200,143.19
2013-12-17,147.00,150.00,147.00,149.00,37500,144.16
2013-12-16,145.50,149.00,145.50,147.00,65100,142.23
2013-12-13,146.25,147.50,146.00,147.50,76200,142.71
2013-12-12,147.00,147.25,144.00,147.00,126100,142.23
2013-12-11,147.50,148.50,145.75,147.25,110100,142.47
2013-12-10,150.50,151.50,148.00,148.50,65700,143.68
2013-12-09,155.00,155.00,150.50,151.50,29800,146.58
2013-12-06,151.50,154.00,150.50,154.00,79100,149.00
2013-12-05,148.50,151.50,147.75,151.50,49400,146.58
2013-12-04,150.50,150.50,146.50,148.50,175700,143.68
2013-12-03,154.00,154.50,150.00,150.50,66800,145.61
2013-12-02,155.50,156.00,154.00,154.50,66500,149.48
2013-11-29,155.50,156.00,153.50,156.00,39700,150.94
2013-11-28,158.00,158.50,156.00,156.00,61900,150.94
2013-11-27,154.50,158.50,154.00,158.50,99400,153.35
2013-11-26,156.50,156.50,155.00,155.50,87900,150.45
2013-11-25,153.00,156.50,153.00,156.50,50200,151.42
2013-11-22,153.50,154.00,152.00,153.50,24900,148.52
2013-11-21,153.00,153.50,149.75,153.50,96700,148.52
2013-11-20,158.00,158.50,152.00,154.00,198500,149.00
