Date,Open,High,Low,Close,Volume,Adj Close
2013-09-19,1.20,1.29,1.06,1.20,36800,1.20
2013-09-18,0.90,1.46,0.90,1.29,37600,1.29
2013-09-17,1.19,1.19,0.96,0.98,76000,0.98
2013-09-16,0.98,1.40,0.98,1.12,301600,1.12
2013-09-13,0.95,0.95,0.90,0.95,56200,0.95
2013-09-12,0.90,0.95,0.86,0.90,66300,0.90
2013-09-11,0.70,0.97,0.70,0.90,253300,0.90
2013-09-10,0.74,0.75,0.70,0.74,132000,0.74
2013-09-09,0.73,0.76,0.60,0.76,91700,0.76
2013-09-06,0.75,0.75,0.73,0.73,45000,0.73
2013-09-05,0.76,0.78,0.74,0.76,63000,0.76
2013-09-04,0.76,0.79,0.75,0.79,22400,0.79
2013-09-03,0.82,0.82,0.74,0.76,141000,0.76
2013-09-02,0.80,1.02,0.70,0.80,165500,0.80
2013-08-30,0.68,0.80,0.60,0.80,214900,0.80
2013-08-29,0.53,0.68,0.50,0.68,235100,0.68
2013-08-28,0.51,0.51,0.51,0.51,000,0.51
2013-08-27,0.53,0.53,0.50,0.51,80000,0.51
2013-08-26,0.52,0.53,0.50,0.53,71900,0.53
2013-08-23,0.55,0.55,0.53,0.53,1200,0.53
2013-08-22,0.57,0.57,0.57,0.57,000,0.57
2013-08-21,0.52,0.57,0.52,0.57,20300,0.57
2013-08-20,0.51,0.55,0.50,0.55,126600,0.55
2013-08-19,0.60,0.67,0.50,0.59,121200,0.59
2013-08-16,0.67,0.67,0.67,0.67,000,0.67
2013-08-15,0.65,0.67,0.51,0.66,34100,0.66
2013-08-14,0.67,0.67,0.67,0.67,1000,0.67
2013-08-13,0.59,0.59,0.59,0.59,000,0.59
2013-08-12,0.59,0.59,0.59,0.59,200,0.59
2013-08-09,0.60,0.64,0.50,0.59,90200,0.59
2013-08-08,0.69,0.69,0.69,0.69,000,0.69
2013-08-07,0.69,0.69,0.69,0.69,000,0.69
2013-08-06,0.65,0.70,0.59,0.69,67500,0.69
2013-08-05,0.46,0.46,0.46,0.46,000,0.46
2013-08-02,0.46,0.46,0.46,0.46,000,0.46
2013-08-01,0.46,0.46,0.46,0.46,000,0.46
2013-07-31,0.46,0.46,0.46,0.46,000,0.46
2013-07-30,0.46,0.46,0.46,0.46,000,0.46
2013-07-29,0.46,0.46,0.46,0.46,000,0.46
2013-07-26,0.46,0.46,0.46,0.46,000,0.46
2013-07-25,0.46,0.46,0.46,0.46,000,0.46
2013-07-24,0.46,0.46,0.46,0.46,000,0.46
2013-07-23,0.46,0.46,0.46,0.46,000,0.46
2013-07-22,0.46,0.46,0.46,0.46,000,0.46
2013-07-19,0.46,0.46,0.46,0.46,000,0.46
2013-07-18,0.46,0.46,0.46,0.46,000,0.46
2013-07-17,0.46,0.46,0.46,0.46,000,0.46
2013-07-16,0.46,0.46,0.46,0.46,000,0.46
2013-07-15,0.46,0.46,0.46,0.46,000,0.46
2013-07-12,0.46,0.46,0.46,0.46,000,0.46
2013-07-11,0.46,0.46,0.46,0.46,000,0.46
2013-07-10,0.46,0.46,0.46,0.46,000,0.46
2013-07-09,0.46,0.46,0.46,0.46,000,0.46
2013-07-08,0.46,0.46,0.46,0.46,000,0.46
2013-07-05,0.46,0.46,0.46,0.46,000,0.46
2013-07-04,0.46,0.46,0.46,0.46,000,0.46
2013-07-03,0.46,0.46,0.46,0.46,000,0.46
2013-07-02,0.46,0.46,0.46,0.46,000,0.46
2013-07-01,0.46,0.46,0.46,0.46,000,0.46
2013-06-28,0.46,0.46,0.46,0.46,000,0.46
2013-06-27,0.46,0.46,0.46,0.46,000,0.46
2013-06-26,0.46,0.46,0.46,0.46,000,0.46
2013-06-25,0.46,0.46,0.46,0.46,000,0.46
2013-06-24,0.46,0.46,0.46,0.46,000,0.46
2013-06-21,0.46,0.46,0.46,0.46,000,0.46
2013-06-20,0.46,0.46,0.46,0.46,000,0.46
2013-06-19,0.46,0.46,0.46,0.46,000,0.46
2013-06-18,0.46,0.46,0.46,0.46,000,0.46
2013-06-17,0.46,0.46,0.46,0.46,000,0.46
2013-06-14,0.46,0.46,0.46,0.46,000,0.46
2013-06-13,0.46,0.46,0.46,0.46,000,0.46
2013-06-12,0.46,0.46,0.46,0.46,000,0.46
2013-06-11,0.46,0.46,0.46,0.46,000,0.46
2013-06-10,0.46,0.46,0.46,0.46,000,0.46
2013-06-07,0.46,0.46,0.46,0.46,000,0.46
2013-06-06,0.46,0.46,0.46,0.46,000,0.46
2013-06-05,0.46,0.46,0.46,0.46,000,0.46
2013-06-04,0.46,0.46,0.46,0.46,000,0.46
2013-06-03,0.46,0.46,0.46,0.46,000,0.46
2013-05-31,0.46,0.46,0.46,0.46,000,0.46
2013-05-30,0.46,0.46,0.46,0.46,000,0.46
2013-05-29,0.46,0.46,0.46,0.46,000,0.46
2013-05-28,0.46,0.46,0.46,0.46,000,0.46
2013-05-27,0.46,0.46,0.46,0.46,000,0.46
2013-05-24,0.46,0.46,0.46,0.46,000,0.46
2013-05-23,0.46,0.46,0.46,0.46,000,0.46
