Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,0.30,0.31,0.28,0.31,837300,0.31
2013-09-12,0.33,0.35,0.30,0.31,605500,0.31
2013-09-11,0.32,0.34,0.26,0.33,451200,0.33
2013-09-10,0.35,0.37,0.33,0.34,417000,0.34
2013-09-09,0.33,0.35,0.33,0.35,78100,0.35
2013-09-06,0.37,0.37,0.34,0.36,327000,0.36
2013-09-05,0.36,0.39,0.32,0.39,814100,0.39
2013-09-04,0.37,0.39,0.34,0.38,328100,0.38
2013-09-03,0.32,0.37,0.31,0.37,519200,0.37
2013-09-02,0.32,0.33,0.32,0.32,49000,0.32
2013-08-30,0.29,0.36,0.29,0.36,188000,0.36
2013-08-29,0.29,0.31,0.27,0.29,710500,0.29
2013-08-28,0.38,0.39,0.26,0.33,1394500,0.33
2013-08-27,0.33,0.36,0.32,0.35,160600,0.35
2013-08-26,0.35,0.37,0.32,0.37,80600,0.37
2013-08-23,0.33,0.35,0.33,0.35,147700,0.35
2013-08-22,0.34,0.37,0.33,0.35,135700,0.35
2013-08-21,0.36,0.37,0.33,0.37,283500,0.37
2013-08-20,0.37,0.37,0.31,0.36,839800,0.36
2013-08-19,0.39,0.39,0.36,0.38,433400,0.38
2013-08-16,0.37,0.39,0.36,0.38,508300,0.38
2013-08-15,0.42,0.42,0.39,0.40,21100,0.40
2013-08-14,0.39,0.41,0.38,0.41,267800,0.41
2013-08-13,0.39,0.41,0.39,0.40,241300,0.40
2013-08-12,0.38,0.41,0.38,0.41,43100,0.41
2013-08-09,0.39,0.40,0.39,0.40,370300,0.40
2013-08-08,0.39,0.41,0.39,0.40,277400,0.40
2013-08-07,0.42,0.42,0.35,0.40,933000,0.40
2013-08-06,0.42,0.44,0.42,0.44,146700,0.44
2013-08-05,11.60,11.60,11.60,11.60,000,11.60
2013-08-02,11.60,11.60,11.60,11.60,000,11.60
2013-08-01,11.60,11.60,11.60,11.60,000,11.60
2013-07-31,11.60,11.60,11.60,11.60,000,11.60
