Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,163.00,165.50,160.50,161.50,52800,154.52
2014-02-25,164.00,165.50,162.50,163.00,41100,155.96
2014-02-21,165.00,166.00,161.50,162.00,50300,155.00
2014-02-20,166.50,166.50,162.50,163.50,125800,156.44
2014-02-19,162.50,167.50,162.50,166.50,842000,159.31
2014-02-18,164.00,164.00,160.00,161.50,110200,154.52
2014-02-17,167.50,168.50,162.50,162.50,106000,155.48
2014-02-14,160.00,167.50,159.50,166.50,314600,159.31
2014-02-13,164.00,167.00,159.00,159.00,92200,152.13
2014-02-12,163.00,163.50,160.00,160.00,67600,153.09
2014-02-11,162.50,163.50,161.50,161.50,96700,154.52
2014-02-10,157.00,161.50,157.00,161.00,503900,154.04
2014-02-07,149.00,155.50,149.00,155.00,412800,148.30
2014-02-06,152.00,153.00,148.00,148.75,247800,142.32
2014-02-05,152.00,155.00,150.50,151.00,159700,144.48
2014-02-04,151.00,155.50,150.50,152.00,109700,145.43
2014-02-03,160.50,161.50,152.00,153.50,116400,146.87
2014-01-31,165.50,169.50,157.50,159.50,196300,152.61
2014-01-30,173.00,173.50,163.50,165.00,321600,157.87
2014-01-29,182.50,182.50,178.00,179.50,110500,171.74
2014-01-28,185.00,185.50,180.50,182.50,157500,174.61
2014-01-27,188.50,188.50,181.00,184.50,79600,176.53
2014-01-24,193.00,193.00,188.00,189.50,75100,181.31
2014-01-23,196.50,196.50,191.00,192.00,113300,183.70
2014-01-22,197.00,197.00,194.50,195.50,62100,187.05
2014-01-21,197.00,197.00,194.50,196.00,33400,187.53
2014-01-20,196.50,197.00,195.00,196.00,23600,187.53
2014-01-17,197.50,198.00,195.50,196.50,54600,188.01
2014-01-16,197.00,198.50,196.50,197.00,52900,188.49
2014-01-15,196.00,198.00,196.00,197.00,29400,188.49
2014-01-14,198.50,199.00,195.50,196.00,38800,187.53
2014-01-13,195.00,200.00,195.00,198.50,88600,189.92
2014-01-10,197.50,197.50,193.50,196.00,71900,187.53
2014-01-09,199.00,199.00,197.00,198.00,15600,189.44
2014-01-08,199.00,199.50,197.00,198.00,16100,189.44
2014-01-07,199.00,201.00,198.50,199.00,20500,190.40
2014-01-06,199.00,199.00,199.00,199.00,000,190.40
2014-01-03,199.50,200.50,198.50,199.00,56900,190.40
2014-01-02,199.00,200.00,198.50,198.50,21500,189.92
2014-01-01,198.00,198.00,198.00,198.00,000,189.44
2013-12-31,198.00,198.00,198.00,198.00,000,189.44
2013-12-30,198.50,200.00,197.00,198.00,49400,189.44
2013-12-27,198.00,199.50,197.00,198.50,34700,189.92
2013-12-26,198.00,198.00,198.00,198.00,000,189.44
2013-12-25,198.00,198.00,198.00,198.00,000,189.44
2013-12-24,198.00,198.00,198.00,198.00,000,189.44
2013-12-23,196.00,199.00,194.50,198.00,138100,189.44
2013-12-20,192.50,196.00,192.50,195.00,65200,186.57
2013-12-19,194.00,195.00,191.00,193.50,60600,185.14
2013-12-18,190.00,193.00,190.00,193.00,67500,184.66
2013-12-17,195.00,195.00,190.50,192.00,100300,183.70
2013-12-16,197.00,197.00,194.50,196.00,34700,187.53
2013-12-13,198.00,198.50,194.50,197.00,182500,188.49
2013-12-12,200.00,201.00,196.00,198.50,25200,189.92
2013-12-11,203.00,204.50,198.50,201.00,42600,192.31
2013-12-10,202.00,204.50,201.50,202.50,53200,193.75
