Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,350.10,353.40,345.00,349.40,50100,347.14
2014-02-25,360.00,360.00,349.00,350.10,30200,347.83
2014-02-21,343.40,346.00,340.00,343.20,29700,340.98
2014-02-20,337.50,341.00,336.00,339.00,14700,336.81
2014-02-19,338.00,339.70,335.00,337.50,18400,335.31
2014-02-18,338.50,343.00,335.50,337.60,30600,335.41
2014-02-17,332.40,338.40,331.00,335.50,25700,333.33
2014-02-14,322.90,329.80,322.90,328.20,10300,326.07
2014-02-13,324.60,327.30,316.60,322.80,10100,320.71
2014-02-12,326.70,330.00,320.60,321.20,12500,319.12
2014-02-11,317.00,328.10,312.30,324.00,16800,321.90
2014-02-10,317.00,320.90,312.00,312.20,15400,310.18
2014-02-07,315.80,320.00,311.80,316.10,19100,314.05
2014-02-06,303.40,317.50,301.70,311.80,36500,309.78
2014-02-05,292.50,304.80,292.50,301.40,26400,299.45
2014-02-04,301.80,301.80,290.60,294.00,49000,292.10
2014-02-03,308.40,309.50,301.60,303.70,25000,301.73
2014-01-31,314.10,317.40,307.60,309.80,11400,307.79
2014-01-30,315.80,315.80,310.40,312.50,10600,310.48
2014-01-29,322.50,329.70,315.50,317.00,18100,314.95
2014-01-28,315.20,323.50,315.20,320.50,11900,318.42
2014-01-27,317.50,317.50,310.10,316.00,51100,313.95
2014-01-24,326.50,326.50,315.20,318.30,194300,316.24
2014-01-23,326.00,329.80,324.00,325.10,13300,323.00
2014-01-22,329.90,330.00,323.30,325.00,21300,322.90
2014-01-21,326.50,329.60,326.50,327.90,14000,325.78
2014-01-20,326.50,326.70,323.70,325.00,23400,322.90
2014-01-17,328.00,328.50,324.00,326.50,13900,324.39
2014-01-16,335.10,335.90,323.10,327.00,32400,324.88
2014-01-15,332.90,344.70,332.60,334.10,40600,331.94
2014-01-14,337.90,337.90,327.00,333.30,22700,331.14
2014-01-13,335.10,340.90,334.00,336.50,42200,334.32
2014-01-10,345.00,345.00,332.00,333.40,30900,331.24
2014-01-09,331.10,344.50,331.10,341.30,48900,339.09
2014-01-08,315.10,330.00,315.10,329.60,34800,327.47
2014-01-07,307.00,314.70,307.00,314.70,20100,312.66
2014-01-06,307.00,307.00,307.00,307.00,000,305.01
2014-01-03,306.80,307.80,304.90,307.00,8000,305.01
2014-01-02,300.30,304.90,300.00,304.90,5800,302.93
2014-01-01,303.80,303.80,303.80,303.80,000,301.83
2013-12-31,303.80,303.80,303.80,303.80,000,301.83
2013-12-30,305.00,307.50,301.90,303.80,7400,301.83
2013-12-27,302.50,306.50,302.10,305.00,7900,303.03
2013-12-26,301.80,301.80,301.80,301.80,000,299.85
2013-12-25,301.80,301.80,301.80,301.80,000,299.85
2013-12-24,301.80,301.80,301.80,301.80,000,299.85
2013-12-23,302.90,310.00,301.80,301.80,7800,299.85
2013-12-20,303.10,304.80,301.30,302.90,15800,300.94
2013-12-19,298.50,303.10,298.50,303.10,14700,301.14
2013-12-18,293.10,296.80,293.00,296.70,12000,294.78
2013-12-17,289.30,293.80,289.30,292.80,21000,290.90
2013-12-16,289.30,289.90,288.90,289.30,10800,287.43
2013-12-13,285.60,289.00,285.30,287.70,10600,285.84
2013-12-12,287.00,287.00,285.00,285.60,27500,283.75
2013-12-11,287.70,289.00,283.80,287.80,13300,285.94
2013-12-10,285.00,288.70,285.00,287.40,27000,285.54
2013-12-09,284.00,285.10,284.00,285.00,32300,283.15
