Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,23.10,23.50,23.10,23.50,16700,23.50
2014-02-25,23.10,23.50,23.10,23.30,20800,23.30
2014-02-24,23.10,23.50,22.90,23.40,49700,23.40
2014-02-21,22.90,23.30,22.70,23.30,37300,23.30
2014-02-20,23.40,23.40,22.80,23.00,29800,23.00
2014-02-19,23.00,23.40,23.00,23.40,19100,23.40
2014-02-18,23.40,23.40,23.00,23.00,31000,23.00
2014-02-17,23.00,23.20,22.70,22.90,85600,22.90
2014-02-14,22.70,22.70,22.30,22.70,73800,22.70
2014-02-13,22.50,22.80,22.50,22.70,19200,22.70
2014-02-12,22.80,22.80,22.50,22.70,49600,22.70
2014-02-11,22.70,22.80,22.40,22.70,76100,22.70
2014-02-10,22.70,22.70,22.30,22.70,66500,22.70
2014-02-07,22.50,22.90,22.40,22.70,19800,22.70
2014-02-06,22.40,23.30,22.40,23.00,86300,23.00
2014-02-05,22.60,23.00,22.00,22.80,57100,22.80
2014-02-04,22.00,22.60,21.80,22.60,70200,22.60
2014-02-03,23.40,23.40,22.30,22.70,30600,22.70
2014-01-31,22.40,23.10,21.80,23.10,154600,23.10
2014-01-30,23.00,23.00,22.20,22.70,56600,22.70
2014-01-29,22.50,23.00,22.50,22.70,147000,22.70
2014-01-28,22.80,23.40,22.40,22.70,122800,22.70
2014-01-27,23.90,23.90,22.50,22.80,66800,22.80
2014-01-24,24.20,24.50,23.70,23.90,85300,23.90
2014-01-23,25.00,25.00,24.10,24.50,100300,24.50
2014-01-22,24.70,24.80,24.40,24.80,79400,24.80
2014-01-21,24.50,24.80,24.20,24.60,134300,24.60
2014-01-20,24.10,24.60,24.00,24.50,97600,24.50
2014-01-17,24.50,24.80,24.20,24.20,74500,24.20
2014-01-16,25.00,25.10,24.30,24.30,73900,24.30
2014-01-15,24.30,24.90,23.90,24.90,309300,24.90
2014-01-14,23.90,24.30,23.20,24.30,162700,24.30
2014-01-13,24.60,24.60,23.00,23.90,202400,23.90
2014-01-10,25.00,25.00,24.20,24.60,93000,24.60
2014-01-09,25.00,25.40,24.60,25.20,134600,25.20
2014-01-08,24.30,25.30,24.30,24.90,233800,24.90
2014-01-07,23.50,24.30,23.40,24.10,182700,24.10
2014-01-06,23.50,23.50,23.50,23.50,000,23.50
2014-01-03,23.50,23.80,23.40,23.50,295200,23.50
2014-01-02,23.00,23.90,22.80,23.30,72600,23.30
2014-01-01,23.00,23.00,23.00,23.00,000,23.00
2013-12-31,23.00,23.00,23.00,23.00,000,23.00
2013-12-30,23.30,23.80,22.70,23.00,169200,23.00
2013-12-27,23.30,23.90,23.10,23.30,103600,23.30
2013-12-26,23.20,23.20,23.20,23.20,000,23.20
2013-12-25,23.20,23.20,23.20,23.20,000,23.20
2013-12-24,23.20,23.20,23.20,23.20,000,23.20
2013-12-23,22.90,23.40,22.80,23.20,96700,23.20
2013-12-20,21.70,22.90,21.30,22.80,365600,22.80
2013-12-19,21.10,22.50,21.10,21.40,385800,21.40
