Date,Open,High,Low,Close,Volume,Adj Close
2013-09-26,36.80,37.00,36.50,36.50,41200,36.50
2013-09-25,36.60,37.00,36.50,36.80,14800,36.80
2013-09-24,37.40,37.40,36.30,36.60,36600,36.60
2013-09-23,37.50,38.00,37.00,37.00,53300,37.00
2013-09-20,37.30,37.90,37.10,37.30,80900,37.30
2013-09-19,36.50,37.40,36.50,36.50,155500,36.50
2013-09-18,36.00,36.00,35.00,36.00,276600,36.00
2013-09-17,34.20,34.40,34.10,34.30,26800,34.30
2013-09-16,34.30,34.50,34.00,34.40,38300,34.40
2013-09-13,35.00,35.00,34.30,34.30,108000,34.30
2013-09-12,34.90,35.00,34.40,34.50,12200,34.50
2013-09-11,34.30,34.80,34.20,34.20,41000,34.20
2013-09-10,34.50,35.00,34.10,34.30,61500,34.30
2013-09-09,36.00,36.00,35.00,35.00,45100,35.00
2013-09-06,36.20,36.20,35.50,35.50,38500,35.50
2013-09-05,36.70,36.80,35.20,36.20,45900,36.20
2013-09-04,36.00,37.00,36.00,36.60,101500,36.60
2013-09-03,35.90,36.50,35.20,35.90,92700,35.90
2013-09-02,34.80,35.80,34.40,35.80,104500,35.80
2013-08-30,35.90,35.90,34.20,34.20,48900,34.20
2013-08-29,32.50,35.00,32.40,34.80,56700,34.80
2013-08-28,30.70,33.50,30.70,32.00,32300,32.00
2013-08-27,30.70,31.30,30.70,30.70,166000,30.70
2013-08-26,30.00,31.10,30.00,31.10,55500,31.10
2013-08-23,32.00,32.00,29.00,30.00,73000,30.00
2013-08-22,28.00,29.00,28.00,29.00,15700,29.00
2013-08-21,29.00,29.00,28.50,29.00,21800,29.00
2013-08-20,29.00,29.40,28.00,29.00,21500,29.00
2013-08-19,27.50,29.50,27.50,28.20,24100,28.20
2013-08-16,27.00,27.50,27.00,27.40,5900,27.40
2013-08-15,28.00,28.00,26.90,26.90,21200,26.90
2013-08-14,26.90,27.90,26.90,27.90,9500,27.90
2013-08-13,27.40,27.60,27.00,27.00,12900,27.00
2013-08-12,27.30,27.90,27.20,27.40,6000,27.40
2013-08-09,26.80,27.40,26.80,27.20,28500,27.20
2013-08-08,27.00,27.20,26.70,26.70,7400,26.70
2013-08-07,27.30,27.30,27.00,27.00,7700,27.00
2013-08-06,27.40,27.50,27.00,27.00,4900,27.00
