Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,8.95,8.95,8.95,8.95,000,8.95
2013-09-12,8.95,8.95,8.95,8.95,000,8.95
2013-09-11,8.95,8.95,8.95,8.95,000,8.95
2013-09-10,8.95,8.95,8.95,8.95,000,8.95
2013-09-09,8.95,8.95,8.95,8.95,300,8.95
2013-09-06,8.90,8.90,8.90,8.90,000,8.90
2013-09-05,8.90,8.90,8.90,8.90,000,8.90
2013-09-04,8.30,8.90,8.30,8.90,700,8.90
2013-09-03,8.55,8.55,8.55,8.55,000,8.55
2013-09-02,8.55,8.55,8.55,8.55,000,8.55
2013-08-30,8.55,8.55,8.55,8.55,1000,8.55
2013-08-29,8.50,8.50,8.50,8.50,1000,8.50
2013-08-28,8.75,8.75,8.75,8.75,1000,8.75
2013-08-27,8.70,8.70,8.70,8.70,000,8.70
2013-08-26,8.70,8.70,8.70,8.70,1000,8.70
2013-08-23,9.15,9.15,9.15,9.15,000,9.15
2013-08-22,9.15,9.15,9.15,9.15,000,9.15
2013-08-21,9.15,9.15,9.15,9.15,000,9.15
2013-08-20,8.35,9.15,8.35,9.15,500,9.15
2013-08-19,8.50,8.50,8.50,8.50,000,8.50
2013-08-16,8.50,8.50,8.50,8.50,000,8.50
2013-08-15,8.50,8.50,8.50,8.50,000,8.50
2013-08-14,8.50,8.50,8.50,8.50,000,8.50
2013-08-13,8.75,8.75,8.50,8.50,1000,8.50
2013-08-12,8.75,8.75,8.75,8.75,1000,8.75
2013-08-09,8.35,8.35,8.35,8.35,000,8.35
2013-08-08,8.35,8.35,8.35,8.35,100,8.35
2013-08-07,8.40,8.40,8.40,8.40,000,8.40
2013-08-06,8.70,8.80,8.40,8.40,2200,8.40
