Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,32.20,33.50,32.20,33.50,300,32.77
2014-02-25,32.50,33.70,32.50,33.70,7800,32.97
2014-02-21,32.90,33.30,32.30,33.30,15200,32.57
2014-02-20,32.00,33.00,32.00,33.00,2800,32.28
2014-02-19,32.00,33.00,32.00,33.00,15600,32.28
2014-02-18,31.00,32.00,31.00,32.00,23000,31.30
2014-02-17,30.20,31.10,30.20,30.60,11600,29.93
2014-02-14,30.00,31.10,30.00,30.90,8100,30.23
2014-02-13,29.40,30.60,29.10,30.00,22500,29.35
2014-02-12,30.30,30.30,30.00,30.30,4200,29.64
2014-02-11,31.90,31.90,30.00,30.00,19200,29.35
2014-02-10,30.00,30.10,28.50,30.00,100700,29.35
2014-02-07,30.30,30.40,27.50,30.00,79500,29.35
2014-02-06,31.50,31.50,31.10,31.10,1600,30.42
2014-02-05,31.00,31.90,30.70,31.40,39800,30.72
2014-02-04,31.40,31.40,30.50,31.00,21800,30.32
2014-02-03,30.80,31.00,30.50,31.00,7300,30.32
2014-01-31,31.00,31.00,30.50,30.70,15600,30.03
2014-01-30,30.00,30.30,30.00,30.10,3400,29.44
2014-01-29,30.00,30.10,29.60,29.60,102200,28.95
2014-01-28,30.10,30.10,30.00,30.00,71000,29.35
2014-01-27,28.20,31.00,28.20,30.00,12200,29.35
2014-01-24,30.00,30.00,30.00,30.00,9300,29.35
2014-01-23,30.10,30.20,30.00,30.00,17000,29.35
2014-01-22,30.00,30.00,30.00,30.00,38100,29.35
2014-01-21,30.50,30.50,30.00,30.00,2900,29.35
2014-01-20,30.00,30.50,30.00,30.40,65200,29.74
2014-01-17,30.20,30.20,29.70,30.20,42100,29.54
2014-01-16,30.10,30.10,30.10,30.10,3000,29.44
2014-01-15,29.30,30.10,29.30,30.10,26300,29.44
2014-01-14,29.60,29.60,29.50,29.50,200,28.86
2014-01-13,29.00,29.50,29.00,29.40,1900,28.76
2014-01-10,29.50,29.50,29.00,29.50,4900,28.86
2014-01-09,29.00,29.50,29.00,29.00,15900,28.37
2014-01-08,30.00,30.00,28.70,29.10,3100,28.47
2014-01-07,30.00,30.00,28.70,28.70,9500,28.07
2014-01-06,28.20,28.20,28.20,28.20,000,27.59
2014-01-03,28.50,29.00,28.20,28.20,3600,27.59
2014-01-02,29.40,29.50,28.50,29.00,3300,28.37
2014-01-01,29.00,29.00,29.00,29.00,000,28.37
