Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,311.00,312.00,306.80,308.00,207400,296.76
2014-02-25,311.90,312.10,309.10,310.70,217100,299.36
2014-02-21,311.70,314.50,311.40,312.70,127000,301.29
2014-02-20,309.20,311.60,308.20,311.30,206800,299.94
2014-02-19,312.90,314.60,310.70,312.30,271000,300.91
2014-02-18,316.00,316.10,311.90,313.30,260700,301.87
2014-02-17,316.60,317.20,313.80,315.80,173200,304.28
2014-02-14,318.00,318.10,314.40,315.30,201700,303.80
2014-02-13,322.00,322.80,311.60,316.80,487600,305.24
2014-02-12,318.60,331.50,308.20,324.00,715100,312.18
2014-02-11,310.00,316.60,310.00,316.30,522200,304.76
2014-02-10,296.80,309.40,296.80,308.70,330100,297.44
2014-02-07,293.70,297.00,291.90,296.50,169300,285.68
2014-02-06,292.40,296.30,290.60,293.10,293000,282.41
2014-02-05,289.90,293.10,288.10,291.50,206700,280.87
2014-02-04,290.20,291.00,288.30,289.90,221800,279.32
2014-02-03,295.20,297.70,291.60,292.00,259900,281.35
2014-01-31,294.70,299.00,291.40,295.80,454200,285.01
2014-01-30,299.80,301.30,294.50,295.00,362900,284.24
2014-01-29,303.30,307.10,297.70,301.60,278300,290.60
2014-01-28,302.40,304.30,296.50,302.30,181100,291.27
2014-01-27,303.70,304.80,297.50,301.40,244500,290.40
2014-01-24,308.20,310.00,303.90,304.50,241500,293.39
2014-01-23,319.00,319.00,307.60,308.30,305600,297.05
2014-01-22,322.20,324.50,319.20,320.00,163000,308.33
2014-01-21,322.30,325.90,321.60,322.60,224400,310.83
2014-01-20,325.90,325.90,320.50,322.90,153600,311.12
2014-01-17,317.50,326.20,317.10,325.90,349000,314.01
2014-01-16,318.00,318.70,313.60,318.10,258100,306.49
2014-01-15,317.00,319.50,314.20,318.20,406100,306.59
2014-01-14,316.50,318.80,313.00,315.00,323400,303.51
2014-01-13,322.40,323.00,316.50,318.20,331700,306.59
2014-01-10,327.60,327.60,321.10,323.20,239000,311.41
2014-01-09,331.50,331.50,324.40,325.00,155500,313.14
2014-01-08,334.40,335.00,329.70,330.40,126500,318.35
2014-01-07,330.70,337.90,329.50,333.10,219700,320.95
2014-01-06,329.30,329.30,329.30,329.30,000,317.29
2014-01-03,328.80,331.10,326.90,329.30,116700,317.29
2014-01-02,333.30,335.40,328.10,328.50,168000,316.52
2014-01-01,333.20,333.20,333.20,333.20,000,321.04
2013-12-31,333.20,333.20,333.20,333.20,000,321.04
2013-12-30,333.30,335.00,332.00,333.20,168500,321.04
2013-12-27,332.00,333.40,329.30,332.70,176600,320.56
2013-12-26,329.10,329.10,329.10,329.10,000,317.09
2013-12-25,329.10,329.10,329.10,329.10,000,317.09
2013-12-24,329.10,329.10,329.10,329.10,000,317.09
2013-12-23,325.10,329.50,325.00,329.10,106200,317.09
2013-12-20,323.80,327.20,321.00,325.00,199200,313.14
2013-12-19,315.10,324.20,315.10,324.20,224300,312.37
2013-12-18,307.10,314.60,307.10,312.70,260100,301.29
2013-12-17,312.30,313.40,309.10,309.40,158200,298.11
2013-12-16,312.00,314.00,310.50,313.00,196100,301.58
2013-12-13,314.20,316.70,311.70,313.00,197900,301.58
2013-12-12,314.80,316.40,311.40,314.50,219800,303.03
2013-12-11,314.00,319.90,313.70,315.60,253400,304.09
2013-12-10,322.20,323.10,315.00,315.10,257400,303.60
2013-12-09,320.70,323.70,318.20,323.70,180200,311.89
2013-12-06,320.10,320.90,315.80,318.70,192300,307.07
2013-12-05,321.40,323.50,317.30,317.30,222800,305.72
2013-12-04,325.00,326.80,319.60,321.70,234300,309.96
2013-12-03,333.40,333.90,324.50,324.70,209500,312.85
2013-12-02,331.60,335.10,331.60,331.70,279700,319.60
2013-11-29,334.00,336.10,330.80,330.80,293200,318.73
2013-11-28,334.00,338.30,333.40,334.00,196300,321.81
2013-11-27,330.30,334.60,330.30,332.10,199100,319.98
2013-11-26,325.90,332.20,325.30,330.10,289200,318.06
2013-11-25,321.30,327.30,321.20,325.90,279400,314.01
2013-11-22,318.80,324.60,315.30,321.20,620500,309.48
2013-11-21,332.40,332.50,322.10,322.90,588100,311.12
2013-11-20,339.40,339.80,332.70,333.30,228800,321.14
2013-11-19,341.70,345.00,339.60,340.20,126300,327.79
2013-11-18,340.80,342.40,339.90,342.10,280200,329.62
2013-11-15,344.50,345.00,340.30,341.00,150900,328.56
2013-11-14,343.30,345.50,340.90,344.50,148500,331.93
2013-11-13,345.80,346.00,338.90,339.70,131500,327.31
2013-11-12,344.70,347.30,342.20,346.00,157200,333.38
2013-11-11,342.90,346.90,340.10,345.20,150600,332.61
2013-11-08,343.80,344.90,340.90,343.10,126500,330.58
2013-11-07,344.60,349.60,343.00,347.00,117700,334.34
2013-11-06,343.50,348.00,342.70,345.50,194300,332.89
2013-11-05,347.00,347.50,342.80,343.00,417800,330.49
2013-11-04,348.30,353.30,348.30,352.40,113800,339.54
2013-11-01,353.80,354.20,348.10,348.30,62900,335.59
2013-10-31,350.60,354.80,350.00,353.80,116900,340.89
2013-10-30,355.00,355.20,351.10,352.80,102800,339.93
2013-10-29,353.20,354.80,350.10,354.60,155800,341.66
2013-10-28,358.70,358.80,352.30,353.30,109600,340.41
2013-10-25,354.90,356.30,351.90,356.30,129300,343.30
2013-10-24,356.80,356.80,351.50,354.90,98200,341.95
2013-10-23,360.10,360.80,352.50,353.50,361600,340.60
2013-10-22,347.00,366.90,343.60,362.00,705500,348.79
2013-10-21,344.90,346.80,343.20,345.60,255600,332.99
2013-10-18,346.80,346.80,343.40,345.30,108100,332.70
2013-10-17,346.10,348.70,343.70,344.30,153800,331.74
2013-10-16,346.00,349.70,343.20,347.10,130900,334.44
2013-10-15,341.90,348.30,341.90,346.80,235400,334.15
2013-10-14,340.00,342.00,339.50,341.10,69700,328.66
2013-10-11,340.00,341.75,337.00,341.30,202200,328.85
2013-10-10,339.00,341.00,335.90,337.00,207300,324.71
2013-10-09,337.60,340.50,335.30,337.00,305600,324.71
2013-10-08,341.10,346.30,338.30,339.30,291000,326.92
2013-10-07,336.40,342.80,332.00,342.00,181400,329.52
2013-10-04,334.90,339.70,334.00,337.30,216000,324.99
2013-10-03,339.20,341.20,334.70,335.30,150700,323.07
