Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,217.00,222.00,217.00,220.00,386500,214.05
2014-02-25,215.40,217.70,215.10,216.50,243100,210.64
2014-02-21,210.40,212.30,210.40,211.30,235500,205.58
2014-02-20,210.30,210.70,208.10,210.00,435200,204.32
2014-02-19,211.90,212.50,210.00,211.30,227400,205.58
2014-02-18,214.10,214.10,210.80,211.80,175900,206.07
2014-02-17,213.50,214.00,213.00,213.20,134300,207.43
2014-02-14,212.00,213.90,211.80,212.50,214600,206.75
2014-02-13,212.20,212.30,209.90,211.90,395700,206.17
2014-02-12,213.80,215.00,211.30,212.30,246400,206.55
2014-02-11,209.30,213.00,208.60,212.00,347800,206.26
2014-02-10,208.30,210.00,207.10,208.30,296200,202.66
2014-02-07,207.50,207.50,205.30,207.10,427800,201.50
2014-02-06,204.00,207.10,203.40,206.60,463900,201.01
2014-02-05,204.00,204.50,202.30,203.40,339600,197.90
2014-02-04,200.80,204.00,197.60,203.40,643800,197.90
2014-02-03,210.00,210.80,201.70,202.10,705500,196.63
2014-01-31,220.20,221.50,208.50,209.30,1088300,203.64
2014-01-30,214.30,221.70,209.40,221.60,494700,215.60
2014-01-29,220.00,221.80,213.20,214.80,534900,208.99
2014-01-28,215.10,218.30,213.60,217.70,308100,211.81
2014-01-27,214.80,215.50,210.00,213.90,471200,208.11
2014-01-24,222.10,223.60,216.60,216.80,317200,210.93
2014-01-23,225.20,227.35,221.10,221.80,642300,215.80
2014-01-22,223.30,226.00,222.80,224.80,461500,218.72
2014-01-21,223.90,224.00,222.10,222.30,350100,216.28
2014-01-20,223.40,226.00,221.50,224.20,387100,218.13
2014-01-17,221.60,223.80,221.50,223.50,454200,217.45
2014-01-16,221.40,222.90,220.50,221.60,260800,215.60
2014-01-15,218.50,221.70,218.40,221.40,366900,215.41
2014-01-14,217.60,218.10,214.80,217.60,394100,211.71
2014-01-13,218.00,219.10,217.20,218.40,367800,212.49
2014-01-10,213.50,217.20,213.10,217.00,355300,211.13
2014-01-09,213.40,214.50,211.80,212.80,288600,207.04
2014-01-08,215.70,216.80,212.10,212.70,368700,206.94
2014-01-07,215.00,217.50,213.90,215.20,423700,209.38
2014-01-06,214.30,214.30,214.30,214.30,000,208.50
2014-01-03,208.60,214.60,208.50,214.30,299600,208.50
2014-01-02,210.20,210.50,208.20,208.70,168500,203.05
2014-01-01,209.90,209.90,209.90,209.90,000,204.22
2013-12-31,209.90,209.90,209.90,209.90,000,204.22
2013-12-30,211.80,212.50,209.20,209.90,246900,204.22
2013-12-27,210.10,212.90,210.10,211.80,195600,206.07
2013-12-26,209.90,209.90,209.90,209.90,000,204.22
2013-12-25,209.90,209.90,209.90,209.90,000,204.22
2013-12-24,209.90,209.90,209.90,209.90,000,204.22
2013-12-23,204.90,209.90,204.90,209.90,270200,204.22
2013-12-20,206.50,208.00,204.50,204.50,1782800,198.97
2013-12-19,201.40,206.30,201.40,205.80,423000,200.23
2013-12-18,200.00,201.30,198.90,200.40,248800,194.98
2013-12-17,198.50,201.80,197.20,197.90,281200,192.54
2013-12-16,201.30,201.30,196.10,197.60,405500,192.25
2013-12-13,200.50,203.20,200.50,201.20,180500,195.75
2013-12-12,203.20,203.50,197.60,200.40,402800,194.98
2013-12-11,199.40,204.90,199.30,203.50,423900,197.99
2013-12-10,200.00,201.30,197.90,200.00,344600,194.59
2013-12-09,199.00,199.60,196.60,199.20,282500,193.81
2013-12-06,197.90,198.50,195.60,197.70,155300,192.35
2013-12-05,196.10,199.10,194.80,196.50,277600,191.18
2013-12-04,198.00,198.70,194.80,196.40,245100,191.08
2013-12-03,203.00,203.00,197.40,197.60,349700,192.25
2013-12-02,204.40,204.40,202.00,202.30,142900,196.83
2013-11-29,205.50,206.20,204.40,204.40,107600,198.87
2013-11-28,205.50,206.50,205.20,205.70,149900,200.13
2013-11-27,203.70,205.80,203.60,205.40,160700,199.84
2013-11-26,202.50,204.00,202.30,203.80,159200,198.28
2013-11-25,200.50,202.30,200.50,202.30,106600,196.83
2013-11-22,199.50,200.80,199.30,199.70,119900,194.30
2013-11-21,199.70,201.40,197.70,199.10,209900,193.71
2013-11-20,200.70,202.00,197.10,200.10,269100,194.68
2013-11-19,203.00,203.00,200.10,200.70,148900,195.27
2013-11-18,202.50,203.60,200.70,203.40,255500,197.90
2013-11-15,204.30,204.30,201.00,202.30,214200,196.83
2013-11-14,203.10,204.30,201.50,204.30,210700,198.77
2013-11-13,203.10,204.00,200.10,201.20,168500,195.75
2013-11-12,204.10,205.00,201.60,204.30,492200,198.77
2013-11-11,202.40,204.90,201.40,204.10,219500,198.58
2013-11-08,204.00,204.30,199.30,200.80,385200,195.37
2013-11-07,206.70,207.40,203.50,204.30,251900,198.77
2013-11-06,204.00,207.30,203.90,205.60,343500,200.04
2013-11-05,202.00,203.90,202.00,203.50,167500,197.99
2013-11-04,202.50,205.60,201.60,201.60,439500,196.14
2013-11-01,199.50,201.50,198.00,201.50,89600,196.05
2013-10-31,199.70,200.50,198.40,199.60,207800,194.20
2013-10-30,199.50,201.70,198.90,199.10,258000,193.71
2013-10-29,198.20,200.00,197.80,198.70,249300,193.32
2013-10-28,195.30,199.20,195.10,198.00,395600,192.64
2013-10-25,190.50,193.90,188.00,193.90,320800,188.65
2013-10-24,196.60,199.00,191.10,192.50,395600,187.29
2013-10-23,195.60,197.10,194.40,196.20,190700,190.89
2013-10-22,194.30,197.10,194.30,196.90,164200,191.57
2013-10-21,194.00,195.10,193.80,194.30,202500,189.04
2013-10-18,193.20,194.20,193.00,193.50,195600,188.26
2013-10-17,194.00,195.90,191.50,192.70,259000,187.48
2013-10-16,192.00,193.30,190.50,193.00,216600,187.78
2013-10-15,190.70,193.90,190.70,193.90,197200,188.65
2013-10-14,191.90,191.90,189.30,190.30,162800,185.15
2013-10-11,192.20,194.00,192.20,192.30,288600,187.10
2013-10-10,187.00,193.00,186.80,191.80,211000,186.61
2013-10-09,185.80,186.90,183.50,186.10,240400,181.06
2013-10-08,187.50,188.40,185.70,186.20,264800,181.16
2013-10-07,188.30,188.80,186.90,187.90,171500,182.81
