Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,160.00,161.00,158.50,159.00,27200,159.00
2014-02-25,164.00,164.00,159.50,160.50,29700,160.50
2014-02-24,159.50,164.00,159.00,161.50,27300,161.50
2014-02-21,159.00,160.00,158.00,159.50,14500,159.50
2014-02-20,157.50,159.00,157.00,158.00,14700,158.00
2014-02-19,156.50,159.00,156.50,158.50,12600,158.50
2014-02-18,160.50,161.00,157.50,158.50,24400,158.50
2014-02-17,164.00,164.00,159.50,160.50,26300,160.50
2014-02-14,161.50,164.00,155.50,164.00,90500,164.00
2014-02-13,160.00,163.00,150.00,162.00,118200,162.00
2014-02-12,158.00,160.50,156.50,159.50,49700,159.50
2014-02-11,152.50,157.50,152.50,157.00,40200,157.00
2014-02-10,152.00,154.50,150.00,152.50,26100,152.50
2014-02-07,146.75,152.00,145.50,150.00,35500,150.00
2014-02-06,142.00,144.50,139.25,142.75,65400,142.75
2014-02-05,145.75,148.75,142.00,143.75,55600,143.75
2014-02-04,146.75,147.00,144.00,146.50,82500,146.50
2014-02-03,148.25,149.50,147.00,147.25,25800,147.25
2014-01-31,149.50,150.50,147.00,149.25,13600,149.25
2014-01-30,148.50,150.00,148.00,149.50,20200,149.50
2014-01-29,150.00,152.00,147.50,149.25,19500,149.25
2014-01-28,147.00,150.50,147.00,149.00,22600,149.00
2014-01-27,148.00,150.00,143.25,147.00,67900,147.00
2014-01-24,154.00,154.00,146.75,150.00,77100,150.00
2014-01-23,155.50,158.00,153.50,154.50,46500,154.50
2014-01-22,154.50,157.00,152.50,157.00,23100,157.00
2014-01-21,157.50,159.00,153.50,155.00,80400,155.00
2014-01-20,155.00,158.50,155.00,157.50,34900,157.50
2014-01-17,155.50,157.00,155.00,155.00,31900,155.00
2014-01-16,155.50,157.00,153.00,154.00,37700,154.00
2014-01-15,154.00,159.00,154.00,154.00,142700,154.00
2014-01-14,155.00,155.50,149.00,152.50,117600,152.50
2014-01-13,153.00,158.00,153.00,154.00,51100,154.00
2014-01-10,149.50,155.50,149.50,153.00,65900,153.00
