Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.68,1.72,1.67,1.71,879500,1.71
2014-02-25,1.64,1.70,1.61,1.67,893500,1.67
2014-02-24,1.60,1.63,1.57,1.63,543800,1.63
2014-02-21,1.63,1.64,1.60,1.60,514400,1.60
2014-02-20,1.62,1.63,1.59,1.63,314700,1.63
2014-02-19,1.65,1.65,1.60,1.63,763600,1.63
2014-02-18,1.63,1.65,1.57,1.64,2599500,1.64
2014-02-17,1.59,1.63,1.56,1.63,1062800,1.63
2014-02-14,1.68,1.68,1.61,1.62,820600,1.62
2014-02-13,1.61,1.67,1.61,1.67,390100,1.67
2014-02-12,1.65,1.66,1.61,1.61,499300,1.61
2014-02-11,1.67,1.67,1.61,1.64,274100,1.64
2014-02-10,1.69,1.69,1.63,1.66,257400,1.66
2014-02-07,1.68,1.68,1.64,1.66,414300,1.66
2014-02-06,1.68,1.68,1.63,1.64,745100,1.64
2014-02-05,1.69,1.69,1.62,1.64,430300,1.64
2014-02-04,1.72,1.72,1.57,1.66,956700,1.66
2014-02-03,1.72,1.75,1.67,1.71,1205000,1.71
2014-01-31,1.64,1.67,1.63,1.66,620800,1.66
2014-01-30,1.62,1.64,1.60,1.63,943600,1.63
2014-01-29,1.59,1.62,1.55,1.60,2915600,1.60
2014-01-28,1.48,1.52,1.48,1.50,1209000,1.50
2014-01-27,1.48,1.53,1.44,1.48,651800,1.48
2014-01-24,1.51,1.51,1.47,1.48,559700,1.48
2014-01-23,1.50,1.54,1.49,1.52,644300,1.52
2014-01-22,1.53,1.54,1.46,1.52,1681300,1.52
2014-01-21,1.50,1.58,1.47,1.57,767400,1.57
2014-01-20,1.62,1.62,1.57,1.58,677200,1.58
2014-01-17,1.61,1.61,1.56,1.59,541100,1.59
2014-01-16,1.62,1.63,1.56,1.61,624800,1.61
2014-01-15,1.56,1.66,1.53,1.62,2352900,1.62
2014-01-14,1.55,1.55,1.51,1.55,539300,1.55
2014-01-13,1.58,1.58,1.55,1.57,264100,1.57
2014-01-10,1.53,1.58,1.53,1.58,971200,1.58
2014-01-09,1.56,1.57,1.53,1.53,357300,1.53
2014-01-08,1.51,1.58,1.51,1.56,1261300,1.56
2014-01-07,1.49,1.51,1.46,1.51,691300,1.51
2014-01-06,1.48,1.48,1.48,1.48,000,1.48
2014-01-03,1.44,1.48,1.42,1.48,1863000,1.48
2014-01-02,1.44,1.45,1.42,1.44,902900,1.44
2014-01-01,1.44,1.44,1.44,1.44,000,1.44
2013-12-31,1.44,1.44,1.44,1.44,000,1.44
2013-12-30,1.42,1.45,1.40,1.44,1647400,1.44
2013-12-27,1.38,1.43,1.37,1.43,1983800,1.43
2013-12-26,1.38,1.38,1.38,1.38,000,1.38
2013-12-25,1.38,1.38,1.38,1.38,000,1.38
2013-12-24,1.38,1.38,1.38,1.38,000,1.38
2013-12-23,1.36,1.39,1.35,1.38,849100,1.38
