Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.59,1.59,1.59,1.59,400,1.59
2014-02-25,1.80,1.85,1.80,1.85,11600,1.85
2014-02-24,1.65,1.70,1.65,1.70,21200,1.70
2014-02-21,1.69,1.69,1.69,1.69,000,1.69
2014-02-20,1.55,1.69,1.55,1.69,6800,1.69
2014-02-19,1.61,1.61,1.61,1.61,5600,1.61
2014-02-18,1.55,1.55,1.55,1.55,900,1.55
2014-02-17,1.80,1.80,1.80,1.80,000,1.80
2014-02-14,1.61,1.80,1.61,1.80,1600,1.80
2014-02-13,1.43,1.80,1.43,1.80,1000,1.80
2014-02-12,1.73,1.80,1.73,1.80,9800,1.80
2014-02-11,1.78,1.78,1.78,1.78,000,1.78
2014-02-10,1.78,1.78,1.78,1.78,100,1.78
2014-02-07,1.55,1.55,1.55,1.55,000,1.55
2014-02-06,1.55,1.55,1.55,1.55,400,1.55
2014-02-05,1.59,1.59,1.59,1.59,000,1.59
2014-02-04,1.59,1.59,1.59,1.59,000,1.59
2014-02-03,1.66,1.66,1.59,1.59,19900,1.59
2014-01-31,1.70,1.70,1.70,1.70,000,1.70
2014-01-30,1.70,1.70,1.70,1.70,000,1.70
2014-01-29,1.70,1.70,1.70,1.70,8300,1.70
2014-01-28,1.70,1.70,1.70,1.70,200,1.70
2014-01-27,1.60,1.70,1.60,1.70,3000,1.70
2014-01-24,1.63,1.63,1.63,1.63,000,1.63
2014-01-23,1.63,1.63,1.63,1.63,100,1.63
2014-01-22,1.63,1.63,1.63,1.63,000,1.63
2014-01-21,1.63,1.63,1.63,1.63,3600,1.63
2014-01-20,1.63,1.63,1.63,1.63,200,1.63
2014-01-17,1.77,1.77,1.77,1.77,200,1.77
2014-01-16,1.77,1.77,1.77,1.77,000,1.77
2014-01-15,1.77,1.77,1.77,1.77,000,1.77
2014-01-14,1.77,1.77,1.77,1.77,800,1.77
2014-01-13,1.75,1.75,1.75,1.75,17600,1.75
2014-01-10,1.61,1.75,1.61,1.75,31900,1.75
2014-01-09,1.55,1.55,1.55,1.55,4600,1.55
2014-01-08,1.74,1.74,1.74,1.74,000,1.74
2014-01-07,1.74,1.74,1.74,1.74,000,1.74
2014-01-06,1.74,1.74,1.74,1.74,000,1.74
2014-01-03,1.74,1.74,1.74,1.74,000,1.74
2014-01-02,1.74,1.74,1.74,1.74,000,1.74
2014-01-01,1.74,1.74,1.74,1.74,000,1.74
2013-12-31,1.74,1.74,1.74,1.74,000,1.74
2013-12-30,1.45,1.74,1.45,1.74,9900,1.74
2013-12-27,1.41,1.50,1.41,1.50,20600,1.50
2013-12-26,1.41,1.41,1.41,1.41,000,1.41
2013-12-25,1.41,1.41,1.41,1.41,000,1.41
