Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,2.98,2.98,2.98,2.98,000,2.98
2014-02-25,2.79,2.85,2.70,2.70,55400,2.70
2014-02-24,2.90,2.90,2.86,2.88,12500,2.88
2014-02-21,2.90,3.04,2.85,3.04,25000,3.04
2014-02-20,2.97,3.20,2.97,3.20,35200,3.20
2014-02-19,2.85,3.00,2.85,2.93,4500,2.93
2014-02-18,2.85,2.85,2.84,2.84,1800,2.84
2014-02-17,2.70,2.99,2.70,2.97,72000,2.97
2014-02-14,2.70,2.70,2.70,2.70,000,2.70
2014-02-13,2.71,2.71,2.69,2.70,31900,2.70
2014-02-12,2.70,2.70,2.70,2.70,000,2.70
2014-02-11,2.70,2.76,2.70,2.70,20000,2.70
2014-02-10,2.80,2.80,2.75,2.75,51000,2.75
2014-02-07,2.79,2.79,2.79,2.79,000,2.79
2014-02-06,2.65,2.65,2.65,2.65,2700,2.65
2014-02-05,2.61,2.77,2.60,2.60,7000,2.60
2014-02-04,2.75,2.77,2.60,2.77,66900,2.77
2014-02-03,2.70,2.99,2.70,2.99,10900,2.99
2014-01-31,3.00,3.00,3.00,3.00,000,3.00
2014-01-30,2.81,3.00,2.81,3.00,1900,3.00
2014-01-29,3.06,3.06,3.06,3.06,20300,3.06
2014-01-28,3.05,3.39,3.05,3.29,12800,3.29
2014-01-27,3.02,3.05,2.76,3.00,24400,3.00
2014-01-24,2.99,3.00,2.99,3.00,22900,3.00
2014-01-23,2.56,2.75,2.56,2.75,49700,2.75
2014-01-22,2.66,2.66,2.66,2.66,000,2.66
2014-01-21,2.50,2.66,2.50,2.66,6700,2.66
2014-01-20,2.71,2.95,2.71,2.95,1300,2.95
2014-01-17,3.00,3.00,3.00,3.00,1300,3.00
2014-01-16,2.75,3.00,2.75,3.00,1900,3.00
2014-01-15,3.00,3.00,3.00,3.00,000,3.00
2014-01-14,3.00,3.00,3.00,3.00,4800,3.00
2014-01-13,2.95,2.95,2.95,2.95,110900,2.95
2014-01-10,2.93,2.93,2.93,2.93,000,2.93
2014-01-09,2.94,2.94,2.71,2.93,18000,2.93
2014-01-08,2.71,2.71,2.71,2.71,2000,2.71
2014-01-07,2.99,2.99,2.99,2.99,50500,2.99
2014-01-06,2.99,2.99,2.99,2.99,000,2.99
2014-01-03,2.70,2.99,2.70,2.99,1800,2.99
2014-01-02,2.70,2.70,2.70,2.70,000,2.70
2014-01-01,2.70,2.70,2.70,2.70,000,2.70
2013-12-31,2.70,2.70,2.70,2.70,000,2.70
2013-12-30,2.70,2.95,2.70,2.70,27400,2.70
2013-12-27,2.50,2.70,2.50,2.70,9000,2.70
2013-12-26,2.50,2.50,2.50,2.50,000,2.50
2013-12-25,2.50,2.50,2.50,2.50,000,2.50
2013-12-24,2.50,2.50,2.50,2.50,000,2.50
2013-12-23,2.49,2.50,2.36,2.50,23600,2.50
2013-12-20,2.40,2.49,2.40,2.49,14000,2.49
2013-12-19,2.47,2.49,2.40,2.49,36500,2.49
2013-12-18,2.35,2.49,2.35,2.49,153500,2.49
2013-12-17,2.39,2.39,2.39,2.39,3000,2.39
2013-12-16,2.50,2.50,2.50,2.50,200,2.50
