Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,56.75,56.75,56.00,56.25,561900,55.47
2014-02-25,54.75,56.75,54.50,56.75,72500,55.96
2014-02-21,54.50,55.00,54.50,54.75,84800,53.99
2014-02-20,54.50,54.50,54.00,54.50,86300,53.75
2014-02-19,54.00,55.50,54.00,54.75,142800,53.99
2014-02-18,55.00,55.00,53.75,54.25,91000,53.50
2014-02-17,55.50,56.25,54.00,55.00,298400,54.24
2014-02-14,54.50,55.50,54.50,54.50,180200,53.75
2014-02-13,53.50,56.25,53.50,54.75,217600,53.99
2014-02-12,54.50,55.00,53.00,53.25,98900,52.51
2014-02-11,54.75,55.25,54.00,54.50,246100,53.75
2014-02-10,54.00,54.75,53.25,54.50,167300,53.75
2014-02-07,53.25,54.50,53.00,54.00,651800,53.25
2014-02-06,50.25,52.75,50.00,52.75,237400,52.02
2014-02-05,49.00,50.25,48.70,50.00,548200,49.31
2014-02-04,49.50,50.00,48.60,49.00,641300,48.32
2014-02-03,50.75,51.25,49.60,50.00,142300,49.31
2014-01-31,51.00,51.75,50.00,50.75,169700,50.05
2014-01-30,50.50,51.00,50.25,50.75,49300,50.05
2014-01-29,51.75,52.00,50.00,50.25,683800,49.55
2014-01-28,51.00,52.00,50.25,51.00,121800,50.29
2014-01-27,53.00,53.00,50.50,50.50,365600,49.80
2014-01-24,54.75,54.75,51.75,52.25,449700,51.53
2014-01-23,56.00,56.00,54.25,54.50,66200,53.75
2014-01-22,57.00,57.75,55.50,56.00,144600,55.22
2014-01-21,58.00,58.00,56.00,56.25,310700,55.47
2014-01-20,56.75,58.50,56.25,57.50,93700,56.70
2014-01-17,56.00,57.00,55.50,56.75,267700,55.96
2014-01-16,57.00,57.00,55.25,55.75,226000,54.98
2014-01-15,57.50,57.50,56.50,57.00,40900,56.21
2014-01-14,57.25,57.25,55.25,56.25,128600,55.47
2014-01-13,57.00,58.00,56.75,57.00,136500,56.21
2014-01-10,56.75,57.25,56.50,57.00,579900,56.21
2014-01-09,57.25,57.50,56.50,56.75,100100,55.96
2014-01-08,55.50,57.75,55.50,57.00,245300,56.21
2014-01-07,53.75,55.75,53.75,55.75,245700,54.98
2014-01-06,54.25,54.25,54.25,54.25,000,53.50
2014-01-03,53.00,54.75,52.00,54.25,145400,53.50
2014-01-02,54.50,56.25,52.50,52.75,135600,52.02
2014-01-01,54.50,54.50,54.50,54.50,000,53.75
2013-12-31,54.50,54.50,54.50,54.50,000,53.75
2013-12-30,55.25,55.25,53.50,54.50,54200,53.75
2013-12-27,55.00,55.50,54.00,54.50,46700,53.75
2013-12-26,55.00,55.00,55.00,55.00,000,54.24
2013-12-25,55.00,55.00,55.00,55.00,000,54.24
2013-12-24,55.00,55.00,55.00,55.00,000,54.24
2013-12-23,54.75,55.25,54.00,55.00,156200,54.24
2013-12-20,51.00,55.25,51.00,54.75,336400,53.99
2013-12-19,50.50,52.00,49.80,51.00,294100,50.29
2013-12-18,51.00,51.25,50.50,50.50,574600,49.80
2013-12-17,50.50,51.50,49.50,51.00,304900,50.29
2013-12-16,51.50,51.75,49.50,50.50,326100,49.80
2013-12-13,54.00,54.75,51.25,51.75,151400,51.03
2013-12-12,55.00,55.00,53.50,54.25,71500,53.50
2013-12-11,55.00,55.50,53.25,55.00,211500,54.24
2013-12-10,56.00,56.00,53.75,56.00,103900,55.22
2013-12-09,56.00,57.75,55.25,55.75,129200,54.98
2013-12-06,54.25,56.00,54.00,55.50,163700,54.73
2013-12-05,56.00,56.00,54.00,54.25,82800,53.50
2013-12-04,56.25,56.50,54.75,55.75,46500,54.98
2013-12-03,56.25,56.75,53.75,55.75,130500,54.98
2013-12-02,56.75,56.75,56.25,56.50,92600,55.72
2013-11-29,57.50,57.50,56.25,56.75,32800,55.96
2013-11-28,57.50,57.75,56.50,56.75,51100,55.96
2013-11-27,57.00,58.25,56.75,57.50,81700,56.70
2013-11-26,58.00,58.00,56.50,56.75,101200,55.96
2013-11-25,57.50,58.00,57.00,58.00,69200,57.20
2013-11-22,55.50,57.00,55.50,57.00,81700,56.21
2013-11-21,56.00,56.00,54.25,55.50,193700,54.73
2013-11-20,58.00,58.50,55.50,56.00,114300,55.22
2013-11-19,58.00,59.00,57.75,58.25,70600,57.44
