Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,11.20,11.30,11.20,11.30,22000,11.30
2014-02-25,10.90,11.10,10.90,11.10,27200,11.10
2014-02-24,10.90,10.90,10.75,10.90,27200,10.90
2014-02-21,10.80,10.80,10.70,10.70,46500,10.70
2014-02-20,10.65,10.80,10.60,10.80,81600,10.80
2014-02-19,10.10,10.35,10.10,10.35,9200,10.35
2014-02-18,10.20,10.20,10.20,10.20,600,10.20
2014-02-17,10.30,10.30,10.20,10.20,21200,10.20
2014-02-14,10.35,10.35,10.35,10.35,500,10.35
2014-02-13,10.35,10.50,10.35,10.50,4200,10.50
2014-02-12,10.50,10.50,10.50,10.50,300,10.50
2014-02-11,10.40,10.50,10.40,10.50,11500,10.50
2014-02-10,10.20,10.30,10.10,10.30,3200,10.30
2014-02-07,10.30,10.30,10.15,10.15,10400,10.15
2014-02-06,10.40,10.40,10.15,10.15,13300,10.15
2014-02-05,10.40,10.60,10.35,10.40,14200,10.40
2014-02-04,10.15,10.25,10.10,10.25,16400,10.25
2014-02-03,10.10,10.20,10.05,10.20,15400,10.20
2014-01-31,10.30,10.30,10.30,10.30,000,10.30
2014-01-30,10.30,10.30,10.30,10.30,1500,10.30
2014-01-29,10.35,10.35,10.30,10.35,7000,10.35
2014-01-28,10.50,10.50,10.50,10.50,400,10.50
2014-01-27,10.40,10.40,10.20,10.40,7200,10.40
2014-01-24,10.40,10.50,10.40,10.50,26500,10.50
2014-01-23,10.40,10.40,10.40,10.40,1500,10.40
2014-01-22,10.40,10.40,10.40,10.40,600,10.40
2014-01-21,10.50,10.60,10.30,10.60,24800,10.60
2014-01-20,10.70,10.70,10.70,10.70,2000,10.70
2014-01-17,10.60,10.75,10.60,10.75,13400,10.75
2014-01-16,10.70,10.70,10.60,10.60,3200,10.60
2014-01-15,10.60,10.80,10.60,10.80,10100,10.80
2014-01-14,10.60,10.60,10.60,10.60,000,10.60
2014-01-13,10.70,10.70,10.60,10.60,3400,10.60
2014-01-10,10.90,10.90,10.40,10.70,12400,10.70
2014-01-09,10.20,12.00,10.20,12.00,28100,12.00
2014-01-08,10.25,10.25,10.25,10.25,000,10.25
2014-01-07,10.10,10.25,10.10,10.25,14000,10.25
2014-01-06,10.30,10.30,10.30,10.30,000,10.30
2014-01-03,10.30,10.30,10.30,10.30,1000,10.30
2014-01-02,10.50,10.50,10.50,10.50,000,10.50
2014-01-01,10.50,10.50,10.50,10.50,000,10.50
2013-12-31,10.50,10.50,10.50,10.50,000,10.50
2013-12-30,10.50,10.50,10.30,10.50,35600,10.50
2013-12-27,10.05,10.20,10.05,10.20,22000,10.20
2013-12-26,10.10,10.10,10.10,10.10,000,10.10
2013-12-25,10.10,10.10,10.10,10.10,000,10.10
2013-12-24,10.10,10.10,10.10,10.10,000,10.10
2013-12-23,10.15,10.15,10.05,10.10,8900,10.10
2013-12-20,10.15,10.25,10.15,10.25,4000,10.25
2013-12-19,10.50,10.50,10.10,10.30,18600,10.30
2013-12-18,10.50,10.50,10.50,10.50,5100,10.50
2013-12-17,10.25,10.50,10.25,10.50,7200,10.50
2013-12-16,10.20,10.30,10.15,10.15,8200,10.15
2013-12-13,10.50,10.50,10.20,10.20,7700,10.20
2013-12-12,10.60,10.60,10.50,10.50,1500,10.50
2013-12-11,10.50,10.80,10.50,10.80,9700,10.80
2013-12-10,10.40,10.40,10.40,10.40,000,10.40
2013-12-09,10.50,10.50,10.40,10.40,3800,10.40
2013-12-06,10.25,10.50,10.25,10.50,6700,10.50
2013-12-05,10.30,10.30,10.30,10.30,000,10.30
2013-12-04,10.30,10.30,10.30,10.30,1500,10.30
2013-12-03,10.25,10.35,10.20,10.35,20800,10.35
2013-12-02,10.40,10.50,10.35,10.35,14500,10.35
2013-11-29,10.50,10.50,10.50,10.50,1000,10.50
2013-11-28,10.50,10.50,10.50,10.50,10000,10.50
2013-11-27,10.50,10.50,10.40,10.50,11400,10.50
2013-11-26,10.40,10.70,10.40,10.70,5800,10.70
2013-11-25,10.40,10.50,10.40,10.40,4000,10.40
2013-11-22,10.50,10.50,10.50,10.50,1900,10.50
2013-11-21,10.50,10.50,10.50,10.50,000,10.50
2013-11-20,10.50,10.50,10.50,10.50,6000,10.50
