Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,14.00,14.25,13.50,14.00,39200,13.81
2014-02-25,13.65,13.90,13.40,13.90,2000,13.71
2014-02-24,13.20,13.50,13.20,13.50,15900,13.32
2014-02-21,13.20,13.20,13.20,13.20,000,13.02
2014-02-20,13.25,13.25,13.20,13.20,14300,13.02
2014-02-19,12.70,12.70,12.45,12.45,5000,12.28
2014-02-18,12.80,12.80,12.50,12.50,1100,12.33
2014-02-17,13.25,13.25,13.25,13.25,000,13.07
2014-02-14,12.80,13.25,12.55,13.25,5400,13.07
2014-02-13,12.80,13.25,12.80,13.25,5500,13.07
2014-02-12,13.25,13.25,13.25,13.25,100,13.07
2014-02-11,13.25,13.25,13.00,13.25,7000,13.07
2014-02-10,14.00,14.00,13.25,13.25,11600,13.07
2014-02-07,13.90,13.90,13.45,13.50,6400,13.32
2014-02-06,13.80,15.00,13.50,13.70,36300,13.51
2014-02-05,12.35,13.95,12.35,13.50,23400,13.32
2014-02-04,12.10,12.10,12.10,12.10,2500,11.94
2014-02-03,12.30,12.30,12.30,12.30,700,12.13
2014-01-31,12.05,12.30,12.05,12.30,10100,12.13
2014-01-30,11.85,11.85,11.85,11.85,000,11.69
2014-01-29,12.10,12.10,12.10,12.10,200,11.94
2014-01-28,11.85,11.85,11.85,11.85,000,11.69
2014-01-27,11.80,11.85,11.80,11.85,300,11.69
2014-01-24,11.85,11.85,11.85,11.85,000,11.69
2014-01-23,11.85,11.85,11.85,11.85,000,11.69
2014-01-22,11.85,11.85,11.85,11.85,000,11.69
2014-01-21,12.10,12.20,12.00,12.07,3700,11.91
2014-01-20,11.90,12.00,11.80,11.80,18100,11.64
2014-01-17,11.90,11.90,11.70,11.70,3500,11.54
2014-01-16,11.90,11.90,11.90,11.90,2500,11.74
2014-01-15,11.90,11.90,11.90,11.90,000,11.74
2014-01-14,11.90,11.90,11.90,11.90,200,11.74
2014-01-13,12.10,12.30,11.90,11.90,13800,11.74
2014-01-10,12.20,12.20,12.00,12.00,1400,11.84
2014-01-09,12.00,12.40,12.00,12.40,18200,12.23
2014-01-08,11.75,12.00,11.75,12.00,13000,11.84
2014-01-07,11.65,11.65,11.55,11.55,2000,11.39
2014-01-06,11.65,11.65,11.65,11.65,000,11.49
2014-01-03,11.65,11.65,11.65,11.65,400,11.49
2014-01-02,11.60,12.00,11.45,12.00,4000,11.84
2014-01-01,11.80,11.80,11.80,11.80,000,11.64
2013-12-31,11.80,11.80,11.80,11.80,000,11.64
2013-12-30,11.80,12.00,11.75,11.80,2800,11.64
2013-12-27,11.75,11.90,11.75,11.80,1800,11.64
2013-12-26,11.80,11.80,11.80,11.80,000,11.64
2013-12-25,11.80,11.80,11.80,11.80,000,11.64
2013-12-24,11.80,11.80,11.80,11.80,000,11.64
2013-12-23,11.50,12.00,11.50,11.80,32800,11.64
2013-12-20,11.50,12.00,11.50,11.60,6600,11.44
2013-12-19,11.60,11.80,11.50,11.50,3900,11.34
2013-12-18,12.00,12.00,11.60,12.00,6800,11.84
2013-12-17,12.00,12.20,12.00,12.20,800,12.03
2013-12-16,12.00,12.00,11.80,11.80,1200,11.64
2013-12-13,12.00,12.25,12.00,12.00,1000,11.84
2013-12-12,12.00,12.00,12.00,12.00,000,11.84
2013-12-11,12.00,12.00,12.00,12.00,000,11.84
2013-12-10,12.00,12.00,12.00,12.00,100,11.84
2013-12-09,12.00,12.20,11.90,12.00,7800,11.84
2013-12-06,12.00,12.00,12.00,12.00,200,11.84
2013-12-05,11.80,12.20,11.80,12.20,3000,12.03
2013-12-04,12.00,12.00,12.00,12.00,2500,11.84
2013-12-03,11.70,12.20,11.70,12.00,3500,11.84
2013-12-02,11.80,11.80,11.80,11.80,000,11.64
2013-11-29,12.00,12.00,12.00,12.00,000,11.84
2013-11-28,12.00,12.00,12.00,12.00,1000,11.84
2013-11-27,12.00,12.00,12.00,12.00,700,11.84
2013-11-26,12.40,12.40,12.20,12.20,2000,12.03
2013-11-25,12.00,12.20,12.00,12.20,3500,12.03
2013-11-22,12.00,12.00,12.00,12.00,000,11.84
2013-11-21,12.00,12.00,12.00,12.00,000,11.84
2013-11-20,12.00,12.00,12.00,12.00,000,11.84
2013-11-19,12.00,12.00,11.50,11.80,2500,11.64
2013-11-18,12.00,12.00,12.00,12.00,000,11.84
2013-11-15,11.80,12.20,11.80,12.00,8400,11.84
2013-11-14,12.40,12.40,12.00,12.00,4300,11.84
2013-11-13,12.00,12.20,12.00,12.20,9900,12.03
2013-11-12,12.00,12.20,12.00,12.20,500,12.03
2013-11-11,12.20,12.20,12.20,12.20,3000,12.03
2013-11-08,12.00,12.00,12.00,12.00,2700,11.84
2013-11-07,12.00,12.00,12.00,12.00,100,11.84
2013-11-06,12.00,12.20,12.00,12.20,1100,12.03
2013-11-05,12.20,12.20,12.20,12.20,2700,12.03
2013-11-04,12.20,12.40,12.00,12.40,3200,12.23
2013-11-01,12.20,12.50,12.20,12.50,4000,12.33
2013-10-31,12.25,12.60,12.20,12.20,8700,12.03
2013-10-30,12.00,12.55,12.00,12.50,8500,12.33
2013-10-29,12.50,12.50,12.25,12.25,10000,12.08
2013-10-28,13.00,13.00,12.60,12.60,4600,12.43
2013-10-25,12.90,12.90,12.55,12.90,26300,12.72
2013-10-24,12.90,12.90,12.90,12.90,000,12.72
2013-10-23,12.90,12.90,12.90,12.90,10000,12.72
2013-10-22,13.00,13.00,12.65,12.70,10500,12.53
2013-10-21,12.65,13.00,12.65,13.00,12000,12.82
2013-10-18,13.00,13.00,13.00,13.00,000,12.82
2013-10-17,13.45,13.45,12.90,13.00,8000,12.82
2013-10-16,13.00,13.00,13.00,13.00,5400,12.82
2013-10-15,13.25,13.25,13.00,13.25,5900,13.07
2013-10-14,13.75,13.75,13.75,13.75,000,13.56
2013-10-11,13.75,13.75,13.75,13.75,000,13.56
2013-10-10,13.75,13.75,13.75,13.75,200,13.56
2013-10-09,13.25,13.50,13.25,13.35,1000,13.17
2013-10-08,12.80,13.25,12.80,13.25,3000,13.07
2013-10-07,13.00,13.00,12.50,12.50,2500,12.33
2013-10-04,13.50,13.50,13.50,13.50,000,13.32
2013-10-03,13.75,13.75,13.00,13.50,1100,13.32
2013-10-02,13.30,13.30,13.00,13.00,10500,12.82
2013-10-01,13.75,13.80,13.25,13.30,4700,13.12
2013-09-30,13.40,13.50,13.40,13.50,3000,13.32
2013-09-27,13.80,13.80,13.50,13.50,3000,13.32
2013-09-26,13.30,13.80,13.30,13.55,5300,13.37
2013-09-25,13.05,13.30,13.05,13.20,15000,13.02
2013-09-24,13.50,13.95,13.10,13.10,900,12.92
2013-09-23,13.30,13.30,13.30,13.30,000,13.12
2013-09-20,13.30,13.30,13.30,13.30,1000,13.12
2013-09-19,13.30,13.55,13.30,13.55,2300,13.37
2013-09-18,13.30,13.30,13.30,13.30,600,13.12
2013-09-17,13.30,13.30,13.30,13.30,100,13.12
2013-09-16,13.30,13.40,13.30,13.40,1300,13.22
2013-09-13,13.50,13.50,13.50,13.50,000,13.32
2013-09-12,13.50,13.50,13.50,13.50,4900,13.32
2013-09-11,13.75,13.75,13.50,13.50,800,13.32
2013-09-10,13.50,13.50,13.50,13.50,3000,13.32
2013-09-09,13.20,13.30,13.20,13.30,1600,13.12
2013-09-06,13.05,13.20,13.05,13.20,3100,13.02
2013-09-05,13.05,13.05,13.05,13.05,500,12.87
2013-09-04,13.05,13.05,13.05,13.05,000,12.87
2013-09-03,13.10,13.55,13.10,13.55,700,13.37
