Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,43.40,44.50,43.40,44.50,700,44.50
2014-02-25,42.00,43.30,41.00,43.30,1100,43.30
2014-02-24,42.40,43.00,42.40,43.00,900,43.00
2014-02-21,43.30,43.50,42.00,43.20,2100,43.20
2014-02-20,42.00,43.90,42.00,43.30,3600,43.30
2014-02-19,43.60,45.80,42.00,44.00,6200,44.00
2014-02-18,42.70,43.50,42.70,43.50,100,43.50
2014-02-17,44.90,45.00,42.30,44.70,1800,44.70
2014-02-14,45.00,45.50,44.00,45.00,6300,45.00
2014-02-13,43.00,43.00,42.00,43.00,3400,43.00
2014-02-12,42.00,44.00,42.00,44.00,2300,44.00
2014-02-11,43.60,45.00,43.60,45.00,100,45.00
2014-02-10,43.90,45.40,43.50,45.40,2500,45.40
2014-02-07,42.30,44.40,42.00,43.90,6200,43.90
2014-02-06,41.00,44.00,41.00,41.80,2000,41.80
2014-02-05,41.50,44.90,39.00,41.50,2700,41.50
2014-02-04,40.60,42.60,40.60,42.60,4300,42.60
2014-02-03,46.00,46.00,44.80,44.80,900,44.80
2014-01-31,45.00,45.00,44.50,44.80,1100,44.80
2014-01-30,45.00,45.00,44.50,45.00,3700,45.00
2014-01-29,45.70,45.70,42.00,42.00,3900,42.00
2014-01-28,43.20,45.50,43.20,45.40,3600,45.40
2014-01-27,43.50,43.50,43.30,43.30,1400,43.30
2014-01-24,43.00,44.90,43.00,43.30,8800,43.30
2014-01-23,41.50,42.80,41.50,41.50,2200,41.50
2014-01-22,42.00,42.00,42.00,42.00,800,42.00
2014-01-21,42.50,43.50,41.50,42.00,900,42.00
2014-01-20,42.50,43.00,42.50,42.50,800,42.50
2014-01-17,42.00,43.50,42.00,43.50,11300,43.50
2014-01-16,42.90,42.90,42.00,42.50,3100,42.50
2014-01-15,42.00,43.60,41.50,43.60,3600,43.60
2014-01-14,42.90,43.50,42.70,43.50,3500,43.50
2014-01-13,40.50,42.90,40.50,42.90,700,42.90
2014-01-10,42.00,42.00,40.50,40.50,4800,40.50
2014-01-09,38.00,42.00,37.50,42.00,17100,42.00
2014-01-08,38.00,38.00,37.00,37.50,2600,37.50
2014-01-07,37.50,38.00,36.10,36.10,2200,36.10
2014-01-06,36.90,36.90,36.90,36.90,000,36.90
2014-01-03,36.00,36.90,36.00,36.90,600,36.90
2014-01-02,37.00,37.00,36.10,37.00,1000,37.00
2014-01-01,37.10,37.10,37.10,37.10,000,37.10
2013-12-31,37.10,37.10,37.10,37.10,000,37.10
2013-12-30,37.10,38.50,37.10,37.10,4200,37.10
2013-12-27,36.60,37.60,36.50,37.60,9200,37.60
2013-12-26,36.80,36.80,36.80,36.80,000,36.80
2013-12-25,36.80,36.80,36.80,36.80,000,36.80
2013-12-24,36.80,36.80,36.80,36.80,000,36.80
2013-12-23,36.70,37.80,36.70,36.80,7200,36.80
2013-12-20,37.00,38.00,36.70,38.00,5900,38.00
2013-12-19,37.00,38.00,37.00,37.90,9100,37.90
2013-12-18,38.70,38.70,37.10,37.90,5600,37.90
2013-12-17,39.00,39.00,38.00,38.70,6600,38.70
2013-12-16,39.00,39.00,37.10,37.40,7700,37.40
2013-12-13,37.60,39.60,37.60,39.00,1300,39.00
2013-12-12,40.00,40.00,39.00,39.00,5800,39.00
2013-12-11,38.30,40.80,37.20,40.70,3200,40.70
2013-12-10,39.00,40.00,38.00,38.10,3600,38.10
2013-12-09,39.00,41.50,39.00,39.00,7600,39.00
2013-12-06,41.20,41.20,38.10,38.10,600,38.10
2013-12-05,40.90,41.50,40.90,41.30,5500,41.30
2013-12-04,41.80,41.80,39.90,40.00,1400,40.00
2013-12-03,41.80,41.80,37.50,37.50,400,37.50
2013-12-02,40.00,41.80,40.00,41.80,2600,41.80
2013-11-29,38.50,40.50,38.50,40.50,2500,40.50
2013-11-28,40.50,41.00,40.20,40.20,4000,40.20
2013-11-27,40.50,41.00,40.50,40.50,100500,40.50
2013-11-26,40.70,40.70,40.10,40.70,2100,40.70
2013-11-25,40.50,42.00,40.00,42.00,4200,42.00
2013-11-22,41.30,41.50,41.00,41.00,1700,41.00
2013-11-21,40.00,41.00,40.00,41.00,1600,41.00
2013-11-20,40.00,41.90,40.00,40.00,1500,40.00
2013-11-19,41.40,41.90,41.40,41.90,4400,41.90
2013-11-18,41.50,41.50,40.60,41.00,4000,41.00
2013-11-15,41.00,41.00,40.60,40.60,400,40.60
2013-11-14,40.20,42.00,40.20,40.50,2800,40.50
2013-11-13,42.00,42.00,40.20,40.20,2100,40.20
2013-11-12,41.00,42.00,40.90,41.00,12900,41.00
2013-11-11,38.30,41.80,38.30,40.00,17200,40.00
2013-11-08,37.80,41.00,37.00,39.00,8500,39.00
2013-11-07,38.00,38.20,37.20,37.80,2900,37.80
2013-11-06,37.00,38.00,37.00,38.00,142000,38.00
2013-11-05,38.00,38.00,37.00,38.00,100,38.00
2013-11-04,34.50,38.00,34.50,38.00,7100,38.00
2013-11-01,34.50,35.50,34.50,35.50,3400,35.50
2013-10-31,35.50,35.50,35.40,35.40,300,35.40
2013-10-30,33.20,36.00,33.20,34.50,5000,34.50
2013-10-29,34.00,34.00,33.50,33.50,2300,33.50
2013-10-28,36.00,36.40,32.60,34.00,6800,34.00
2013-10-25,36.10,37.80,35.00,35.00,7600,35.00
2013-10-24,35.00,37.60,35.00,37.30,700,37.30
2013-10-23,37.00,37.00,35.30,35.30,400,35.30
2013-10-22,36.50,37.50,36.30,37.50,3000,37.50
2013-10-21,37.00,38.60,35.00,38.60,7100,38.60
2013-10-18,37.00,39.80,34.10,38.60,9900,38.60
2013-10-17,36.20,40.00,36.20,40.00,13700,40.00
2013-10-16,36.20,37.90,36.20,36.20,4100,36.20
2013-10-15,36.20,37.00,36.20,37.00,400,37.00
2013-10-14,37.60,38.00,37.20,38.00,2000,38.00
2013-10-11,37.90,38.00,37.40,37.60,3100,37.60
2013-10-10,36.50,37.80,36.50,37.40,1400,37.40
2013-10-09,37.60,38.00,36.50,36.50,5100,36.50
2013-10-08,37.00,37.60,36.60,37.00,2000,37.00
2013-10-07,38.50,38.50,36.90,36.90,1000,36.90
2013-10-04,38.20,38.90,37.50,38.90,3200,38.90
2013-10-03,36.20,38.40,36.20,38.20,1800,38.20
2013-10-02,37.20,38.40,36.00,37.90,5000,37.90
2013-10-01,40.00,40.00,38.50,38.50,3200,38.50
2013-09-30,40.20,40.20,39.00,40.20,4900,40.20
2013-09-27,39.50,40.40,39.00,40.30,5100,40.30
2013-09-26,40.40,40.40,39.50,40.00,4200,40.00
2013-09-25,41.80,41.80,39.10,40.40,16500,40.40
2013-09-24,38.70,47.00,38.50,41.90,43000,41.90
2013-09-23,34.00,34.00,33.50,33.50,2200,33.50
2013-09-20,32.30,34.00,32.30,33.50,1700,33.50
2013-09-19,33.20,34.00,31.60,34.00,2700,34.00
2013-09-18,31.70,33.20,31.30,33.20,3400,33.20
2013-09-17,32.00,32.20,32.00,32.00,1000,32.00
2013-09-16,32.00,33.00,31.50,33.00,600,33.00
2013-09-13,33.00,34.50,32.10,33.70,4800,33.70
2013-09-12,32.10,33.90,31.00,33.90,11400,33.90
2013-09-11,34.00,34.00,32.00,32.00,3700,32.00
2013-09-10,33.50,35.00,33.50,34.00,2700,34.00
2013-09-09,32.10,34.00,32.10,34.00,900,34.00
2013-09-06,34.00,34.60,33.50,33.50,3200,33.50
2013-09-05,34.80,34.80,34.00,34.00,1300,34.00
2013-09-04,35.50,35.50,33.50,34.90,2000,34.90
2013-09-03,35.40,36.10,35.10,36.00,4800,36.00
2013-09-02,38.00,38.00,37.00,37.00,1500,37.00
2013-08-30,37.90,38.00,37.90,38.00,2000,38.00
2013-08-29,35.20,36.40,35.20,36.40,1000,36.40
2013-08-28,37.00,37.00,36.50,37.00,5400,37.00
2013-08-27,36.60,37.00,36.00,37.00,3000,37.00
2013-08-26,37.30,37.30,36.50,36.60,1100,36.60
2013-08-23,37.00,37.30,37.00,37.30,4000,37.30
2013-08-22,36.00,37.50,35.80,37.50,5700,37.50
2013-08-21,37.00,37.00,36.00,36.00,8800,36.00
2013-08-20,38.50,39.00,37.00,37.00,3100,37.00
2013-08-19,37.00,37.70,37.00,37.50,2000,37.50
2013-08-16,36.50,37.00,36.50,37.00,1600,37.00
2013-08-15,36.50,36.50,36.50,36.50,600,36.50
2013-08-14,36.50,36.50,36.50,36.50,100,36.50
2013-08-13,35.10,36.50,35.10,36.50,700,36.50
2013-08-12,36.00,36.00,35.50,35.50,300,35.50
2013-08-09,35.10,35.50,35.00,35.50,4100,35.50
2013-08-08,35.50,35.50,35.00,35.00,2200,35.00
2013-08-07,34.00,35.40,34.00,35.40,700,35.40
2013-08-06,36.00,36.00,34.50,34.80,700,34.80
2013-08-05,37.50,37.50,35.50,35.50,1800,35.50
2013-08-02,36.50,37.00,36.50,37.00,4000,37.00
2013-08-01,36.80,36.80,36.10,36.80,1700,36.80
2013-07-31,36.00,36.10,36.00,36.10,2500,36.10
2013-07-30,34.20,36.00,33.80,36.00,1500,36.00
2013-07-29,35.00,36.10,33.50,33.50,1600,33.50
2013-07-26,35.00,35.00,35.00,35.00,000,35.00
2013-07-25,35.00,35.00,34.50,35.00,2700,35.00
2013-07-24,31.00,35.00,31.00,35.00,3800,35.00
2013-07-23,30.10,33.00,30.10,33.00,6300,33.00
2013-07-22,32.00,32.00,29.50,31.90,8500,31.90
2013-07-19,31.20,31.50,31.10,31.50,2600,31.50
2013-07-18,31.10,31.10,31.10,31.10,1000,31.10
2013-07-17,30.60,30.80,30.60,30.80,100200,30.80
2013-07-16,31.40,31.50,30.60,30.60,1300,30.60
2013-07-15,30.60,31.00,30.60,31.00,300,31.00
2013-07-12,30.60,31.20,30.60,31.20,1000,31.20
2013-07-11,31.00,31.00,31.00,31.00,000,31.00
2013-07-10,30.10,31.00,30.00,31.00,3700,31.00
2013-07-09,31.20,31.20,31.00,31.00,700,31.00
2013-07-08,30.50,31.00,30.50,31.00,2000,31.00
2013-07-05,31.20,31.20,29.50,30.50,200,30.50
2013-07-04,30.10,31.00,30.00,31.00,44600,31.00
2013-07-03,29.00,30.50,29.00,30.00,1400,30.00
2013-07-02,30.50,30.50,30.50,30.50,1200,30.50
2013-07-01,31.20,31.20,31.20,31.20,000,31.20
2013-06-28,31.20,31.50,30.50,31.20,11500,31.20
2013-06-27,30.00,31.20,30.00,31.20,2100,31.20
2013-06-26,30.00,30.00,30.00,30.00,1700,30.00
2013-06-25,30.80,30.80,30.10,30.50,1300,30.50
2013-06-24,31.50,31.50,30.00,30.00,2100,30.00
2013-06-21,30.00,30.00,30.00,30.00,000,30.00
2013-06-20,30.70,30.70,30.00,30.00,700,30.00
2013-06-19,29.80,31.50,29.50,30.00,7500,30.00
2013-06-18,30.50,30.90,30.50,30.90,1100,30.90
2013-06-17,29.90,30.50,29.20,30.50,4800,30.50
2013-06-14,29.50,29.90,28.80,28.80,200,28.80
2013-06-13,28.00,29.50,28.00,29.50,3600,29.50
2013-06-12,28.60,29.10,28.50,29.10,1600,29.10
2013-06-11,29.50,29.50,29.00,29.00,6500,29.00
2013-06-10,29.00,29.90,29.00,29.80,800,29.80
2013-06-07,29.00,29.00,29.00,29.00,700,29.00
2013-06-06,28.50,28.50,28.50,28.50,000,28.50
2013-06-05,29.10,29.10,28.50,28.50,300,28.50
2013-06-04,28.50,29.00,28.50,29.00,800,29.00
2013-06-03,28.50,29.20,28.50,29.20,500,29.20
2013-05-31,28.30,29.20,28.30,29.20,2400,29.20
2013-05-30,29.50,29.90,29.50,29.90,1000,29.90
2013-05-29,28.80,28.80,28.00,28.80,2100,28.80
2013-05-28,30.00,30.00,28.50,28.80,2300,28.80
2013-05-27,30.00,30.00,30.00,30.00,300,30.00
2013-05-24,28.40,30.20,28.40,30.20,208600,30.20
2013-05-23,29.50,29.50,28.40,28.40,9700,28.40
2013-05-22,29.00,29.00,29.00,29.00,200,29.00
2013-05-21,28.20,29.00,28.20,29.00,400,29.00
2013-05-20,29.00,29.00,28.70,29.00,1500,29.00
2013-05-17,29.00,29.00,29.00,29.00,000,29.00
2013-05-16,29.30,30.00,29.00,29.00,6100,29.00
2013-05-15,29.50,30.00,29.30,29.30,300,29.30
2013-05-14,29.00,29.10,29.00,29.10,000,29.10
2013-05-13,28.90,29.20,28.90,29.00,1200,29.00
2013-05-10,30.50,31.00,30.00,31.00,800,31.00
2013-05-09,30.50,30.50,30.50,30.50,000,30.50
2013-05-08,30.50,30.50,30.50,30.50,500,30.50
2013-05-07,30.10,30.10,30.10,30.10,100,30.10
2013-05-06,30.30,30.30,30.20,30.20,89900,30.20
2013-05-03,30.00,32.00,30.00,32.00,89600,32.00
2013-05-02,28.50,31.00,28.50,31.00,1700,31.00
2013-05-01,29.20,29.20,29.20,29.20,000,29.20
2013-04-30,29.20,29.20,29.20,29.20,000,29.20
2013-04-29,30.80,30.80,29.20,29.20,1400,29.20
2013-04-26,31.20,31.20,30.80,30.80,2300,30.80
2013-04-25,32.90,32.90,31.30,31.30,400,30.25
2013-04-24,31.60,31.60,31.20,31.50,1200,30.44
2013-04-23,31.60,31.60,31.50,31.50,400,30.44
2013-04-22,32.00,32.00,31.60,31.60,1300,30.54
2013-04-19,33.00,33.00,31.50,31.60,3300,30.54
2013-04-18,31.60,33.10,31.60,33.10,800,31.99
2013-04-17,32.60,33.30,31.20,31.20,2600,30.15
2013-04-16,31.80,31.80,31.00,31.00,1100,29.96
2013-04-15,32.90,32.90,31.90,31.90,1100,30.83
2013-04-12,31.60,33.20,31.60,33.20,3200,32.09
2013-04-11,31.60,33.80,31.60,33.80,1600,32.67
2013-04-10,33.00,33.00,31.80,31.80,1000,30.73
