Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.47,0.47,0.46,0.47,2436300,0.47
2014-02-25,0.48,0.48,0.46,0.47,2411800,0.47
2014-02-21,0.53,0.54,0.49,0.49,8121500,0.49
2014-02-20,0.51,0.52,0.50,0.52,1672400,0.52
2014-02-19,0.52,0.52,0.50,0.52,1926600,0.52
2014-02-18,0.52,0.52,0.50,0.52,3721300,0.52
2014-02-17,0.52,0.54,0.51,0.52,14540500,0.52
2014-02-14,0.45,0.53,0.45,0.50,50639600,0.50
2014-02-13,0.47,0.47,0.45,0.46,974200,0.46
2014-02-12,0.47,0.48,0.45,0.46,2464700,0.46
2014-02-11,0.47,0.49,0.47,0.48,2079400,0.48
2014-02-10,0.46,0.49,0.45,0.47,5370900,0.47
2014-02-07,0.45,0.46,0.44,0.46,399300,0.46
2014-02-06,0.46,0.46,0.44,0.46,1644100,0.46
2014-02-05,0.45,0.46,0.44,0.46,1934600,0.46
2014-02-04,0.45,0.46,0.44,0.45,1805800,0.45
2014-02-03,0.46,0.46,0.45,0.45,353600,0.45
2014-01-31,0.46,0.47,0.44,0.46,1815000,0.46
2014-01-30,0.45,0.47,0.45,0.46,1614400,0.46
2014-01-29,0.46,0.47,0.45,0.46,2489100,0.46
2014-01-28,0.46,0.47,0.45,0.47,2255200,0.47
2014-01-27,0.47,0.47,0.45,0.47,4908600,0.47
2014-01-24,0.48,0.48,0.46,0.47,3150500,0.47
2014-01-23,0.50,0.50,0.47,0.48,5272000,0.48
2014-01-22,0.49,0.51,0.47,0.50,4415100,0.50
2014-01-21,0.51,0.52,0.47,0.48,11960900,0.48
2014-01-20,0.53,0.56,0.49,0.50,26344800,0.50
2014-01-17,0.44,0.53,0.44,0.51,26168400,0.51
2014-01-16,0.44,0.45,0.43,0.45,3391100,0.45
2014-01-15,0.45,0.45,0.44,0.45,2269600,0.45
2014-01-14,0.45,0.45,0.43,0.45,7731400,0.45
2014-01-13,0.46,0.46,0.44,0.46,3987000,0.46
2014-01-10,0.47,0.47,0.45,0.46,2956300,0.46
2014-01-09,0.47,0.48,0.46,0.47,5437900,0.47
2014-01-08,0.46,0.47,0.45,0.47,4962300,0.47
2014-01-07,0.48,0.48,0.47,0.47,1331400,0.47
2014-01-06,0.49,0.49,0.49,0.49,000,0.49
2014-01-03,0.49,0.49,0.48,0.49,2536600,0.49
2014-01-02,0.48,0.49,0.48,0.49,726200,0.49
2014-01-01,0.48,0.48,0.48,0.48,000,0.48
2013-12-31,0.48,0.48,0.48,0.48,000,0.48
2013-12-30,0.48,0.49,0.47,0.48,2257500,0.48
2013-12-27,0.46,0.49,0.46,0.48,3253500,0.48
2013-12-26,0.46,0.46,0.46,0.46,000,0.46
2013-12-25,0.46,0.46,0.46,0.46,000,0.46
2013-12-24,0.46,0.46,0.46,0.46,000,0.46
2013-12-23,0.46,0.47,0.46,0.46,821200,0.46
2013-12-20,0.46,0.49,0.46,0.46,3370800,0.46
2013-12-19,0.46,0.49,0.45,0.47,4347200,0.47
2013-12-18,0.48,0.48,0.45,0.46,4395200,0.46
2013-12-17,0.50,0.50,0.47,0.49,1633500,0.49
2013-12-16,0.49,0.51,0.48,0.50,1245600,0.50
2013-12-13,0.49,0.50,0.48,0.50,1144400,0.50
2013-12-12,0.51,0.51,0.48,0.50,2764500,0.50
2013-12-11,0.52,0.53,0.49,0.51,4791200,0.51
2013-12-10,0.48,0.54,0.48,0.50,10847100,0.50
2013-12-09,0.45,0.49,0.44,0.48,4840200,0.48
2013-12-06,0.44,0.45,0.44,0.45,2316200,0.45
2013-12-05,0.44,0.45,0.43,0.45,1330500,0.45
2013-12-04,0.44,0.45,0.43,0.44,2502400,0.44
2013-12-03,0.45,0.45,0.43,0.45,3862500,0.45
2013-12-02,0.48,0.48,0.45,0.46,2527300,0.46
2013-11-29,0.47,0.48,0.47,0.48,586100,0.48
2013-11-28,0.48,0.48,0.46,0.47,3544800,0.47
2013-11-27,0.49,0.50,0.47,0.49,3105600,0.49
2013-11-26,0.50,0.51,0.48,0.49,3764100,0.49
2013-11-25,0.50,0.53,0.49,0.49,8127000,0.49
2013-11-22,0.50,0.51,0.49,0.50,1133400,0.50
2013-11-21,0.51,0.51,0.49,0.51,1619200,0.51
2013-11-20,0.54,0.54,0.51,0.51,3278500,0.51
2013-11-19,0.52,0.54,0.50,0.54,2759000,0.54
2013-11-18,0.51,0.55,0.49,0.52,6856200,0.52
2013-11-15,0.58,0.63,0.50,0.51,20449700,0.51
2013-11-14,0.44,0.57,0.44,0.57,32082200,0.57
2013-11-13,0.44,0.44,0.42,0.44,2036100,0.44
2013-11-12,0.44,0.44,0.42,0.44,1507900,0.44
2013-11-11,0.44,0.44,0.43,0.44,1047600,0.44
2013-11-08,0.46,0.46,0.43,0.44,6654200,0.44
2013-11-07,0.43,0.46,0.42,0.46,5210300,0.46
2013-11-06,0.43,0.43,0.42,0.43,671100,0.43
2013-11-05,0.41,0.43,0.41,0.42,1233700,0.42
2013-11-04,0.43,0.43,0.41,0.42,1202300,0.42
2013-11-01,0.42,0.43,0.42,0.43,521700,0.43
2013-10-31,0.43,0.43,0.41,0.43,1387300,0.43
2013-10-30,0.44,0.44,0.42,0.43,1096800,0.43
2013-10-29,0.43,0.44,0.42,0.44,717400,0.44
2013-10-28,0.43,0.44,0.42,0.43,666900,0.43
2013-10-25,0.44,0.44,0.42,0.44,714600,0.44
2013-10-24,0.44,0.44,0.43,0.44,1409400,0.44
2013-10-23,0.44,0.44,0.42,0.44,1565100,0.44
2013-10-22,0.43,0.44,0.43,0.43,3325200,0.43
2013-10-21,0.41,0.46,0.41,0.43,10575600,0.43
2013-10-18,0.41,0.42,0.40,0.42,1509900,0.42
2013-10-17,0.40,0.41,0.40,0.41,1445700,0.41
2013-10-16,0.41,0.41,0.40,0.41,2502200,0.41
2013-10-15,0.41,0.43,0.40,0.41,12464400,0.41
2013-10-14,0.40,0.40,0.39,0.39,469400,0.39
2013-10-11,0.39,0.40,0.39,0.40,553500,0.40
2013-10-10,0.40,0.40,0.39,0.40,1278700,0.40
2013-10-09,0.40,0.40,0.39,0.40,1979800,0.40
2013-10-08,0.40,0.43,0.39,0.40,7101900,0.40
2013-10-07,0.41,0.41,0.39,0.39,498000,0.39
2013-10-04,0.41,0.41,0.39,0.41,1936800,0.41
2013-10-03,0.40,0.42,0.40,0.41,1114700,0.41
2013-10-02,0.40,0.42,0.40,0.40,2030000,0.40
2013-10-01,0.42,0.42,0.40,0.40,787800,0.40
2013-09-30,0.42,0.43,0.41,0.43,1086600,0.43
2013-09-27,0.40,0.42,0.40,0.42,1344200,0.42
2013-09-26,0.41,0.42,0.40,0.40,832500,0.40
2013-09-25,0.41,0.41,0.40,0.41,918900,0.41
2013-09-24,0.42,0.42,0.40,0.41,1841500,0.41
2013-09-23,0.43,0.43,0.41,0.42,927400,0.42
2013-09-20,0.43,0.44,0.42,0.43,1196200,0.43
2013-09-19,0.43,0.44,0.42,0.43,1954000,0.43
2013-09-18,0.43,0.44,0.42,0.43,1488700,0.43
2013-09-17,0.41,0.44,0.40,0.43,9381500,0.43
2013-09-16,0.40,0.41,0.39,0.39,1148000,0.39
2013-09-13,0.39,0.41,0.39,0.39,861600,0.39
2013-09-12,0.41,0.41,0.39,0.40,1561800,0.40
2013-09-11,0.41,0.41,0.40,0.40,692500,0.40
2013-09-10,0.41,0.42,0.40,0.41,1049800,0.41
2013-09-09,0.41,0.44,0.41,0.41,3960900,0.41
2013-09-06,0.42,0.42,0.40,0.40,1497500,0.40
2013-09-05,0.41,0.42,0.40,0.42,1980300,0.42
2013-09-04,0.40,0.41,0.40,0.41,868500,0.41
2013-09-03,0.42,0.42,0.40,0.40,1986000,0.40
2013-09-02,0.40,0.43,0.40,0.41,3146200,0.41
2013-08-30,0.39,0.40,0.39,0.40,487800,0.40
2013-08-29,0.40,0.40,0.38,0.39,1654700,0.39
2013-08-28,0.40,0.41,0.39,0.40,1392000,0.40
2013-08-27,0.41,0.42,0.39,0.40,1468900,0.40
2013-08-26,0.41,0.42,0.40,0.42,815000,0.42
2013-08-23,0.43,0.43,0.39,0.41,2032900,0.41
2013-08-22,0.43,0.45,0.43,0.44,495900,0.44
2013-08-21,0.43,0.44,0.42,0.43,716600,0.43
2013-08-20,0.43,0.44,0.41,0.44,663500,0.44
2013-08-19,0.45,0.45,0.43,0.44,391100,0.44
2013-08-16,0.43,0.45,0.42,0.44,1454400,0.44
2013-08-15,0.46,0.46,0.43,0.43,1229300,0.43
2013-08-14,0.44,0.49,0.42,0.45,6205700,0.45
2013-08-13,0.44,0.44,0.42,0.44,1337600,0.44
2013-08-12,0.43,0.47,0.42,0.44,4204400,0.44
2013-08-09,0.43,0.43,0.41,0.43,967600,0.43
2013-08-08,0.43,0.44,0.42,0.43,1236800,0.43
2013-08-07,0.42,0.43,0.41,0.43,749800,0.43
2013-08-06,0.41,0.42,0.41,0.42,507900,0.42
2013-08-05,0.42,0.42,0.41,0.41,729700,0.41
2013-08-02,0.42,0.43,0.41,0.42,335700,0.42
2013-08-01,0.41,0.42,0.40,0.42,592300,0.42
2013-07-31,0.42,0.42,0.40,0.41,1158800,0.41
2013-07-30,0.42,0.42,0.41,0.42,775200,0.42
2013-07-29,0.40,0.43,0.40,0.42,698700,0.42
2013-07-26,0.41,0.42,0.40,0.40,427600,0.40
2013-07-25,0.40,0.44,0.40,0.41,736200,0.41
2013-07-24,0.40,0.41,0.39,0.41,890400,0.41
2013-07-23,0.40,0.43,0.39,0.41,784500,0.41
2013-07-22,0.39,0.40,0.38,0.40,674400,0.40
2013-07-19,0.40,0.40,0.38,0.40,871900,0.40
2013-07-18,0.40,0.40,0.39,0.40,669000,0.40
2013-07-17,0.39,0.41,0.39,0.40,704600,0.40
2013-07-16,0.40,0.41,0.39,0.39,359000,0.39
2013-07-15,0.41,0.41,0.39,0.40,491500,0.40
2013-07-12,0.39,0.41,0.39,0.40,660000,0.40
2013-07-11,0.41,0.41,0.38,0.40,985900,0.40
2013-07-10,0.42,0.42,0.39,0.41,1231700,0.41
2013-07-09,0.42,0.42,0.41,0.42,383000,0.42
2013-07-08,0.42,0.43,0.41,0.41,271700,0.41
2013-07-05,0.41,0.43,0.41,0.42,899200,0.42
2013-07-04,0.41,0.43,0.41,0.43,383600,0.43
2013-07-03,0.42,0.42,0.40,0.41,446100,0.41
2013-07-02,0.43,0.43,0.41,0.41,622800,0.41
2013-07-01,0.41,0.43,0.41,0.43,577300,0.43
2013-06-28,0.42,0.43,0.41,0.43,240900,0.43
2013-06-27,0.42,0.43,0.41,0.42,623300,0.42
2013-06-26,0.42,0.43,0.41,0.43,1115500,0.43
2013-06-25,0.42,0.43,0.41,0.42,596300,0.42
2013-06-24,0.42,0.42,0.40,0.41,1457900,0.41
2013-06-21,0.43,0.43,0.43,0.43,000,0.43
2013-06-20,0.43,0.44,0.42,0.43,607100,0.43
2013-06-19,0.44,0.44,0.41,0.43,749900,0.43
2013-06-18,0.44,0.45,0.43,0.44,276900,0.44
2013-06-17,0.44,0.44,0.42,0.44,1243300,0.44
2013-06-14,0.46,0.46,0.43,0.44,970200,0.44
2013-06-13,0.44,0.48,0.43,0.45,3979500,0.45
2013-06-12,0.46,0.47,0.42,0.44,2644600,0.44
2013-06-11,0.44,0.49,0.43,0.45,1868500,0.45
2013-06-10,0.46,0.46,0.43,0.44,1784900,0.44
2013-06-07,0.46,0.47,0.46,0.46,377800,0.46
2013-06-06,0.47,0.47,0.47,0.47,000,0.47
2013-06-05,0.47,0.48,0.45,0.47,1987800,0.47
2013-06-04,0.48,0.48,0.46,0.47,1386400,0.47
2013-06-03,0.47,0.52,0.47,0.48,4716300,0.48
2013-05-31,0.48,0.48,0.47,0.47,310000,0.47
2013-05-30,0.48,0.48,0.47,0.48,185700,0.48
2013-05-29,0.47,0.48,0.47,0.47,348800,0.47
2013-05-28,0.46,0.48,0.46,0.48,626300,0.48
2013-05-27,0.48,0.48,0.47,0.48,289200,0.48
2013-05-24,0.47,0.48,0.47,0.48,426500,0.48
2013-05-23,0.49,0.49,0.46,0.48,639600,0.48
2013-05-22,0.48,0.49,0.47,0.49,610200,0.49
2013-05-21,0.46,0.49,0.46,0.48,1132300,0.48
2013-05-20,0.47,0.49,0.47,0.47,293700,0.47
2013-05-17,0.46,0.48,0.45,0.48,1073400,0.48
2013-05-16,0.48,0.48,0.47,0.47,515700,0.47
2013-05-15,0.46,0.49,0.46,0.48,1446000,0.48
2013-05-14,0.48,0.48,0.46,0.46,1131000,0.46
2013-05-13,0.49,0.50,0.48,0.49,791100,0.49
2013-05-10,0.50,0.51,0.49,0.50,339500,0.50
2013-05-09,0.50,0.50,0.50,0.50,000,0.50
2013-05-08,0.51,0.51,0.50,0.50,958100,0.50
2013-05-07,0.52,0.52,0.50,0.51,1539000,0.51
2013-05-06,0.53,0.54,0.52,0.52,709100,0.52
2013-05-03,0.53,0.54,0.51,0.53,1602800,0.53
2013-05-02,0.53,0.56,0.52,0.53,1594500,0.53
2013-05-01,0.55,0.55,0.55,0.55,000,0.55
2013-04-30,0.55,0.55,0.55,0.55,000,0.55
2013-04-29,0.54,0.57,0.53,0.55,3022800,0.55
2013-04-26,0.55,0.55,0.53,0.53,2310500,0.53
2013-04-25,0.55,0.57,0.52,0.55,3630300,0.55
2013-04-24,0.59,0.61,0.53,0.54,10582000,0.54
2013-04-23,0.44,0.66,0.43,0.57,27345600,0.57
2013-04-22,0.45,0.46,0.44,0.45,265300,0.45
2013-04-19,0.46,0.46,0.44,0.45,666800,0.45
2013-04-18,0.47,0.50,0.44,0.45,3206700,0.45
2013-04-17,0.46,0.46,0.43,0.44,1109100,0.44
2013-04-16,0.43,0.50,0.43,0.45,3762500,0.45
2013-04-15,0.43,0.43,0.42,0.43,364700,0.43
2013-04-12,0.45,0.45,0.42,0.43,2343300,0.43
2013-04-11,0.47,0.47,0.44,0.45,2633500,0.45
2013-04-10,0.45,0.49,0.44,0.46,2338200,0.46
2013-04-09,0.44,0.47,0.44,0.44,1027700,0.44
2013-04-08,0.48,0.48,0.44,0.45,2587000,0.45
2013-04-05,0.49,0.49,0.47,0.48,2012200,0.48
2013-04-04,0.49,0.49,0.47,0.49,1004900,0.49
2013-04-03,0.50,0.50,0.48,0.49,1049600,0.49
2013-04-02,0.50,0.51,0.49,0.50,861600,0.50
2013-04-01,0.50,0.50,0.50,0.50,000,0.50
2013-03-29,0.50,0.50,0.50,0.50,000,0.50
2013-03-28,0.50,0.50,0.50,0.50,000,0.50
2013-03-27,0.51,0.52,0.49,0.50,1890000,0.50
2013-03-26,0.51,0.53,0.51,0.51,1801500,0.51
2013-03-25,0.53,0.55,0.51,0.52,4764900,0.52
2013-03-22,0.55,0.55,0.52,0.53,1385300,0.53
2013-03-21,0.48,0.58,0.47,0.54,6387200,0.54
2013-03-20,0.49,0.49,0.47,0.48,1241700,0.48
2013-03-19,0.51,0.51,0.48,0.50,2425600,0.50
2013-03-18,0.51,0.52,0.48,0.51,3643900,0.51
2013-03-15,0.55,0.56,0.51,0.53,3517500,0.53
2013-03-14,0.58,0.59,0.54,0.55,3829200,0.55
2013-03-13,0.56,0.60,0.52,0.58,6760600,0.58
2013-03-12,0.64,0.64,0.54,0.58,13706700,0.58
2013-03-11,0.62,0.72,0.58,0.63,46205700,0.63
2013-03-08,0.39,0.62,0.39,0.58,45724600,0.58
2013-03-07,0.38,0.39,0.37,0.38,1532500,0.38
2013-03-06,0.39,0.39,0.37,0.38,1955500,0.38
2013-03-05,0.39,0.39,0.37,0.38,2427100,0.38
2013-03-04,0.38,0.42,0.37,0.38,3291100,0.38
2013-03-01,0.39,0.39,0.36,0.38,7176300,0.38
2013-02-28,0.45,0.45,0.39,0.39,8139600,0.39
2013-02-27,0.48,0.50,0.48,0.48,930600,0.48
2013-02-26,0.49,0.49,0.48,0.49,929200,0.49
2013-02-25,0.51,0.51,0.49,0.49,1570300,0.49
2013-02-22,0.50,0.51,0.49,0.51,1772100,0.51
2013-02-21,0.52,0.52,0.49,0.49,1924800,0.49
2013-02-20,0.49,0.53,0.48,0.52,3013100,0.52
2013-02-19,0.49,0.51,0.48,0.50,2893100,0.50
2013-02-18,0.53,0.54,0.50,0.50,2958500,0.50
2013-02-15,0.53,0.54,0.52,0.53,2406100,0.53
2013-02-14,0.53,0.54,0.53,0.54,952100,0.54
2013-02-13,0.54,0.55,0.53,0.54,703100,0.54
2013-02-12,0.54,0.55,0.53,0.54,1298200,0.54
2013-02-11,0.55,0.55,0.53,0.54,1783500,0.54
2013-02-08,0.56,0.56,0.54,0.55,940200,0.55
