Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,5.75,5.90,5.60,5.90,10300,5.90
2014-02-25,5.55,5.80,5.40,5.80,62900,5.80
2014-02-21,5.50,5.60,5.50,5.60,85500,5.60
2014-02-20,5.70,5.70,5.60,5.60,10100,5.60
2014-02-19,5.75,5.95,5.65,5.95,17700,5.95
2014-02-18,5.90,6.00,5.80,5.90,40000,5.90
2014-02-17,6.10,6.30,5.95,5.95,70100,5.95
2014-02-14,6.60,6.90,5.75,6.00,154300,6.00
2014-02-13,6.95,7.00,6.80,6.80,35200,6.80
2014-02-12,6.90,6.90,6.75,6.75,56100,6.75
2014-02-11,6.75,6.85,6.65,6.70,26700,6.70
2014-02-10,6.50,6.85,6.50,6.85,46500,6.85
2014-02-07,6.70,7.00,6.35,7.00,96400,7.00
2014-02-06,7.05,7.05,6.70,7.05,4000,7.05
2014-02-05,6.80,7.00,6.55,7.00,44400,7.00
2014-02-04,6.85,7.00,6.85,7.00,25100,7.00
2014-02-03,6.70,6.90,6.55,6.80,26600,6.80
2014-01-31,7.00,7.00,6.80,6.80,7900,6.80
2014-01-30,7.05,7.60,6.60,7.00,125800,7.00
2014-01-29,7.15,7.15,6.60,6.80,35800,6.80
2014-01-28,7.25,7.30,7.15,7.15,23700,7.15
2014-01-27,7.10,7.15,6.80,7.15,35200,7.15
2014-01-24,7.30,7.30,7.10,7.10,56500,7.10
2014-01-23,7.60,7.95,7.30,7.40,44100,7.40
2014-01-22,7.80,7.90,7.30,7.90,49800,7.90
2014-01-21,8.00,8.00,7.65,7.90,195900,7.90
2014-01-20,7.15,7.70,7.15,7.60,316200,7.60
2014-01-17,6.95,7.05,6.75,6.95,31200,6.95
2014-01-16,7.00,7.00,6.75,6.95,54000,6.95
2014-01-15,6.90,7.00,6.75,7.00,41000,7.00
2014-01-14,6.95,6.95,6.75,6.90,31400,6.90
2014-01-13,6.50,7.35,6.50,6.95,401600,6.95
2014-01-10,6.70,6.90,6.50,6.50,80300,6.50
2014-01-09,6.60,6.75,6.45,6.75,65800,6.75
2014-01-08,6.90,6.95,6.70,6.70,55000,6.70
2014-01-07,6.85,6.90,6.55,6.85,38700,6.85
2014-01-06,6.90,6.90,6.90,6.90,000,6.90
2014-01-03,7.00,7.00,6.60,6.90,177900,6.90
2014-01-02,7.15,7.35,7.00,7.05,66600,7.05
2014-01-01,7.20,7.20,7.20,7.20,000,7.20
2013-12-31,7.20,7.20,7.20,7.20,000,7.20
2013-12-30,7.45,7.55,7.15,7.20,180800,7.20
2013-12-27,8.10,8.20,7.50,7.65,201600,7.65
2013-12-26,7.85,7.85,7.85,7.85,000,7.85
2013-12-25,7.85,7.85,7.85,7.85,000,7.85
2013-12-24,7.85,7.85,7.85,7.85,000,7.85
2013-12-23,8.70,9.15,7.50,7.85,880600,7.85
2013-12-20,5.60,8.70,5.60,8.35,479200,8.35
2013-12-19,5.85,5.90,5.75,5.90,36600,5.90
2013-12-18,5.80,5.95,5.80,5.80,20000,5.80
2013-12-17,5.90,6.00,5.75,5.80,21000,5.80
2013-12-16,6.10,6.30,5.70,5.90,41800,5.90
2013-12-13,6.15,6.45,6.00,6.10,41500,6.10
2013-12-12,6.35,6.35,6.00,6.10,27900,6.10
2013-12-11,6.25,6.45,6.10,6.30,7900,6.30
2013-12-10,6.50,6.50,6.10,6.45,68500,6.45
2013-12-09,6.20,6.30,5.90,6.25,13900,6.25
2013-12-06,6.20,6.20,5.85,6.20,41400,6.20
2013-12-05,6.00,6.30,6.00,6.25,52300,6.25
2013-12-04,5.80,6.10,5.70,6.10,69100,6.10
2013-12-03,5.75,5.80,5.55,5.70,31700,5.70
2013-12-02,6.05,6.10,5.65,5.90,60200,5.90
2013-11-29,6.35,6.45,5.70,6.15,197200,6.15
2013-11-28,5.15,6.25,5.15,6.20,221200,6.20
2013-11-27,5.10,5.30,5.05,5.20,36200,5.20
2013-11-26,5.10,5.15,5.00,5.15,15400,5.15
2013-11-25,4.96,5.35,4.96,5.35,25100,5.35
2013-11-22,5.00,5.05,5.00,5.00,6500,5.00
2013-11-21,5.10,5.10,4.99,5.10,33500,5.10
2013-11-20,5.25,5.25,5.05,5.20,6600,5.20
2013-11-19,5.10,5.30,4.90,5.25,45000,5.25
2013-11-18,5.05,5.15,4.90,5.15,11400,5.15
2013-11-15,5.10,5.30,5.00,5.05,47200,5.05
2013-11-14,5.20,5.30,5.10,5.30,39300,5.30
2013-11-13,5.20,5.35,5.15,5.30,11900,5.30
2013-11-12,5.20,5.50,5.20,5.40,46800,5.40
2013-11-11,5.25,5.40,5.20,5.25,27200,5.25
2013-11-08,5.35,5.35,5.15,5.35,12000,5.35
2013-11-07,5.20,5.30,5.10,5.30,15500,5.30
2013-11-06,5.00,5.40,5.00,5.30,49700,5.30
2013-11-05,5.20,5.20,4.76,5.15,16000,5.15
2013-11-04,5.45,5.45,5.10,5.20,33900,5.20
2013-11-01,5.35,5.45,5.35,5.45,5800,5.45
2013-10-31,5.40,5.45,5.15,5.35,42700,5.35
2013-10-30,5.65,5.65,5.30,5.40,8000,5.40
2013-10-29,5.35,5.50,5.30,5.30,37000,5.30
2013-10-28,5.30,5.70,5.30,5.40,63400,5.40
2013-10-25,5.50,5.50,5.25,5.25,26700,5.25
2013-10-24,5.20,5.60,5.10,5.40,22300,5.40
2013-10-23,5.10,5.25,5.10,5.25,7900,5.25
2013-10-22,5.05,5.25,5.05,5.25,64000,5.25
2013-10-21,4.85,5.05,4.80,5.05,62200,5.05
2013-10-18,4.99,5.05,4.80,4.85,72300,4.85
2013-10-17,5.15,5.15,4.78,4.78,41700,4.78
2013-10-16,4.85,5.00,4.80,4.95,26400,4.95
2013-10-15,5.10,5.15,4.80,4.85,88300,4.85
