Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,92.75,92.75,90.00,92.75,6600,91.56
2014-02-25,94.00,94.00,92.75,93.00,3800,91.81
2014-02-21,92.50,96.25,90.50,95.00,53600,93.78
2014-02-20,90.00,92.50,89.25,92.50,7000,91.31
2014-02-19,92.25,92.25,89.00,90.00,6600,88.84
2014-02-18,88.25,91.75,86.50,91.50,31100,90.33
2014-02-17,87.50,90.00,87.50,88.25,10600,87.12
2014-02-14,87.00,89.00,85.25,88.00,9300,86.87
2014-02-13,84.50,89.25,84.00,87.00,41200,85.88
2014-02-12,80.00,83.25,80.00,82.50,6100,81.44
2014-02-11,79.75,79.75,77.75,79.50,1300,78.48
2014-02-10,78.75,80.50,78.75,79.25,1000,78.23
2014-02-07,80.25,80.50,80.00,80.00,2100,78.97
2014-02-06,83.50,83.50,79.00,81.75,3400,80.70
2014-02-05,76.25,77.50,75.75,77.00,6400,76.01
2014-02-04,78.00,78.00,76.25,76.50,3900,75.52
2014-02-03,79.00,79.00,78.00,78.75,2200,77.74
2014-01-31,80.00,80.00,79.00,79.00,2800,77.99
2014-01-30,79.50,80.00,79.00,80.00,10600,78.97
2014-01-29,80.75,81.00,79.75,80.00,6300,78.97
2014-01-28,82.50,82.50,79.50,80.00,6100,78.97
2014-01-27,83.25,85.25,83.25,83.25,1200,82.18
2014-01-24,83.50,85.75,83.50,85.75,100,84.65
2014-01-23,83.75,85.75,83.75,84.00,1600,82.92
2014-01-22,85.00,86.00,84.00,86.00,7100,84.90
2014-01-21,85.75,85.75,83.75,85.25,3300,84.16
2014-01-20,83.25,85.75,83.25,85.75,8100,84.65
2014-01-17,83.50,83.50,82.75,83.50,3300,82.43
2014-01-16,81.25,83.00,80.50,83.00,3000,81.93
2014-01-15,83.25,83.25,79.75,81.50,10100,80.45
2014-01-14,83.75,83.75,81.00,81.00,1200,79.96
2014-01-13,82.00,84.50,82.00,84.00,2900,82.92
2014-01-10,80.00,81.75,80.00,81.75,1100,80.70
2014-01-09,82.00,82.50,79.50,79.50,5200,78.48
2014-01-08,81.00,82.00,81.00,82.00,1100,80.95
2014-01-07,81.00,82.00,81.00,81.00,201900,79.96
2014-01-06,81.50,81.50,81.50,81.50,000,80.45
2014-01-03,81.00,82.25,79.75,81.50,900,80.45
2014-01-02,80.00,81.00,79.75,80.00,400,78.97
2014-01-01,81.00,81.00,81.00,81.00,000,79.96
2013-12-31,81.00,81.00,81.00,81.00,000,79.96
