Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.51,0.51,0.51,0.51,300,0.51
2014-02-25,0.51,0.51,0.51,0.51,4300,0.51
2014-02-24,0.49,0.51,0.49,0.51,17600,0.51
2014-02-21,0.48,0.48,0.48,0.48,30000,0.48
2014-02-20,0.50,0.51,0.50,0.51,117100,0.51
2014-02-19,0.51,0.51,0.51,0.51,11000,0.51
2014-02-18,0.50,0.50,0.50,0.50,20700,0.50
2014-02-17,0.51,0.51,0.50,0.50,71000,0.50
2014-02-14,0.48,0.50,0.45,0.50,122000,0.50
2014-02-13,0.48,0.49,0.48,0.48,60200,0.48
2014-02-12,0.54,0.54,0.54,0.54,000,0.54
2014-02-11,0.52,0.54,0.52,0.54,58000,0.54
2014-02-10,0.49,0.49,0.49,0.49,000,0.49
2014-02-07,0.45,0.49,0.45,0.49,68000,0.49
2014-02-06,0.46,0.46,0.45,0.45,38500,0.45
2014-02-05,0.48,0.48,0.44,0.44,40000,0.44
2014-02-04,0.50,0.50,0.50,0.50,000,0.50
2014-02-03,0.45,0.50,0.44,0.50,133000,0.50
2014-01-31,0.48,0.50,0.48,0.50,28000,0.50
2014-01-30,0.47,0.50,0.47,0.50,57100,0.50
2014-01-29,0.52,0.52,0.47,0.48,4000,0.48
2014-01-28,0.49,0.50,0.48,0.48,26200,0.48
2014-01-27,0.49,0.49,0.49,0.49,6700,0.49
2014-01-24,0.54,0.54,0.49,0.49,23200,0.49
2014-01-23,0.53,0.53,0.50,0.50,80000,0.50
2014-01-22,0.56,0.60,0.51,0.51,34000,0.51
2014-01-21,0.55,0.61,0.51,0.56,66800,0.56
2014-01-20,0.53,0.54,0.43,0.50,162200,0.50
2014-01-17,0.53,0.60,0.49,0.58,167000,0.58
2014-01-16,0.50,0.67,0.50,0.62,64200,0.62
2014-01-15,0.54,0.54,0.52,0.52,27600,0.52
2014-01-14,0.50,0.50,0.50,0.50,000,0.50
2014-01-13,0.55,0.55,0.50,0.50,54600,0.50
2014-01-10,0.48,0.48,0.48,0.48,200,0.48
2014-01-09,0.50,0.50,0.48,0.48,12000,0.48
2014-01-08,0.54,0.54,0.50,0.50,5800,0.50
2014-01-07,0.50,0.50,0.48,0.50,8600,0.50
2014-01-06,0.52,0.52,0.52,0.52,000,0.52
2014-01-03,0.50,0.52,0.50,0.52,12800,0.52
2014-01-02,0.49,0.49,0.45,0.45,19400,0.45
2014-01-01,0.45,0.45,0.45,0.45,000,0.45
2013-12-31,0.45,0.45,0.45,0.45,000,0.45
2013-12-30,0.50,0.50,0.41,0.45,30400,0.45
2013-12-27,0.47,0.47,0.47,0.47,10100,0.47
2013-12-26,0.45,0.45,0.45,0.45,000,0.45
2013-12-25,0.45,0.45,0.45,0.45,000,0.45
2013-12-24,0.45,0.45,0.45,0.45,000,0.45
2013-12-23,0.45,0.45,0.45,0.45,000,0.45
2013-12-20,0.46,0.52,0.43,0.45,99400,0.45
2013-12-19,0.53,0.53,0.46,0.46,55800,0.46
2013-12-18,0.52,0.52,0.50,0.50,20400,0.50
2013-12-17,0.47,0.47,0.42,0.42,9600,0.42
2013-12-16,0.54,0.54,0.47,0.47,700,0.47
