Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,18.90,18.90,18.20,18.70,2200,18.70
2014-02-25,19.00,19.00,18.50,19.00,8700,19.00
2014-02-24,19.30,19.30,18.40,19.00,226000,19.00
2014-02-21,20.00,20.00,19.20,19.70,2600,19.70
2014-02-20,21.00,21.00,19.40,20.00,22100,20.00
2014-02-19,21.40,21.40,20.10,20.80,15100,20.80
2014-02-18,21.50,22.00,20.80,20.80,35900,20.80
2014-02-17,20.90,21.50,20.80,21.50,32300,21.50
2014-02-14,20.00,20.10,19.70,20.10,9700,20.10
2014-02-13,19.50,20.20,19.50,20.00,44400,20.00
2014-02-12,19.70,24.00,19.00,19.40,86800,19.40
2014-02-11,18.50,18.60,18.20,18.50,3900,18.50
2014-02-10,17.10,18.70,17.10,18.50,6100,18.50
2014-02-07,18.00,18.60,18.00,18.50,7200,18.50
2014-02-06,18.80,18.80,17.50,17.60,2300,17.60
2014-02-05,18.80,18.80,17.20,18.80,5500,18.80
2014-02-04,17.60,18.50,16.80,18.50,24700,18.50
2014-02-03,17.10,17.50,17.10,17.50,2500,17.50
2014-01-31,17.30,17.30,17.20,17.20,7700,17.20
2014-01-30,17.50,18.30,17.50,18.00,13000,18.00
2014-01-29,18.40,18.40,17.50,17.50,12800,17.50
2014-01-28,17.00,19.80,17.00,18.40,23800,18.40
2014-01-27,15.50,16.90,15.20,16.90,8300,16.90
2014-01-24,16.40,17.00,16.40,16.40,18300,16.40
2014-01-23,15.60,16.80,15.60,16.80,66200,16.80
2014-01-22,15.20,15.50,15.20,15.50,9500,15.50
2014-01-21,15.50,15.50,15.30,15.30,2800,15.30
2014-01-20,15.60,15.60,15.20,15.50,3100,15.50
2014-01-17,15.50,16.00,15.20,16.00,1300,16.00
2014-01-16,15.90,16.00,15.30,15.30,4000,15.30
2014-01-15,15.90,16.00,15.60,16.00,3600,16.00
2014-01-14,15.90,16.00,15.60,16.00,14600,16.00
2014-01-13,16.30,16.30,16.00,16.00,8200,16.00
2014-01-10,15.00,15.90,15.00,15.90,12600,15.90
2014-01-09,14.50,15.50,14.50,15.50,42700,15.50
2014-01-08,14.60,15.70,14.00,14.95,35300,14.95
2014-01-07,15.40,15.40,14.70,14.70,6100,14.70
2014-01-06,15.50,15.50,15.50,15.50,000,15.50
2014-01-03,14.85,15.50,14.85,15.50,27600,15.50
2014-01-02,14.80,14.90,14.70,14.70,6500,14.70
2014-01-01,14.80,14.80,14.80,14.80,000,14.80
2013-12-31,14.80,14.80,14.80,14.80,000,14.80
2013-12-30,14.85,14.85,14.80,14.80,1300,14.80
2013-12-27,13.75,14.50,13.75,14.50,4900,14.50
2013-12-26,14.10,14.10,14.10,14.10,000,14.10
2013-12-25,14.10,14.10,14.10,14.10,000,14.10
2013-12-24,14.10,14.10,14.10,14.10,000,14.10
2013-12-23,14.80,14.80,14.10,14.10,1300,14.10
2013-12-20,15.00,15.00,13.95,14.00,6600,14.00
2013-12-19,14.50,14.50,14.00,14.50,11900,14.50
2013-12-18,14.35,14.60,14.35,14.50,2500,14.50
2013-12-17,14.00,14.05,13.70,13.70,4000,13.70
2013-12-16,14.00,14.40,13.90,13.90,2300,13.90
2013-12-13,14.50,14.50,14.50,14.50,200,14.50
2013-12-12,14.50,14.50,14.50,14.50,000,14.50
2013-12-11,14.55,15.00,14.50,14.50,5900,14.50
2013-12-10,14.50,14.50,14.30,14.30,1600,14.30
2013-12-09,14.10,15.00,14.00,14.10,6000,14.10
2013-12-06,14.95,15.00,14.70,14.70,1700,14.70
2013-12-05,15.00,15.00,14.95,14.95,6200,14.95
2013-12-04,14.70,15.00,14.70,14.70,2400,14.70
2013-12-03,14.70,14.75,14.70,14.70,1400,14.70
2013-12-02,15.10,15.30,15.00,15.10,9200,15.10
2013-11-29,16.00,16.00,14.95,15.40,56400,15.40
2013-11-28,16.20,16.30,15.60,15.60,158500,15.60
2013-11-27,17.40,17.40,16.30,16.50,15600,16.50
2013-11-26,17.60,17.60,16.60,17.40,11100,17.40
2013-11-25,16.60,17.60,16.60,17.60,1100,17.60
2013-11-22,16.70,17.70,16.50,17.60,4700,17.60
2013-11-21,17.90,18.30,17.50,17.50,16000,17.50
2013-11-20,17.80,17.80,17.80,17.80,000,17.80
2013-11-19,18.50,18.50,17.70,17.80,1900,17.80
2013-11-18,19.70,19.70,18.10,18.10,12000,18.10
2013-11-15,17.50,17.70,17.50,17.60,31400,17.60
2013-11-14,18.00,18.00,16.60,17.30,18900,17.30
2013-11-13,19.60,19.70,17.50,18.00,14800,18.00
2013-11-12,18.60,18.90,17.90,18.40,3700,18.40
2013-11-11,19.00,19.00,19.00,19.00,000,19.00
2013-11-08,19.50,19.80,18.40,19.00,8100,19.00
2013-11-07,18.40,19.00,18.40,19.00,1900,19.00
2013-11-06,18.60,18.60,17.70,18.00,1300,18.00
2013-11-05,18.50,18.50,17.90,18.00,5300,18.00
2013-11-04,17.80,20.00,17.80,18.50,55000,18.50
2013-11-01,17.30,17.70,16.90,17.70,9100,17.70
2013-10-31,16.70,16.90,16.60,16.60,3700,16.60
2013-10-30,15.70,16.80,15.40,16.50,28100,16.50
2013-10-29,15.90,15.90,15.80,15.80,4400,15.80
2013-10-28,17.20,17.20,15.50,16.20,6300,16.20
2013-10-25,16.50,16.90,16.10,16.90,800,16.90
2013-10-24,16.90,16.90,16.20,16.60,3300,16.60
2013-10-23,16.20,17.20,16.20,17.10,1500,17.10
2013-10-22,16.70,17.00,16.10,16.80,7900,16.80
2013-10-21,17.30,17.30,16.20,17.00,14800,17.00
2013-10-18,17.50,17.60,17.00,17.60,6300,17.60
2013-10-17,17.50,17.60,16.50,17.20,18200,17.20
2013-10-16,16.90,17.00,16.50,17.00,3400,17.00
2013-10-15,16.00,18.00,16.00,17.40,23100,17.40
2013-10-14,15.20,16.50,15.00,16.00,31200,16.00
2013-10-11,15.50,15.50,15.00,15.00,1600,15.00
2013-10-10,15.00,16.00,15.00,15.40,55200,15.40
2013-10-09,15.50,15.90,15.00,15.10,16800,15.10
2013-10-08,14.95,16.20,14.95,15.90,24700,15.90
2013-10-07,14.00,15.20,14.00,15.00,41300,15.00
2013-10-04,14.55,14.55,14.20,14.20,6500,14.20
2013-10-03,14.50,14.50,14.00,14.00,5500,14.00
2013-10-02,14.00,14.50,13.60,14.50,6100,14.50
2013-10-01,15.00,15.00,13.50,14.50,6300,14.50
2013-09-30,15.10,15.30,14.95,15.10,12600,15.10
2013-09-27,13.80,14.80,13.80,14.65,4300,14.65
2013-09-26,14.80,14.80,13.25,14.60,7800,14.60
2013-09-25,15.00,15.00,13.70,14.80,6300,14.80
2013-09-24,15.00,15.00,14.00,15.00,7100,15.00
2013-09-23,14.00,15.00,14.00,15.00,26100,15.00
2013-09-20,14.15,14.50,13.60,14.50,20100,14.50
2013-09-19,13.50,15.00,13.30,14.00,31400,14.00
2013-09-18,13.00,13.50,12.80,13.50,26400,13.50
2013-09-17,14.00,14.00,13.05,13.50,32700,13.50
2013-09-16,12.50,14.40,12.50,13.40,92800,13.40
2013-09-13,12.50,12.75,12.40,12.50,8600,12.50
2013-09-12,12.15,12.50,12.15,12.50,4300,12.50
2013-09-11,12.60,12.70,12.25,12.65,6000,12.65
2013-09-10,12.60,12.90,12.50,12.60,5900,12.60
2013-09-09,11.85,12.75,11.75,12.65,19900,12.65
2013-09-06,12.00,12.80,12.00,12.80,20800,12.80
2013-09-05,13.00,13.10,12.50,13.00,207600,13.00
2013-09-04,13.20,13.20,13.00,13.00,100,13.00
2013-09-03,13.20,13.20,13.20,13.20,500,13.20
2013-09-02,12.95,12.95,12.95,12.95,000,12.95
2013-08-30,12.60,12.95,12.40,12.95,13700,12.95
2013-08-29,12.80,12.80,12.00,12.35,13500,12.35
2013-08-28,12.75,12.75,12.75,12.75,000,12.75
2013-08-27,12.90,12.90,12.75,12.75,600,12.75
2013-08-26,12.80,12.80,12.80,12.80,000,12.80
2013-08-23,12.60,12.80,12.60,12.80,3200,12.80
2013-08-22,12.85,12.90,12.50,12.50,13600,12.50
2013-08-21,12.50,12.95,11.80,12.95,3200,12.95
2013-08-20,12.05,12.50,12.00,12.50,2100,12.50
2013-08-19,12.00,12.75,12.00,12.75,800,12.75
2013-08-16,12.50,12.50,12.10,12.10,1800,12.10
2013-08-15,12.70,12.70,12.70,12.70,000,12.70
2013-08-14,12.60,12.70,12.60,12.70,12600,12.70
2013-08-13,11.85,12.60,11.85,12.60,200,12.60
2013-08-12,12.00,12.75,12.00,12.70,6200,12.70
2013-08-09,12.95,12.95,12.00,12.00,3500,12.00
2013-08-08,12.95,13.00,12.95,13.00,4000,13.00
2013-08-07,12.50,12.50,12.20,12.50,1300,12.50
2013-08-06,12.50,12.50,12.50,12.50,000,12.50
