Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,40.50,40.50,40.30,40.30,3300,39.54
2014-02-25,40.30,40.40,40.30,40.30,14700,39.54
2014-02-21,40.30,40.40,40.30,40.30,9800,39.54
2014-02-20,40.30,40.30,40.30,40.30,9000,39.54
2014-02-19,40.10,40.30,40.10,40.30,4700,39.54
2014-02-18,40.10,40.40,40.00,40.40,6800,39.64
2014-02-17,40.50,40.50,40.30,40.30,33900,39.54
2014-02-14,40.60,40.90,40.30,40.50,3800,39.74
2014-02-13,40.00,42.00,40.00,40.80,16100,40.03
2014-02-12,40.20,40.60,40.20,40.60,6500,39.84
2014-02-11,40.60,40.60,40.10,40.30,1500,39.54
2014-02-10,40.20,40.20,40.10,40.10,5400,39.35
2014-02-07,40.10,40.10,40.00,40.10,8300,39.35
2014-02-06,40.00,41.00,39.90,40.00,3500,39.25
2014-02-05,40.80,40.80,40.30,40.30,2100,39.54
2014-02-04,41.00,41.10,40.30,40.50,1100,39.74
2014-02-03,41.10,41.60,41.00,41.40,7200,40.62
2014-01-31,40.20,42.10,40.20,41.50,26500,40.72
2014-01-30,40.10,40.30,40.10,40.10,5000,39.35
2014-01-29,40.20,40.20,40.10,40.10,7600,39.35
2014-01-28,40.10,40.20,40.10,40.20,20100,39.45
2014-01-27,40.00,40.30,40.00,40.10,3700,39.35
2014-01-24,40.00,40.30,39.90,40.20,9700,39.45
2014-01-23,40.30,40.50,40.20,40.20,14700,39.45
2014-01-22,40.60,40.70,40.20,40.50,10500,39.74
2014-01-21,40.30,40.30,40.10,40.20,3500,39.45
2014-01-20,40.30,40.30,40.00,40.30,8900,39.54
2014-01-17,40.20,40.50,40.00,40.00,9000,39.25
2014-01-16,40.30,40.50,40.20,40.30,5000,39.54
2014-01-15,40.70,40.70,40.00,40.30,11000,39.54
2014-01-14,40.50,40.80,40.20,40.70,6800,39.94
2014-01-13,41.50,41.50,40.00,40.20,30400,39.45
2014-01-10,37.90,41.80,37.90,41.80,28600,41.02
2014-01-09,37.40,38.00,37.30,37.70,4100,36.99
2014-01-08,38.00,38.00,37.30,37.40,11700,36.70
2014-01-07,37.60,38.10,37.60,37.60,5400,36.89
2014-01-06,38.20,38.20,38.20,38.20,000,37.48
2014-01-03,37.60,38.20,37.60,38.20,8300,37.48
2014-01-02,37.20,38.70,37.20,38.50,2600,37.78
2014-01-01,39.50,39.50,39.50,39.50,000,38.76
2013-12-31,39.50,39.50,39.50,39.50,000,38.76
2013-12-30,38.60,39.50,38.20,39.50,30800,38.76
2013-12-27,39.90,39.90,38.00,39.20,13500,38.47
2013-12-26,39.50,39.50,39.50,39.50,000,38.76
2013-12-25,39.50,39.50,39.50,39.50,000,38.76
2013-12-24,39.50,39.50,39.50,39.50,000,38.76
2013-12-23,39.00,40.00,38.40,39.50,12000,38.76
2013-12-20,37.70,39.50,37.00,39.40,32400,38.66
2013-12-19,38.00,38.00,37.20,37.80,10000,37.09
2013-12-18,38.10,38.10,37.60,37.70,7400,36.99
2013-12-17,38.10,38.20,38.00,38.10,3900,37.39
2013-12-16,38.90,39.50,37.50,38.40,4600,37.68
2013-12-13,38.50,39.00,38.50,39.00,600,38.27
2013-12-12,39.00,39.00,38.10,39.00,2600,38.27
2013-12-11,40.20,40.60,39.00,39.30,3200,38.56
2013-12-10,41.00,41.10,38.90,40.20,9600,39.45
2013-12-09,39.90,42.90,39.90,41.50,20300,40.72
2013-12-06,41.10,42.00,40.50,40.50,7000,39.74
2013-12-05,41.00,41.30,40.50,40.50,1100,39.74
2013-12-04,40.10,41.00,40.10,40.50,2500,39.74
2013-12-03,40.50,41.00,39.80,40.10,7900,39.35
2013-12-02,40.60,42.00,40.50,41.70,14000,40.92
2013-11-29,40.20,40.20,39.70,40.10,9200,39.35
2013-11-28,40.10,40.40,40.10,40.40,6900,39.64
2013-11-27,40.20,40.30,39.60,40.30,7800,39.54
2013-11-26,40.50,40.50,40.10,40.30,2400,39.54
2013-11-25,40.10,40.50,40.10,40.50,3200,39.74
2013-11-22,40.50,40.50,40.00,40.10,4800,39.35
2013-11-21,40.50,40.50,40.50,40.50,200,39.74
2013-11-20,40.10,40.50,40.00,40.50,10000,39.74
2013-11-19,40.20,40.50,40.10,40.10,3500,39.35
2013-11-18,40.20,40.50,40.00,40.50,28900,39.74
2013-11-15,40.20,40.40,40.10,40.40,3300,39.64
2013-11-14,40.10,40.20,40.10,40.20,1800,39.45
2013-11-13,40.30,40.30,39.90,40.00,105400,39.25
2013-11-12,40.10,40.30,40.10,40.30,500,39.54
2013-11-11,40.90,40.90,40.10,40.50,10100,39.74
2013-11-08,40.20,40.50,40.10,40.50,5800,39.74
2013-11-07,40.60,40.60,40.20,40.20,600,39.45
2013-11-06,40.00,41.00,40.00,41.00,13300,40.23
2013-11-05,40.50,40.50,40.20,40.30,3200,39.54
2013-11-04,40.30,40.50,40.20,40.50,1600,39.74
2013-11-01,40.30,40.30,40.30,40.30,100,39.54
2013-10-31,40.10,40.50,40.10,40.50,2900,39.74
2013-10-30,40.10,40.30,40.00,40.30,10400,39.54
2013-10-29,40.50,40.50,40.20,40.40,5000,39.64
2013-10-28,40.60,40.60,40.20,40.60,2200,39.84
2013-10-25,41.00,41.10,40.60,40.60,3500,39.84
2013-10-24,40.30,41.00,40.10,40.30,5800,39.54
2013-10-23,40.10,41.20,40.10,40.30,7800,39.54
2013-10-22,42.00,42.00,40.10,40.50,15400,39.74
2013-10-21,40.50,40.50,40.10,40.40,23700,39.64
2013-10-18,40.40,40.40,40.10,40.10,19500,39.35
2013-10-17,40.30,40.50,40.10,40.50,4900,39.74
2013-10-16,40.10,40.10,40.10,40.10,43100,39.35
2013-10-15,40.20,40.30,40.10,40.30,13700,39.54
2013-10-14,40.40,40.40,40.20,40.20,4300,39.45
2013-10-11,40.60,41.00,40.60,41.00,1400,40.23
2013-10-10,40.10,40.50,40.10,40.40,6500,39.64
2013-10-09,40.10,40.40,40.10,40.40,3200,39.64
2013-10-08,40.30,40.30,40.10,40.10,1800,39.35
2013-10-07,40.10,40.10,40.10,40.10,25800,39.35
2013-10-04,40.20,40.20,40.10,40.10,6000,39.35
2013-10-03,40.30,40.80,40.10,40.20,4900,39.45
2013-10-02,41.30,41.30,40.30,40.30,3700,39.54
2013-10-01,41.00,41.00,40.10,41.00,1600,40.23
2013-09-30,41.00,41.30,40.30,41.10,8300,40.33
2013-09-27,41.20,41.20,40.70,41.00,7000,40.23
2013-09-26,42.00,42.00,41.60,41.60,800,40.82
2013-09-25,42.70,42.70,41.50,41.60,1900,40.82
2013-09-24,42.50,43.00,42.00,42.60,4900,41.80
2013-09-23,43.40,43.50,42.10,42.50,2200,41.70
2013-09-20,42.80,43.50,42.80,43.10,4100,42.29
2013-09-19,43.00,43.00,42.80,42.80,300,42.00
2013-09-18,42.90,43.00,42.40,42.40,1200,41.61
2013-09-17,43.90,43.90,42.40,42.40,1800,41.61
2013-09-16,43.30,43.30,42.20,42.70,7200,41.90
2013-09-13,43.20,43.50,42.80,43.40,13600,42.59
2013-09-12,42.00,43.00,42.00,43.00,18500,42.19
2013-09-11,41.80,42.00,41.70,41.80,2100,41.02
2013-09-10,41.90,42.00,41.50,41.70,4100,40.92
2013-09-09,41.30,41.60,41.10,41.50,20500,40.72
2013-09-06,41.50,41.70,41.00,41.70,2700,40.92
2013-09-05,41.30,41.90,41.30,41.50,2400,40.72
2013-09-04,40.90,42.00,40.10,42.00,19400,41.21
2013-09-03,40.60,41.00,40.10,40.70,5600,39.94
2013-09-02,40.10,40.80,39.90,40.50,173200,39.74
2013-08-30,40.10,40.30,40.10,40.30,4900,39.54
2013-08-29,40.10,40.50,40.10,40.30,4300,39.54
2013-08-28,40.10,40.40,38.60,40.40,6800,39.64
2013-08-27,40.10,40.70,40.00,40.10,10000,39.35
2013-08-26,40.00,40.20,38.90,40.00,9500,39.25
2013-08-23,40.20,40.40,40.10,40.20,6200,39.45
2013-08-22,40.10,40.50,40.00,40.50,4800,39.74
2013-08-21,40.20,40.40,39.90,40.10,18500,39.35
2013-08-20,40.90,41.00,40.20,40.40,10400,39.64
2013-08-19,40.30,40.60,40.30,40.60,2000,39.84
2013-08-16,40.10,40.30,40.10,40.30,600,39.54
2013-08-15,40.50,40.50,40.10,40.30,800,39.54
2013-08-14,40.10,40.50,39.00,40.50,9000,39.74
2013-08-13,40.10,40.50,40.10,40.20,9500,39.45
2013-08-12,40.20,40.70,38.80,40.10,12800,39.35
2013-08-09,40.10,40.50,40.10,40.40,3500,39.64
2013-08-08,40.20,40.50,40.00,40.00,2600,39.25
2013-08-07,40.10,40.70,39.60,40.70,14300,39.94
