Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.49,0.50,0.48,0.48,88500,0.47
2014-02-25,0.49,0.49,0.47,0.48,524500,0.47
2014-02-24,0.50,0.50,0.42,0.49,444500,0.48
2014-02-21,0.50,0.50,0.49,0.50,151000,0.49
2014-02-20,0.51,0.54,0.48,0.49,1566500,0.48
2014-02-19,0.49,0.51,0.48,0.51,75700,0.50
2014-02-18,0.48,0.48,0.48,0.48,20000,0.47
2014-02-17,0.50,0.50,0.50,0.50,77500,0.49
2014-02-14,0.50,0.50,0.50,0.50,72200,0.49
2014-02-13,0.48,0.48,0.48,0.48,000,0.47
2014-02-12,0.48,0.48,0.48,0.48,10000,0.47
2014-02-11,0.48,0.50,0.47,0.50,100000,0.49
2014-02-10,0.50,0.50,0.50,0.50,1000,0.49
2014-02-07,0.49,0.49,0.49,0.49,1000,0.48
2014-02-06,0.48,0.49,0.48,0.49,72000,0.48
2014-02-05,0.48,0.49,0.48,0.49,100000,0.48
2014-02-04,0.49,0.49,0.48,0.48,121000,0.47
2014-02-03,0.49,0.49,0.49,0.49,000,0.48
2014-01-31,0.49,0.49,0.47,0.49,5000,0.48
2014-01-30,0.49,0.49,0.49,0.49,80600,0.48
2014-01-29,0.49,0.49,0.49,0.49,68000,0.48
2014-01-28,0.49,0.49,0.47,0.47,3900,0.46
2014-01-27,0.48,0.49,0.48,0.49,135700,0.48
2014-01-24,0.49,0.49,0.49,0.49,1000,0.48
2014-01-23,0.50,0.50,0.49,0.49,90100,0.48
2014-01-22,0.49,0.50,0.48,0.50,47600,0.49
2014-01-21,0.49,0.50,0.49,0.50,11000,0.49
2014-01-20,0.50,0.50,0.48,0.48,101000,0.47
2014-01-17,0.50,0.50,0.49,0.49,15300,0.48
2014-01-16,0.50,0.50,0.50,0.50,19000,0.49
2014-01-15,0.49,0.49,0.49,0.49,50000,0.48
2014-01-14,0.48,0.50,0.48,0.50,50200,0.49
2014-01-13,0.50,0.50,0.50,0.50,4200,0.49
2014-01-10,0.48,0.50,0.48,0.48,395700,0.47
2014-01-09,0.50,0.50,0.50,0.50,591100,0.49
2014-01-08,0.49,0.50,0.49,0.50,101900,0.49
2014-01-07,0.48,0.48,0.48,0.48,25000,0.47
2014-01-06,0.48,0.48,0.48,0.48,000,0.47
2014-01-03,0.48,0.48,0.48,0.48,2100,0.47
2014-01-02,0.50,0.51,0.50,0.50,228600,0.49
2014-01-01,0.48,0.48,0.48,0.48,000,0.47
2013-12-31,0.48,0.48,0.48,0.48,000,0.47
2013-12-30,0.48,0.48,0.48,0.48,138300,0.47
2013-12-27,0.48,0.50,0.48,0.48,111000,0.47
2013-12-26,0.50,0.50,0.50,0.50,000,0.49
2013-12-25,0.50,0.50,0.50,0.50,000,0.49
2013-12-24,0.50,0.50,0.50,0.50,000,0.49
2013-12-23,0.48,0.50,0.47,0.50,394000,0.49
2013-12-20,0.48,0.48,0.48,0.48,000,0.47
2013-12-19,0.48,0.48,0.48,0.48,3500,0.47
2013-12-18,0.48,0.49,0.48,0.48,55200,0.47
2013-12-17,0.48,0.49,0.48,0.49,10200,0.48
2013-12-16,0.49,0.49,0.48,0.49,274900,0.48
2013-12-13,0.49,0.49,0.49,0.49,000,0.48
2013-12-12,0.49,0.49,0.49,0.49,132000,0.48
2013-12-11,0.50,0.50,0.49,0.49,87000,0.48
2013-12-10,0.49,0.49,0.49,0.49,13700,0.48
2013-12-09,0.50,0.50,0.50,0.50,1000,0.49
2013-12-06,0.49,0.49,0.48,0.48,50000,0.47
2013-12-05,0.49,0.49,0.49,0.49,15700,0.48
2013-12-04,0.48,0.48,0.48,0.48,000,0.47
2013-12-03,0.49,0.51,0.48,0.48,233500,0.47
2013-12-02,0.52,0.52,0.45,0.51,59200,0.50
2013-11-29,0.50,0.50,0.50,0.50,11400,0.49
2013-11-28,0.50,0.50,0.50,0.50,51000,0.49
2013-11-27,0.51,0.51,0.51,0.51,1000,0.50
2013-11-26,0.50,0.51,0.43,0.51,520500,0.50
2013-11-25,0.49,0.51,0.49,0.50,367100,0.49
2013-11-22,0.50,0.50,0.49,0.49,331000,0.48
2013-11-21,0.50,0.50,0.50,0.50,163600,0.49
2013-11-20,0.50,0.50,0.50,0.50,74600,0.49
2013-11-19,0.50,0.51,0.50,0.51,15000,0.50
2013-11-18,0.51,0.51,0.50,0.50,36000,0.49
2013-11-15,0.49,0.50,0.48,0.50,79500,0.49
2013-11-14,0.48,0.50,0.48,0.50,21000,0.49
2013-11-13,0.50,0.50,0.49,0.49,46000,0.48
2013-11-12,0.50,0.50,0.50,0.50,000,0.49
2013-11-11,0.51,0.52,0.50,0.50,185900,0.49
2013-11-08,0.50,0.50,0.50,0.50,32600,0.49
2013-11-07,0.50,0.50,0.50,0.50,31600,0.49
2013-11-06,0.50,0.51,0.50,0.51,21000,0.50
2013-11-05,0.52,0.52,0.50,0.51,15900,0.50
2013-11-04,0.50,0.51,0.49,0.51,162700,0.50
2013-11-01,0.53,0.53,0.53,0.53,5000,0.52
2013-10-31,0.53,0.55,0.49,0.54,838600,0.53
2013-10-30,0.53,0.54,0.48,0.53,1416900,0.52
2013-10-29,0.50,0.53,0.50,0.53,112900,0.52
2013-10-28,0.52,0.52,0.50,0.50,22000,0.49
2013-10-25,0.51,0.51,0.50,0.51,49300,0.50
2013-10-24,0.52,0.52,0.52,0.52,40000,0.51
2013-10-23,0.49,0.53,0.49,0.53,38000,0.52
2013-10-22,0.51,0.53,0.48,0.53,106600,0.52
2013-10-21,0.52,0.53,0.51,0.53,119700,0.52
