Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,31.00,31.50,30.90,31.40,32900,31.40
2014-02-25,30.70,31.80,30.40,31.30,28800,31.30
2014-02-21,31.50,31.60,31.10,31.50,12400,31.50
2014-02-20,32.00,32.00,30.50,31.70,67500,31.70
2014-02-19,31.00,32.00,30.50,32.00,55400,32.00
2014-02-18,31.70,31.70,30.50,30.70,18300,30.70
2014-02-17,31.20,31.90,30.00,31.70,63900,31.70
2014-02-14,32.30,32.50,30.80,31.20,46700,31.20
2014-02-13,32.40,32.40,30.50,31.90,114800,31.90
2014-02-12,31.00,33.80,31.00,31.80,344500,31.80
2014-02-11,28.80,30.60,28.80,30.50,450900,30.50
2014-02-10,27.50,27.80,27.40,27.60,13400,27.60
2014-02-07,27.00,27.50,27.00,27.50,6000,27.50
2014-02-06,27.10,27.40,26.70,27.40,13600,27.40
2014-02-05,27.20,27.30,27.00,27.30,6000,27.30
2014-02-04,27.00,27.40,26.90,27.20,68600,27.20
2014-02-03,28.00,28.20,27.50,27.70,14300,27.70
2014-01-31,28.00,28.80,27.70,27.80,65200,27.80
2014-01-30,28.40,28.40,27.30,27.90,12900,27.90
2014-01-29,28.60,28.60,28.00,28.20,14100,28.20
2014-01-28,28.60,28.60,28.00,28.00,2100,28.00
2014-01-27,27.90,28.70,27.90,28.50,50000,28.50
2014-01-24,28.40,28.40,27.50,28.20,20900,28.20
2014-01-23,28.90,28.90,27.90,28.40,17100,28.40
2014-01-22,29.40,29.40,28.20,28.50,33800,28.50
2014-01-21,27.40,28.60,27.40,28.60,97600,28.60
2014-01-20,27.00,27.50,26.60,27.00,15800,27.00
2014-01-17,27.00,27.60,27.00,27.40,25400,27.40
2014-01-16,27.90,27.90,26.80,27.00,25000,27.00
2014-01-15,27.00,28.00,27.00,27.40,38500,27.40
2014-01-14,27.30,27.40,27.10,27.40,48500,27.40
2014-01-13,26.70,27.20,26.70,27.20,43700,27.20
2014-01-10,27.00,27.00,26.80,26.80,12400,26.80
2014-01-09,27.00,27.00,26.50,27.00,13000,27.00
2014-01-08,26.90,27.20,26.80,27.20,3600,27.20
2014-01-07,27.30,27.50,26.70,27.20,28400,27.20
