Date,Open,High,Low,Close,Volume,Adj Close
2013-09-23,0.51,0.56,0.51,0.53,511200,0.53
2013-09-20,0.58,0.58,0.53,0.54,288300,0.54
2013-09-19,0.54,0.57,0.52,0.57,656000,0.57
2013-09-18,0.51,0.60,0.51,0.55,861000,0.55
2013-09-17,0.51,0.54,0.50,0.53,76700,0.53
2013-09-16,0.55,0.55,0.53,0.53,53300,0.53
2013-09-13,0.52,0.54,0.50,0.52,137500,0.52
2013-09-12,0.53,0.55,0.50,0.52,130600,0.52
2013-09-11,0.50,0.53,0.50,0.52,144100,0.52
2013-09-10,0.53,0.56,0.51,0.51,354500,0.51
2013-09-09,0.55,0.57,0.53,0.54,447400,0.54
2013-09-06,0.52,0.58,0.50,0.56,1059600,0.56
2013-09-05,0.43,0.53,0.43,0.51,831100,0.51
2013-09-04,0.41,0.45,0.41,0.43,176600,0.43
2013-09-03,0.41,0.45,0.40,0.44,401300,0.44
2013-09-02,0.44,0.45,0.42,0.43,194800,0.43
2013-08-30,0.45,0.45,0.43,0.45,115100,0.45
2013-08-29,0.45,0.45,0.40,0.44,367000,0.44
2013-08-28,0.45,0.48,0.43,0.45,353200,0.45
2013-08-27,0.45,0.48,0.43,0.47,326500,0.47
2013-08-26,0.52,0.52,0.45,0.48,280100,0.48
2013-08-23,0.50,0.53,0.48,0.52,482300,0.52
2013-08-22,0.56,0.56,0.46,0.53,685200,0.53
2013-08-21,0.60,0.65,0.46,0.57,3741300,0.57
2013-08-20,0.55,0.65,0.52,0.58,6073300,0.58
2013-08-19,0.40,0.66,0.36,0.50,3610200,0.50
2013-08-16,0.39,0.40,0.39,0.40,75500,0.40
2013-08-15,0.44,0.44,0.40,0.40,98900,0.40
2013-08-14,0.41,0.45,0.41,0.43,189200,0.43
2013-08-13,0.41,0.41,0.39,0.39,9900,0.39
2013-08-12,0.38,0.44,0.38,0.40,156400,0.40
2013-08-09,0.41,0.43,0.37,0.40,154800,0.40
2013-08-08,0.43,0.43,0.38,0.38,84200,0.38
2013-08-07,0.35,0.47,0.35,0.41,298500,0.41
2013-08-06,0.31,0.34,0.30,0.34,48000,0.34
