Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,17.60,17.70,17.00,17.50,198000,17.50
2014-02-25,17.50,17.60,16.90,17.60,145000,17.60
2014-02-21,15.60,17.00,15.30,16.40,312100,16.40
2014-02-20,15.40,15.60,15.20,15.60,68600,15.60
2014-02-19,15.30,15.50,14.95,15.50,136200,15.50
2014-02-18,15.50,15.50,15.10,15.30,74500,15.30
2014-02-17,15.30,15.40,14.90,15.30,127300,15.30
2014-02-14,15.20,15.30,14.80,15.30,122000,15.30
2014-02-13,15.10,15.30,14.80,15.20,190700,15.20
2014-02-12,14.80,15.50,14.55,15.00,707300,15.00
2014-02-11,13.75,14.00,13.65,13.85,96800,13.85
2014-02-10,13.75,13.80,13.55,13.75,176200,13.75
2014-02-07,13.90,13.90,13.45,13.80,135800,13.80
2014-02-06,13.85,13.85,13.50,13.60,90500,13.60
2014-02-05,14.00,14.05,13.70,13.75,170500,13.75
2014-02-04,13.70,14.10,13.65,14.00,41900,14.00
2014-02-03,13.90,14.20,13.75,14.10,57800,14.10
2014-01-31,14.25,14.25,13.90,14.20,58900,14.20
2014-01-30,14.25,14.25,13.80,14.25,181400,14.25
2014-01-29,14.00,14.65,13.75,14.25,139600,14.25
2014-01-28,14.00,14.10,13.80,14.00,86400,14.00
2014-01-27,13.90,14.05,13.50,14.05,223800,14.05
2014-01-24,14.20,14.40,14.00,14.30,165000,14.30
2014-01-23,14.65,14.65,14.00,14.40,237900,14.40
2014-01-22,14.50,14.95,14.45,14.55,335300,14.55
2014-01-21,14.35,14.60,14.15,14.35,120500,14.35
2014-01-20,14.05,14.50,14.05,14.35,163700,14.35
2014-01-17,13.85,14.00,13.50,13.90,173800,13.90
2014-01-16,13.90,14.10,13.45,13.85,226600,13.85
2014-01-15,13.20,14.10,12.80,13.90,567200,13.90
2014-01-14,12.75,12.80,12.45,12.70,90900,12.70
2014-01-13,13.00,13.00,12.50,12.65,180400,12.65
2014-01-10,12.80,13.00,12.80,12.95,29200,12.95
2014-01-09,12.95,12.95,12.80,12.95,43800,12.95
2014-01-08,12.85,12.95,12.55,12.95,176600,12.95
2014-01-07,13.15,13.20,12.90,13.00,39800,13.00
2014-01-06,13.25,13.25,13.25,13.25,000,13.25
2014-01-03,13.30,13.30,13.00,13.25,34400,13.25
2014-01-02,13.30,13.45,13.00,13.30,76700,13.30
2014-01-01,13.25,13.25,13.25,13.25,000,13.25
2013-12-31,13.25,13.25,13.25,13.25,000,13.25
2013-12-30,13.10,13.30,12.80,13.25,150900,13.25
2013-12-27,13.15,13.50,13.05,13.30,107000,13.30
2013-12-26,13.45,13.45,13.45,13.45,000,13.45
2013-12-25,13.45,13.45,13.45,13.45,000,13.45
2013-12-24,13.45,13.45,13.45,13.45,000,13.45
2013-12-23,12.65,13.45,12.65,13.45,98200,13.45
2013-12-20,12.40,12.90,12.40,12.85,52000,12.85
2013-12-19,12.60,12.70,12.35,12.70,88800,12.70
2013-12-18,12.20,12.50,12.10,12.45,122500,12.45
2013-12-17,12.20,12.30,12.05,12.25,41600,12.25
2013-12-16,12.00,12.25,12.00,12.25,55600,12.25
2013-12-13,12.10,12.35,12.00,12.30,20700,12.30
2013-12-12,12.20,12.45,11.90,12.25,74400,12.25
2013-12-11,11.70,12.15,11.70,12.15,46500,12.15
2013-12-10,12.15,12.30,11.90,12.20,61900,12.20
2013-12-09,12.10,12.35,11.80,12.30,163600,12.30
2013-12-06,11.90,12.20,11.60,12.20,44600,12.20
2013-12-05,12.10,12.20,11.90,12.20,38000,12.20
2013-12-04,12.00,12.45,11.90,12.20,114600,12.20
2013-12-03,11.95,12.00,11.50,12.00,144500,12.00
2013-12-02,12.05,12.15,11.55,12.00,110900,12.00
2013-11-29,12.00,12.15,11.80,12.10,90800,12.10
2013-11-28,11.95,12.25,11.80,12.15,66200,12.15
2013-11-27,11.90,12.45,11.85,12.20,122400,12.20
2013-11-26,12.10,12.25,11.50,12.25,385300,12.25
2013-11-25,12.85,12.85,11.90,12.20,198000,12.20
2013-11-22,12.90,13.10,12.40,12.40,126700,12.40
2013-11-21,13.10,13.10,12.50,12.90,173400,12.90
2013-11-20,13.20,13.25,13.00,13.15,47000,13.15
2013-11-19,13.20,13.40,13.05,13.25,95400,13.25
2013-11-18,13.90,13.90,13.00,13.20,245900,13.20
2013-11-15,14.00,14.45,13.75,14.00,194400,14.00
2013-11-14,14.40,14.40,13.90,14.00,122500,14.00
2013-11-13,14.50,14.60,14.00,14.40,202400,14.40
2013-11-12,14.90,14.95,14.05,14.50,178100,14.50
2013-11-11,14.70,14.85,14.30,14.85,378900,14.85
2013-11-08,14.05,14.90,14.05,14.50,489700,14.50
2013-11-07,14.05,14.20,14.05,14.20,86700,14.20
2013-11-06,13.80,14.20,13.80,14.05,144800,14.05
2013-11-05,14.10,14.20,13.60,14.00,345500,14.00
2013-11-04,13.95,14.20,13.30,14.00,427600,14.00
2013-11-01,13.80,14.80,13.70,13.95,1367900,13.95
2013-10-31,11.70,12.30,11.35,12.00,722700,12.00
2013-10-30,12.20,12.35,11.80,12.35,94100,12.35
2013-10-29,12.45,12.45,12.05,12.25,70300,12.25
2013-10-28,11.80,12.55,11.50,12.20,168600,12.20
2013-10-25,11.45,11.75,11.30,11.70,147700,11.70
2013-10-24,10.65,11.45,10.65,11.45,124900,11.45
2013-10-23,10.90,11.00,10.60,10.95,201200,10.95
2013-10-22,10.75,11.15,10.05,10.80,265400,10.80
2013-10-21,10.15,10.70,10.15,10.65,172800,10.65
2013-10-18,10.25,10.30,9.90,10.30,99000,10.30
2013-10-17,10.50,10.50,10.20,10.30,72900,10.30
2013-10-16,10.50,10.55,10.20,10.55,41300,10.55
2013-10-15,10.40,10.60,10.05,10.60,91400,10.60
2013-10-14,10.65,10.65,10.00,10.45,57000,10.45
2013-10-11,10.65,10.65,10.35,10.60,24700,10.60
2013-10-10,10.65,10.65,10.45,10.60,52800,10.60
2013-10-09,10.75,10.75,10.40,10.50,144000,10.50
2013-10-08,11.10,11.15,10.30,10.90,157100,10.90
2013-10-07,11.40,11.40,10.75,10.90,104400,10.90
2013-10-04,11.50,11.50,11.15,11.30,41300,11.30
2013-10-03,11.30,11.50,11.30,11.50,6900,11.50
2013-10-02,11.50,11.65,11.30,11.50,58100,11.50
2013-10-01,11.65,11.65,11.30,11.50,31400,11.50
2013-09-30,11.40,11.65,11.30,11.65,60100,11.65
2013-09-27,11.60,11.60,11.25,11.50,43100,11.50
2013-09-26,11.30,11.60,11.30,11.60,42900,11.60
2013-09-25,11.60,11.85,11.35,11.50,370000,11.50
2013-09-24,11.10,11.65,11.10,11.65,149700,11.65
2013-09-23,11.60,11.70,11.20,11.50,45900,11.50
2013-09-20,11.90,11.90,11.20,11.75,23300,11.75
2013-09-19,11.70,12.15,11.60,11.75,120700,11.75
2013-09-18,10.80,11.70,10.75,11.70,154100,11.70
2013-09-17,10.45,10.75,10.45,10.75,83300,10.75
2013-09-16,10.60,10.70,10.40,10.65,98100,10.65
2013-09-13,10.35,10.70,10.20,10.50,115700,10.50
2013-09-12,11.00,11.05,10.20,10.75,291200,10.75
2013-09-11,11.05,11.10,10.85,11.00,105700,11.00
2013-09-10,10.80,11.60,10.80,11.15,138200,11.15
2013-09-09,11.00,11.10,10.60,10.90,91800,10.90
2013-09-06,11.00,11.05,10.70,11.00,182700,11.00
2013-09-05,11.20,11.30,11.00,11.15,117000,11.15
2013-09-04,11.30,11.40,11.10,11.15,123100,11.15
2013-09-03,10.50,11.50,10.50,11.20,162700,11.20
2013-09-02,10.30,10.80,10.25,10.35,43700,10.35
2013-08-30,10.60,10.60,10.30,10.50,29100,10.50
2013-08-29,10.30,10.80,10.25,10.65,44600,10.65
