Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,170.50,172.30,170.40,171.70,87000,167.38
2014-02-25,170.00,170.40,169.00,170.40,89900,166.12
2014-02-21,167.90,169.20,167.30,168.60,126900,164.36
2014-02-20,165.30,169.00,164.20,167.90,143900,163.68
2014-02-19,165.00,166.60,163.50,166.10,77800,161.92
2014-02-18,166.00,166.50,163.20,165.00,87300,160.85
2014-02-17,166.00,167.50,165.10,165.30,77100,161.14
2014-02-14,164.30,167.40,164.00,166.10,134000,161.92
2014-02-13,164.00,167.60,157.00,164.60,287200,160.46
2014-02-12,166.00,168.00,164.90,166.30,94800,162.12
2014-02-11,167.50,168.30,165.00,165.70,127300,161.53
2014-02-10,167.00,171.00,165.50,166.90,123300,162.70
2014-02-07,167.00,167.00,164.30,166.50,94400,162.31
2014-02-06,164.60,166.20,163.50,166.20,87200,162.02
2014-02-05,160.00,165.80,160.00,163.00,121400,158.90
2014-02-04,162.80,162.80,159.10,159.80,337200,155.78
2014-02-03,169.80,171.20,164.30,164.30,164900,160.17
2014-01-31,170.00,171.30,168.80,170.00,255200,165.73
2014-01-30,167.90,170.40,166.40,169.80,128100,165.53
2014-01-29,169.50,172.10,166.20,167.90,179600,163.68
2014-01-28,168.00,171.10,166.50,167.70,147400,163.48
2014-01-27,164.40,172.90,163.30,168.10,289700,163.87
2014-01-24,172.10,174.50,168.00,168.00,237100,163.78
2014-01-23,177.10,177.60,172.10,172.70,186400,168.36
2014-01-22,179.70,179.70,176.50,178.00,125900,173.53
2014-01-21,181.20,181.20,176.40,179.80,332000,175.28
2014-01-20,183.70,183.70,180.80,181.20,86400,176.64
2014-01-17,185.50,187.00,182.90,183.10,160500,178.50
2014-01-16,183.20,191.30,183.20,184.90,445300,180.25
2014-01-15,178.80,184.10,178.00,183.00,201900,178.40
2014-01-14,182.40,182.90,177.50,180.00,440600,175.47
2014-01-13,186.00,186.90,182.20,183.50,542000,178.89
2014-01-10,177.50,187.30,177.10,184.90,431700,180.25
2014-01-09,173.50,178.00,173.50,176.50,443900,172.06
2014-01-08,177.00,177.00,171.90,172.50,205700,168.16
2014-01-07,176.00,178.60,175.00,175.70,284100,171.28
2014-01-06,174.00,174.00,174.00,174.00,000,169.63
2014-01-03,175.00,175.00,172.20,174.00,104900,169.63
2014-01-02,172.20,174.40,166.50,173.90,259500,169.53
2014-01-01,172.50,172.50,172.50,172.50,000,168.16
2013-12-31,172.50,172.50,172.50,172.50,000,168.16
2013-12-30,173.60,175.00,170.70,172.50,151900,168.16
2013-12-27,172.40,175.40,172.40,173.60,237600,169.24
2013-12-26,173.80,173.80,173.80,173.80,000,169.43
2013-12-25,173.80,173.80,173.80,173.80,000,169.43
2013-12-24,173.80,173.80,173.80,173.80,000,169.43
2013-12-23,170.70,179.50,170.70,173.80,405400,169.43
2013-12-20,172.80,174.90,170.30,170.50,660700,166.21
2013-12-19,170.00,177.80,160.20,175.40,2258600,170.99
2013-12-18,130.60,138.00,130.00,133.00,159500,129.66
2013-12-17,130.50,131.50,130.10,130.60,58700,127.32
2013-12-16,130.00,130.80,128.20,130.40,96400,127.12
2013-12-13,127.00,131.10,127.00,128.20,120700,124.98
2013-12-12,128.00,130.90,125.70,126.20,59100,123.03
2013-12-11,127.70,129.10,127.10,128.10,73500,124.88
2013-12-10,130.00,130.30,127.40,128.10,108000,124.88
2013-12-09,131.30,132.10,130.00,130.10,90200,126.83
2013-12-06,130.00,134.20,129.60,130.80,137700,127.51
2013-12-05,130.20,130.60,128.30,129.60,76600,126.34
2013-12-04,131.80,133.10,129.00,130.20,104000,126.93
2013-12-03,136.20,136.50,131.60,131.60,145600,128.29
2013-12-02,136.70,137.00,135.10,136.20,124500,132.78
2013-11-29,136.00,136.00,135.00,135.10,48500,131.70
2013-11-28,136.30,136.70,135.30,136.00,70100,132.58
2013-11-27,134.70,136.60,133.70,136.20,67500,132.78
2013-11-26,136.10,136.10,133.50,134.60,84800,131.22
2013-11-25,136.20,137.50,135.70,136.10,65800,132.68
2013-11-22,133.90,136.20,132.60,136.10,146700,132.68
2013-11-21,133.00,134.50,131.60,131.80,118400,128.49
2013-11-20,133.00,135.00,133.00,133.40,86000,130.05
2013-11-19,131.10,136.40,130.40,133.40,209000,130.05
2013-11-18,132.10,132.70,130.60,131.10,135500,127.80
2013-11-15,128.80,131.50,128.10,131.00,99800,127.71
2013-11-14,128.40,129.20,127.20,129.10,44900,125.85
2013-11-13,127.70,128.40,127.20,128.00,65300,124.78
2013-11-12,128.90,129.20,127.70,128.10,34900,124.88
2013-11-11,127.50,129.40,127.00,128.90,62000,125.66
2013-11-08,128.70,128.70,126.20,127.00,79800,123.81
2013-11-07,128.20,129.30,127.70,128.00,45500,124.78
2013-11-06,128.70,129.10,127.70,128.30,92500,125.07
2013-11-05,128.70,130.10,128.00,128.80,104100,125.56
2013-11-04,130.70,130.70,129.10,130.10,48000,126.83
2013-11-01,130.30,132.00,129.90,130.70,36700,127.41
2013-10-31,131.20,131.20,128.20,130.00,85900,126.73
2013-10-30,130.90,131.20,130.00,131.20,110800,127.90
2013-10-29,132.30,133.80,130.30,131.00,74800,127.71
2013-10-28,131.00,131.90,130.40,131.10,72600,127.80
2013-10-25,130.40,132.20,130.10,131.10,517200,127.80
2013-10-24,129.60,131.10,129.00,131.00,95700,127.71
2013-10-23,129.90,130.40,129.00,129.50,86900,126.24
2013-10-22,129.10,130.90,128.50,130.00,136600,126.73
2013-10-21,129.10,131.00,128.10,129.60,221500,126.34
2013-10-18,128.30,129.10,127.50,128.00,145100,124.78
2013-10-17,128.40,128.50,127.00,127.80,62500,124.59
2013-10-16,128.00,128.60,126.00,128.30,96400,125.07
2013-10-15,127.60,129.40,127.30,128.00,47400,124.78
2013-10-14,128.10,129.20,127.10,127.60,46500,124.39
2013-10-11,125.80,129.00,125.80,129.00,77600,125.76
2013-10-10,128.00,129.00,123.80,125.30,196400,122.15
2013-10-09,128.90,129.50,128.00,128.00,112000,124.78
2013-10-08,130.10,130.40,128.60,129.30,60400,126.05
2013-10-07,131.80,131.80,129.80,130.40,52300,127.12
2013-10-04,131.50,131.50,127.90,129.40,63200,126.15
2013-10-03,130.20,132.40,129.80,130.40,57000,127.12
2013-10-02,127.00,131.30,126.80,130.20,49800,126.93
2013-10-01,126.40,128.30,126.00,127.50,60200,124.29
2013-09-30,130.80,130.80,127.50,128.50,96500,125.27
2013-09-27,132.80,134.50,131.70,131.70,68900,128.39
2013-09-26,131.60,134.50,129.80,131.90,206300,128.58
2013-09-25,133.00,137.00,131.50,131.70,193700,128.39
2013-09-24,132.00,133.00,132.00,132.80,49800,129.46
2013-09-23,132.00,132.20,131.00,132.00,69500,128.68
2013-09-20,132.40,132.90,131.10,131.90,82000,128.58
2013-09-19,134.30,134.30,132.80,133.10,65100,129.75
2013-09-18,132.60,135.80,132.50,132.50,124000,129.17
2013-09-17,134.00,134.80,131.60,132.20,106200,128.88
2013-09-16,136.00,136.90,133.60,133.70,180500,130.34
2013-09-13,130.00,136.00,128.70,134.30,376000,130.92
2013-09-12,128.20,131.00,128.10,129.30,285000,126.05
2013-09-11,126.00,131.10,125.70,128.00,327700,124.78
2013-09-10,125.70,127.00,125.20,126.00,50300,122.83
2013-09-09,125.10,125.80,124.10,125.10,76700,121.96
2013-09-06,124.50,125.30,123.80,125.10,90300,121.96
2013-09-05,123.80,124.70,123.50,124.70,60600,121.57
2013-09-04,123.00,123.80,122.50,123.80,38300,120.69
2013-09-03,123.00,124.20,122.60,123.00,51200,119.91
2013-09-02,122.00,123.40,121.70,123.10,39100,120.01
2013-08-30,123.00,123.00,121.10,121.40,270100,118.35
2013-08-29,124.00,124.00,122.50,122.60,109000,119.52
2013-08-28,124.80,124.90,121.50,123.80,110500,120.69
2013-08-27,117.90,125.00,116.50,124.80,327300,121.66
2013-08-26,118.40,118.50,117.50,117.90,66100,114.94
2013-08-23,118.70,118.90,117.80,118.00,115800,115.03
