Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,193.50,195.10,192.60,194.60,1114900,189.78
2014-02-25,192.20,193.90,191.60,193.50,2608900,188.71
2014-02-21,191.80,192.60,190.35,191.40,1680700,186.66
2014-02-20,189.60,191.30,188.10,191.30,1223400,186.56
2014-02-19,190.70,191.00,189.20,191.00,1336800,186.27
2014-02-18,192.50,192.60,189.50,190.90,1401600,186.17
2014-02-17,191.50,193.30,191.40,192.50,705400,187.73
2014-02-14,190.00,192.30,189.70,191.30,1487100,186.56
2014-02-13,186.70,190.10,186.40,190.10,1623900,185.39
2014-02-12,191.20,191.20,186.80,187.10,2001500,182.47
2014-02-11,191.00,191.00,188.70,190.40,1427000,185.68
2014-02-10,189.30,189.90,188.30,189.80,1131400,185.10
2014-02-07,190.70,193.90,187.90,188.40,1609900,183.73
2014-02-06,185.30,188.55,184.50,187.10,2826100,182.47
2014-02-05,183.60,184.20,182.00,183.10,1548100,178.57
2014-02-04,184.50,185.10,183.50,183.80,1754100,179.25
2014-02-03,186.10,187.80,184.10,185.90,2231100,181.30
2014-01-31,183.00,187.00,182.30,186.50,4208700,181.88
2014-01-30,180.30,183.10,178.00,182.20,2702200,177.69
2014-01-29,179.00,187.60,177.20,181.00,9188300,176.52
2014-01-28,192.60,192.80,189.60,190.50,1720500,185.78
2014-01-27,192.40,192.70,189.10,192.00,1906200,187.25
2014-01-24,197.90,199.20,192.80,192.80,1889000,188.03
2014-01-23,199.20,202.70,197.50,197.80,1188300,192.90
2014-01-22,197.20,200.40,197.20,199.20,1792400,194.27
2014-01-21,196.60,198.10,196.60,197.00,1847600,192.12
2014-01-20,195.50,197.20,195.20,196.70,995700,191.83
2014-01-17,196.00,197.50,194.20,195.70,2562600,190.85
2014-01-16,198.00,198.20,196.90,197.50,1076700,192.61
2014-01-15,196.50,198.30,196.30,197.70,1090800,192.80
2014-01-14,195.80,196.70,195.00,196.00,1498400,191.15
2014-01-13,199.60,199.80,196.70,197.00,990300,192.12
2014-01-10,198.30,199.50,198.20,199.00,1709000,194.07
2014-01-09,195.60,198.30,195.20,196.80,1347500,191.93
2014-01-08,198.00,198.40,194.80,195.30,1674000,190.46
2014-01-07,197.10,199.50,196.00,197.90,2075900,193.00
2014-01-06,196.10,196.10,196.10,196.10,000,191.24
2014-01-03,196.30,196.80,195.50,196.10,628700,191.24
2014-01-02,198.20,199.10,195.30,196.10,1430900,191.24
2014-01-01,198.00,198.00,198.00,198.00,000,193.10
2013-12-31,198.00,198.00,198.00,198.00,000,193.10
2013-12-30,197.10,198.70,197.00,198.00,1280700,193.10
2013-12-27,195.80,198.70,195.40,196.60,981700,191.73
2013-12-26,195.20,195.20,195.20,195.20,000,190.37
2013-12-25,195.20,195.20,195.20,195.20,000,190.37
2013-12-24,195.20,195.20,195.20,195.20,000,190.37
2013-12-23,194.00,195.30,193.50,195.20,730100,190.37
2013-12-20,193.60,194.30,192.10,193.00,1515700,188.22
2013-12-19,192.90,195.30,191.60,193.40,1450800,188.61
2013-12-18,189.60,191.30,189.60,191.30,1236100,186.56
2013-12-17,189.20,190.90,188.90,189.40,1268200,184.71
2013-12-16,185.30,189.30,184.50,188.80,1085000,184.12
2013-12-13,186.10,186.50,185.00,185.60,938600,181.00
2013-12-12,187.50,188.40,186.40,186.40,1423800,181.78
2013-12-11,188.00,189.50,187.80,188.00,1011400,183.34
2013-12-10,187.20,190.00,187.00,188.00,1814200,183.34
2013-12-09,189.70,189.70,186.60,188.20,2073200,183.54
2013-12-06,189.60,190.20,187.40,188.90,1021300,184.22
2013-12-05,188.70,190.60,187.80,188.70,1226900,184.03
2013-12-04,190.80,191.50,187.70,189.20,1284100,184.51
2013-12-03,194.20,194.90,189.20,190.00,1754100,185.29
2013-12-02,192.90,194.50,192.90,194.00,1270100,189.20
2013-11-29,193.80,194.80,191.50,191.50,1812500,186.76
2013-11-28,191.70,192.20,191.00,191.90,656800,187.15
2013-11-27,190.70,191.30,189.40,190.70,929300,185.98
2013-11-26,192.80,192.90,190.20,190.20,1710900,185.49
2013-11-25,192.50,193.40,191.50,192.60,1406100,187.83
2013-11-22,191.50,193.50,191.20,192.50,921800,187.73
2013-11-21,189.80,191.80,188.10,190.70,1221500,185.98
