Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,61.50,61.50,61.50,61.50,000,58.77
2014-02-25,64.50,64.50,61.50,61.50,1000,58.77
2014-02-24,64.50,64.50,63.50,63.50,500,60.68
2014-02-21,65.00,65.00,65.00,65.00,000,62.11
2014-02-20,63.00,65.00,62.00,65.00,800,62.11
2014-02-19,64.00,64.00,64.00,64.00,000,61.16
2014-02-18,64.00,64.00,64.00,64.00,000,61.16
2014-02-17,64.00,64.00,64.00,64.00,400,61.16
2014-02-14,62.75,62.75,62.75,62.75,100,59.96
2014-02-13,62.75,62.75,62.75,62.75,100,59.96
2014-02-12,63.75,63.75,63.75,63.75,300,60.92
2014-02-11,62.75,62.75,62.75,62.75,100,59.96
2014-02-10,62.75,62.75,62.75,62.75,000,59.96
2014-02-07,62.75,62.75,62.75,62.75,100,59.96
2014-02-06,63.00,64.00,63.00,64.00,500,61.16
2014-02-05,62.00,62.00,62.00,62.00,000,59.24
2014-02-04,62.50,62.50,62.00,62.00,300,59.24
2014-02-03,63.00,63.00,62.50,63.00,900,60.20
2014-01-31,64.00,64.00,64.00,64.00,000,61.16
2014-01-30,64.00,64.00,64.00,64.00,100,61.16
2014-01-29,63.50,63.50,63.50,63.50,900,60.68
2014-01-28,63.50,63.50,63.50,63.50,000,60.68
2014-01-27,63.50,63.50,63.50,63.50,000,60.68
2014-01-24,64.00,64.00,64.00,64.00,000,61.16
2014-01-23,64.00,64.00,64.00,64.00,200,61.16
2014-01-22,64.00,64.00,64.00,64.00,100,61.16
2014-01-21,64.00,64.00,64.00,64.00,300,61.16
2014-01-20,64.00,64.00,64.00,64.00,400,61.16
2014-01-17,63.00,63.00,63.00,63.00,000,60.20
2014-01-16,63.75,64.00,63.00,63.00,1300,60.20
2014-01-15,62.75,62.75,62.75,62.75,000,59.96
2014-01-14,62.75,62.75,62.75,62.75,300,59.96
2014-01-13,62.75,62.75,62.75,62.75,000,59.96
2014-01-10,66.00,67.00,62.75,62.75,1600,59.96
