Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,76.75,76.75,74.75,75.00,15300,72.10
2014-02-25,65.50,77.25,65.50,77.25,49800,74.27
2014-02-24,64.00,65.25,64.00,65.25,2600,62.73
2014-02-21,63.50,64.00,63.50,64.00,900,61.53
2014-02-20,64.00,64.00,63.50,63.50,400,61.05
2014-02-19,64.00,64.00,64.00,64.00,1000,61.53
2014-02-18,63.25,64.25,63.00,64.00,4200,61.53
2014-02-17,65.00,65.00,63.25,64.75,1200,62.25
2014-02-14,63.00,65.00,63.00,65.00,400,62.49
2014-02-13,63.75,64.25,63.00,64.25,3700,61.77
2014-02-12,64.00,64.00,62.75,63.75,2500,61.29
2014-02-11,63.50,63.75,62.50,62.75,4600,60.33
2014-02-10,64.25,64.25,62.50,63.25,10800,60.81
2014-02-07,64.50,65.75,63.25,65.75,1700,63.21
2014-02-06,64.00,65.75,63.00,63.75,13800,61.29
2014-02-05,63.75,67.00,63.00,67.00,17600,64.41
2014-02-04,63.50,63.75,63.00,63.75,7200,61.29
2014-02-03,69.75,69.75,63.50,63.75,4900,61.29
2014-01-31,68.00,68.00,66.75,67.75,3100,65.13
2014-01-30,68.00,69.25,68.00,69.25,300,66.58
2014-01-29,69.00,69.25,68.00,69.25,2500,66.58
2014-01-28,68.00,69.00,68.00,68.75,1300,66.10
2014-01-27,71.00,71.00,66.50,68.25,6800,65.61
2014-01-24,70.75,70.75,68.00,69.75,5300,67.06
2014-01-23,71.25,71.25,70.00,70.75,2000,68.02
2014-01-22,70.00,71.50,69.00,69.00,6200,66.34
2014-01-21,70.00,70.00,68.50,70.00,4800,67.30
2014-01-20,69.50,70.00,68.75,68.75,6900,66.10
2014-01-17,69.00,69.25,67.50,69.25,7100,66.58
2014-01-16,69.00,69.50,69.00,69.00,4600,66.34
2014-01-15,70.00,70.00,68.00,69.00,16500,66.34
2014-01-14,69.00,69.50,67.25,69.50,9400,66.82
2014-01-13,69.25,73.75,68.00,69.00,19800,66.34
2014-01-10,65.75,65.75,65.00,65.50,600,62.97
2014-01-09,65.25,65.50,64.25,65.50,5100,62.97
2014-01-08,65.50,65.50,65.00,65.50,1600,62.97
2014-01-07,65.50,65.50,64.25,65.50,5100,62.97
2014-01-06,65.50,65.50,65.50,65.50,000,62.97
2014-01-03,64.50,65.50,64.00,65.50,10900,62.97
2014-01-02,66.00,66.00,64.25,64.25,2800,61.77
2014-01-01,66.00,66.00,66.00,66.00,000,63.45
2013-12-31,66.00,66.00,66.00,66.00,000,63.45
2013-12-30,65.50,66.00,64.50,66.00,5200,63.45
2013-12-27,64.00,65.50,63.50,64.50,4300,62.01
2013-12-26,65.50,65.50,65.50,65.50,000,62.97
2013-12-25,65.50,65.50,65.50,65.50,000,62.97
2013-12-24,65.50,65.50,65.50,65.50,000,62.97
2013-12-23,64.75,66.00,64.50,65.50,4700,62.97
2013-12-20,64.00,64.75,64.00,64.50,400,62.01
