Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,138.50,139.00,137.60,138.20,1047500,131.81
2014-02-25,137.30,138.50,137.20,138.30,2387400,131.91
2014-02-21,133.40,134.50,133.30,134.10,1728700,127.90
2014-02-20,131.40,133.00,130.90,132.90,1126400,126.76
2014-02-19,131.60,132.40,131.10,132.20,1186000,126.09
2014-02-18,132.10,132.50,130.60,131.60,1454100,125.52
2014-02-17,131.80,132.60,131.80,132.10,706800,125.99
2014-02-14,131.00,132.00,130.80,131.80,1347300,125.71
2014-02-13,130.30,130.80,129.60,130.70,1078300,124.66
2014-02-12,130.10,130.90,130.00,130.30,1166900,124.28
2014-02-11,129.30,130.80,129.20,129.90,1533100,123.90
2014-02-10,127.60,130.10,126.90,129.00,2597800,123.04
2014-02-07,128.20,128.50,123.20,126.70,5284700,120.84
2014-02-06,128.40,130.20,128.40,129.90,1934000,123.90
2014-02-05,127.70,129.10,127.10,128.20,1076600,122.27
2014-02-04,127.00,128.00,126.60,127.50,933100,121.61
2014-02-03,129.10,130.30,127.40,127.50,1518900,121.61
2014-01-31,130.20,130.20,128.30,129.20,1242400,123.23
2014-01-30,129.20,130.70,128.50,130.00,910700,123.99
2014-01-29,131.00,131.30,128.60,129.80,1462400,123.80
2014-01-28,129.80,130.60,128.90,129.90,1202100,123.90
2014-01-27,129.30,130.50,128.20,129.60,1268800,123.61
2014-01-24,131.60,132.60,129.10,129.40,1131100,123.42
2014-01-23,133.00,133.70,130.90,131.50,1139200,125.42
2014-01-22,132.40,133.40,132.10,133.30,1469300,127.14
2014-01-21,132.00,132.50,131.80,132.10,1218600,125.99
2014-01-20,130.90,132.40,130.80,132.10,1247600,125.99
2014-01-17,130.50,131.50,130.30,131.20,1157500,125.13
2014-01-16,130.80,131.00,129.50,130.60,1619200,124.56
2014-01-15,130.30,131.10,130.20,130.80,1124700,124.75
2014-01-14,129.50,130.50,128.40,130.10,1205500,124.09
2014-01-13,130.60,131.00,129.90,130.20,1003800,124.18
2014-01-10,130.50,131.90,130.40,130.70,1085400,124.66
2014-01-09,129.90,130.90,129.60,130.10,678300,124.09
2014-01-08,129.50,130.30,129.00,129.50,1499400,123.51
2014-01-07,131.00,131.30,129.10,129.30,1991900,123.32
2014-01-06,130.60,130.60,130.60,130.60,000,124.56
2014-01-03,129.90,131.00,129.80,130.60,909200,124.56
2014-01-02,131.40,131.80,130.10,130.90,1116000,124.85
2014-01-01,131.40,131.40,131.40,131.40,000,125.33
2013-12-31,131.40,131.40,131.40,131.40,000,125.33
2013-12-30,131.50,132.20,131.00,131.40,753800,125.33
2013-12-27,130.80,131.90,130.70,131.60,783800,125.52
2013-12-26,129.90,129.90,129.90,129.90,000,123.90
2013-12-25,129.90,129.90,129.90,129.90,000,123.90
2013-12-24,129.90,129.90,129.90,129.90,000,123.90
2013-12-23,128.00,130.40,128.00,129.90,1388900,123.90
2013-12-20,126.30,128.20,126.30,128.00,2050000,122.08
2013-12-19,123.80,126.60,123.50,126.20,1534400,120.37
2013-12-18,122.60,123.50,122.40,123.10,1203600,117.41
2013-12-17,122.50,123.30,122.00,122.60,779700,116.93
2013-12-16,122.20,123.40,121.70,123.20,918600,117.50
2013-12-13,122.40,123.10,121.90,122.30,833000,116.65
2013-12-12,123.20,123.40,121.90,122.60,1126600,116.93
2013-12-11,122.70,124.80,122.30,123.90,1021700,118.17
2013-12-10,123.70,123.90,122.70,122.80,1148900,117.12
2013-12-09,123.60,124.00,122.60,123.90,1218500,118.17
2013-12-06,122.50,123.60,121.50,123.50,1751300,117.79
2013-12-05,121.90,122.40,121.20,121.50,1146600,115.88
2013-12-04,122.40,123.10,121.20,122.00,1392000,116.36
2013-12-03,124.70,125.00,122.20,122.30,1586500,116.65
2013-12-02,124.80,125.30,124.60,125.00,747100,119.22
2013-11-29,125.30,126.00,125.00,125.00,1198100,119.22
2013-11-28,125.20,125.90,125.00,125.50,546900,119.70
2013-11-27,125.00,125.50,124.90,125.30,1047100,119.51
2013-11-26,124.50,125.50,124.50,125.00,946700,119.22
2013-11-25,123.50,125.00,123.50,124.80,1064600,119.03
2013-11-22,122.60,123.40,122.50,123.20,1315300,117.50
2013-11-21,122.10,122.90,121.40,122.50,890500,116.84
2013-11-20,122.40,123.10,122.20,122.30,925500,116.65
2013-11-19,122.40,123.10,122.10,122.80,3174800,117.12
2013-11-18,122.70,123.20,122.30,122.80,877600,117.12
2013-11-15,122.30,123.00,122.00,122.70,1018800,117.03
2013-11-14,122.50,123.00,122.00,122.20,991700,116.55
2013-11-13,122.20,122.50,121.20,121.80,1082400,116.17
2013-11-12,123.70,124.00,122.00,122.50,1221500,116.84
2013-11-11,122.90,123.80,122.00,123.70,1333400,117.98
2013-11-08,123.00,123.60,121.90,122.80,1569100,117.12
2013-11-07,125.00,125.40,121.00,123.50,2790000,117.79
2013-11-06,125.10,127.60,125.00,126.40,1115200,120.56
2013-11-05,125.90,126.40,125.30,125.50,719100,119.70
2013-11-04,124.80,126.20,124.80,125.70,750900,119.89
2013-11-01,124.80,124.80,123.90,124.80,528900,119.03
2013-10-31,125.00,125.20,124.40,124.90,1078500,119.13
2013-10-30,125.40,126.00,124.90,125.00,1051600,119.22
2013-10-29,124.60,125.90,124.60,125.40,617900,119.60
2013-10-28,125.00,126.20,125.00,125.30,971400,119.51
2013-10-25,125.30,125.70,123.80,124.90,919500,119.13
2013-10-24,125.50,126.50,125.10,125.50,776000,119.70
2013-10-23,125.30,125.80,124.70,125.40,859600,119.60
2013-10-22,125.30,126.20,124.80,125.60,795900,119.79
2013-10-21,124.40,125.30,124.20,125.30,794400,119.51
2013-10-18,123.30,124.50,122.60,124.10,755300,118.36
2013-10-17,123.40,123.90,122.50,122.90,849400,117.22
2013-10-16,122.80,123.40,121.90,123.30,701400,117.60
2013-10-15,123.50,124.20,123.00,123.40,933600,117.70
2013-10-14,122.50,123.20,122.10,122.70,474100,117.03
2013-10-11,123.00,123.50,122.70,123.00,667200,117.31
2013-10-10,120.80,122.90,120.80,122.60,1047900,116.93
2013-10-09,119.90,120.60,118.70,120.50,1558300,114.93
2013-10-08,120.80,120.90,120.00,120.40,864800,114.83
2013-10-07,121.70,121.90,119.90,120.80,1128100,115.22
2013-10-04,122.20,122.80,122.00,122.30,932000,116.65
2013-10-03,123.80,124.90,123.30,123.40,1046600,117.70
2013-10-02,123.60,124.50,123.20,123.80,963500,118.08
2013-10-01,123.50,124.30,123.30,124.30,826200,118.55
2013-09-30,124.00,124.50,123.00,123.60,1225100,117.89
2013-09-27,126.00,126.50,124.40,125.30,1288300,119.51
2013-09-26,126.30,126.70,125.70,126.00,1126100,120.18
2013-09-25,126.50,126.90,125.70,126.20,754100,120.37
2013-09-24,126.00,126.90,126.00,126.90,1471800,121.03
2013-09-23,126.70,127.00,125.80,126.30,1181300,120.46
2013-09-20,127.80,128.00,126.80,127.00,880400,121.13
2013-09-19,128.30,128.60,127.50,128.10,1097700,122.18
2013-09-18,126.40,128.00,126.40,127.40,1725600,121.51
2013-09-17,125.70,126.80,125.60,126.30,835100,120.46
2013-09-16,126.50,126.90,125.70,126.30,1118200,120.46
2013-09-13,125.20,126.70,125.20,126.30,678000,120.46
2013-09-12,126.00,126.90,125.30,125.60,1518500,119.79
2013-09-11,125.70,126.30,125.30,126.10,1761700,120.27
2013-09-10,123.50,126.10,123.50,125.70,1963800,119.89
2013-09-09,123.20,123.40,122.50,123.10,745300,117.41
2013-09-06,121.60,123.60,121.60,123.50,1641800,117.79
2013-09-05,121.00,123.20,121.00,121.70,3211800,116.07
2013-09-04,120.70,120.80,119.70,120.30,2344900,114.74
2013-09-03,119.90,120.90,118.90,120.50,2254500,114.93
2013-09-02,119.10,120.40,119.10,119.50,1179900,113.98
2013-08-30,119.70,119.90,118.30,118.70,1430800,113.21
2013-08-29,119.70,120.20,118.75,119.80,834300,114.26
2013-08-28,119.10,119.80,118.60,119.60,1364600,114.07
2013-08-27,121.70,121.90,119.00,119.60,1640400,114.07
2013-08-26,122.10,122.50,121.20,122.00,665700,116.36
2013-08-23,122.90,123.20,121.70,122.20,706300,116.55
2013-08-22,121.60,123.40,121.60,122.80,832700,117.12
2013-08-21,123.70,123.70,121.50,121.70,977600,116.07
2013-08-20,123.70,123.80,122.60,123.70,968900,117.98
2013-08-19,124.00,124.70,123.20,124.60,2815800,118.84
2013-08-16,122.60,124.10,122.30,123.90,968200,118.17
2013-08-15,124.40,124.60,122.40,123.00,727100,117.31
2013-08-14,124.70,125.20,124.30,124.90,638100,119.13
2013-08-13,124.00,125.00,124.00,125.00,898500,119.22
2013-08-12,123.40,124.40,123.40,124.20,1009500,118.46
2013-08-09,123.50,124.20,123.20,123.90,491700,118.17
2013-08-08,122.50,123.80,122.50,123.30,725300,117.60
2013-08-07,122.60,122.70,121.40,122.20,760400,116.55
2013-08-06,123.30,124.20,122.50,123.00,696100,117.31
2013-08-05,122.80,123.60,122.80,123.40,2042000,117.70
2013-08-02,123.50,123.80,122.30,123.10,977300,117.41
2013-08-01,123.30,123.80,122.70,123.40,788500,117.70
2013-07-31,123.20,123.60,122.40,123.00,748700,117.31
2013-07-30,122.60,123.80,122.60,123.60,639800,117.89
2013-07-29,122.80,123.80,122.20,122.50,555400,116.84
2013-07-26,123.00,123.80,122.30,122.70,543900,117.03
2013-07-25,122.10,122.90,121.90,122.90,1138800,117.22
2013-07-24,121.50,123.20,121.50,122.80,817400,117.12
2013-07-23,121.00,122.50,121.00,121.60,1404200,115.98
2013-07-22,120.10,122.30,120.10,121.40,1671000,115.79
2013-07-19,119.20,120.50,118.60,120.50,1348500,114.93
2013-07-18,118.80,120.00,118.80,119.60,1608300,114.07
2013-07-17,116.60,117.90,116.60,117.70,1119200,112.26
2013-07-16,116.70,117.10,116.40,116.70,599700,111.31
2013-07-15,116.60,117.30,116.40,116.70,680000,111.31
2013-07-12,117.50,117.70,116.30,116.80,995300,111.40
2013-07-11,117.00,117.50,116.30,117.20,1056600,111.78
2013-07-10,115.40,116.00,115.00,115.90,1943000,110.54
2013-07-09,115.00,115.80,114.60,115.60,1191300,110.26
2013-07-08,112.80,114.00,112.80,113.70,778400,108.44
2013-07-05,113.40,114.30,112.60,112.60,906600,107.39
2013-07-04,112.60,114.00,112.40,113.70,1240100,108.44
2013-07-03,112.30,112.50,111.10,112.20,811100,107.01
2013-07-02,112.60,113.00,112.10,112.80,1831700,107.59
2013-07-01,111.30,113.00,111.30,113.00,1344400,107.78
2013-06-28,111.90,112.90,111.00,111.30,1488900,106.15
2013-06-27,110.80,111.80,110.40,111.70,854500,106.54
2013-06-26,109.70,111.30,109.10,110.70,1148400,105.58
2013-06-24,111.00,111.60,107.90,108.10,3055400,103.10
2013-06-21,110.80,110.80,110.80,110.80,000,105.68
2013-06-20,113.10,113.30,110.50,110.80,1784900,105.68
2013-06-19,116.30,116.90,114.10,114.40,817300,109.11
2013-06-18,114.70,116.70,114.70,116.10,2001600,110.73
2013-06-17,113.90,115.80,113.90,115.40,960800,110.07
2013-06-14,114.20,114.70,113.00,113.50,1074400,108.25
2013-06-13,112.00,114.00,111.90,113.60,1363300,108.35
2013-06-12,113.60,115.10,113.30,113.50,993000,108.25
2013-06-11,116.30,116.30,113.10,113.80,3087800,108.54
2013-06-10,116.50,116.80,115.80,116.40,1044500,111.02
2013-06-07,115.40,117.20,114.70,116.50,1505400,111.11
2013-06-06,115.60,115.60,115.60,115.60,000,110.26
2013-06-05,116.10,116.90,115.40,115.60,1665500,110.26
2013-06-04,118.40,118.90,116.80,117.40,1936900,111.97
