Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,85.35,85.95,84.50,85.00,249100,85.00
2014-02-25,85.55,87.20,84.85,85.35,252200,85.35
2014-02-21,84.00,84.40,82.40,84.40,311000,84.40
2014-02-20,81.00,84.00,79.25,84.00,369400,84.00
2014-02-19,80.55,81.60,79.75,80.50,214800,80.50
2014-02-18,80.70,81.35,78.70,80.50,321200,80.50
2014-02-17,80.50,81.00,79.95,80.50,134900,80.50
2014-02-14,80.00,81.40,79.50,80.25,430600,80.25
2014-02-13,79.00,80.00,78.30,80.00,1154100,80.00
2014-02-12,78.50,78.85,78.10,78.75,335500,78.75
2014-02-11,77.75,78.50,76.65,78.50,1385300,78.50
2014-02-10,75.95,77.40,75.55,77.30,368500,77.30
2014-02-07,75.25,76.20,75.25,76.10,217200,76.10
2014-02-06,73.70,75.00,73.70,75.00,235700,75.00
2014-02-05,72.60,74.65,72.50,73.20,425300,73.20
2014-02-04,73.40,73.50,71.60,72.20,648100,72.20
2014-02-03,75.00,75.45,73.45,73.90,353300,73.90
2014-01-31,74.40,77.20,73.35,74.70,372800,74.70
2014-01-30,73.85,75.00,73.50,74.15,421100,74.15
2014-01-29,74.30,75.50,73.75,74.10,406600,74.10
2014-01-28,75.00,75.00,73.50,73.65,446900,73.65
2014-01-27,74.00,74.15,71.80,73.75,472600,73.75
2014-01-24,76.10,76.10,73.20,74.15,803300,74.15
2014-01-23,77.60,77.60,74.95,75.00,481900,75.00
2014-01-22,79.25,79.25,76.85,77.25,422600,77.25
2014-01-21,77.50,79.25,77.50,78.10,373200,78.10
2014-01-20,75.00,78.20,75.00,77.25,598700,77.25
2014-01-17,71.05,74.90,71.05,74.90,1206100,74.90
2014-01-16,69.15,70.90,68.60,70.85,672100,70.85
2014-01-15,72.45,72.45,69.60,70.40,809800,70.40
2014-01-14,70.90,71.75,69.45,71.60,279700,71.60
2014-01-13,73.40,73.40,69.40,70.95,823700,70.95
2014-01-10,72.95,73.50,72.00,73.30,664300,73.30
2014-01-09,72.60,73.25,72.25,72.80,1033400,72.80
2014-01-08,70.50,72.75,70.00,72.60,582900,72.60
2014-01-07,70.00,70.50,69.60,70.25,371700,70.25
2014-01-06,69.75,69.75,69.75,69.75,000,69.75
2014-01-03,68.50,70.25,68.45,69.75,641200,69.75
2014-01-02,66.75,68.40,66.75,68.40,241500,68.40
2014-01-01,66.75,66.75,66.75,66.75,000,66.75
2013-12-31,66.75,66.75,66.75,66.75,000,66.75
2013-12-30,66.50,66.75,65.25,66.75,818600,66.75
