Date,Open,High,Low,Close,Volume,Adj Close
2013-09-05,13.50,14.00,12.70,13.30,5000,13.30
2013-09-04,13.10,13.10,13.10,13.10,000,13.10
2013-09-03,13.20,13.20,13.10,13.10,1400,13.10
2013-09-02,13.60,13.60,13.50,13.50,3400,13.50
2013-08-30,14.00,14.50,13.50,13.50,10500,13.50
2013-08-29,13.70,13.75,13.30,13.30,3900,13.30
2013-08-28,13.60,13.60,13.60,13.60,000,13.60
2013-08-27,13.60,13.60,13.60,13.60,000,13.60
2013-08-26,13.80,13.80,13.60,13.60,3700,13.60
2013-08-23,13.20,13.80,13.20,13.80,3800,13.80
2013-08-22,13.30,13.30,13.00,13.00,1200,13.00
2013-08-21,13.30,13.30,13.30,13.30,000,13.30
2013-08-20,13.60,13.80,13.60,13.80,3000,13.80
2013-08-19,13.65,13.65,12.00,13.50,3000,13.50
2013-08-16,13.80,13.80,13.50,13.50,1200,13.50
2013-08-15,14.15,14.15,14.15,14.15,000,14.15
2013-08-14,13.90,14.15,13.90,14.15,500,14.15
2013-08-13,13.70,14.15,13.50,14.15,800,14.15
2013-08-12,13.80,14.15,13.60,14.15,1300,14.15
2013-08-09,13.70,13.70,13.30,13.70,7300,13.70
2013-08-08,13.50,14.00,13.50,13.50,6000,13.50
2013-08-07,13.90,13.90,13.90,13.90,000,13.90
2013-08-06,13.30,13.90,13.30,13.90,300,13.90
