Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,59.00,59.00,59.00,59.00,1000,59.00
2014-02-25,59.00,60.00,59.00,59.50,5800,59.50
2014-02-24,56.00,59.00,55.00,59.00,4900,59.00
2014-02-21,54.00,55.75,54.00,55.75,9800,55.75
2014-02-20,54.00,54.75,53.25,54.50,4000,54.50
2014-02-19,56.00,56.00,53.50,54.25,6800,54.25
2014-02-18,57.00,60.00,52.00,56.00,22400,56.00
2014-02-17,52.50,56.75,52.50,56.00,12000,56.00
2014-02-14,52.00,52.25,51.25,52.00,1400,52.00
2014-02-13,50.00,51.75,50.00,51.75,1200,51.75
2014-02-12,50.00,50.00,49.50,50.00,2000,50.00
2014-02-11,50.50,50.50,50.50,50.50,3200,50.50
2014-02-10,47.70,50.50,47.70,50.00,14000,50.00
2014-02-07,45.90,49.90,45.90,49.90,600,49.90
2014-02-06,46.70,47.00,46.70,47.00,300,47.00
2014-02-05,46.60,47.50,46.60,47.50,4300,47.50
2014-02-04,48.50,48.50,47.00,47.50,11600,47.50
2014-02-03,50.50,50.50,49.00,49.00,10000,49.00
2014-01-31,45.40,46.30,45.40,46.00,7100,46.00
2014-01-30,45.10,45.50,45.10,45.20,7800,45.20
2014-01-29,45.70,45.70,45.00,45.00,4900,45.00
2014-01-28,44.20,44.90,44.20,44.90,6700,44.90
2014-01-27,43.80,44.00,43.70,44.00,2000,44.00
2014-01-24,44.00,44.00,43.50,44.00,6500,44.00
2014-01-23,45.00,45.00,44.00,44.10,4300,44.10
2014-01-22,45.00,45.10,45.00,45.10,2400,45.10
2014-01-21,45.00,45.80,45.00,45.60,7700,45.60
2014-01-20,45.90,45.90,45.00,45.00,1400,45.00
2014-01-17,45.80,45.80,44.20,45.00,49200,45.00
2014-01-16,45.50,45.50,45.00,45.40,11100,45.40
2014-01-15,45.30,45.30,44.60,45.00,7300,45.00
2014-01-14,45.00,47.80,45.00,45.00,8700,45.00
2014-01-13,45.00,46.80,45.00,45.20,70600,45.20
2014-01-10,43.20,43.50,43.20,43.20,400,43.20
2014-01-09,43.50,43.50,43.00,43.20,2200,43.20
2014-01-08,44.00,44.00,43.20,44.00,4600,44.00
2014-01-07,43.30,43.50,43.00,43.00,800,43.00
2014-01-06,43.30,43.30,43.30,43.30,000,43.30
2014-01-03,44.50,44.50,42.10,43.30,7300,43.30
2014-01-02,42.80,44.60,42.80,44.30,11700,44.30
2014-01-01,43.50,43.50,43.50,43.50,000,43.50
2013-12-31,43.50,43.50,43.50,43.50,000,43.50
2013-12-30,43.70,43.70,43.50,43.50,3500,43.50
2013-12-27,42.20,44.20,42.20,44.20,16900,44.20
2013-12-26,42.00,42.00,42.00,42.00,000,42.00
2013-12-25,42.00,42.00,42.00,42.00,000,42.00
2013-12-24,42.00,42.00,42.00,42.00,000,42.00
2013-12-23,41.80,42.00,41.80,42.00,8900,42.00
2013-12-20,41.70,42.00,41.70,42.00,3700,42.00
2013-12-19,40.00,41.70,40.00,41.70,4700,41.70
2013-12-18,40.90,40.90,40.90,40.90,000,40.90
2013-12-17,41.00,41.00,40.90,40.90,7000,40.90
2013-12-16,41.00,41.80,41.00,41.00,1700,41.00
2013-12-13,41.00,41.00,41.00,41.00,400,41.00
2013-12-12,41.00,41.10,41.00,41.00,4200,41.00
2013-12-11,42.60,42.60,41.00,41.90,4800,41.90
2013-12-10,40.40,41.50,40.40,41.30,12100,41.30
2013-12-09,40.40,40.40,40.20,40.20,700,40.20
2013-12-06,39.70,39.70,39.70,39.70,1700,39.70
2013-12-05,39.70,39.70,39.70,39.70,000,39.70
2013-12-04,40.40,40.40,39.60,39.70,1100,39.70
2013-12-03,39.60,39.70,39.60,39.70,4400,39.70
2013-12-02,39.90,39.90,39.60,39.60,3500,39.60
2013-11-29,40.10,40.40,39.70,40.40,800,40.40
2013-11-28,41.00,41.00,40.50,40.50,300,40.50
2013-11-27,40.00,41.00,40.00,41.00,1700,41.00
2013-11-26,40.00,41.00,40.00,41.00,3300,41.00
2013-11-25,40.00,40.30,40.00,40.00,4700,40.00
2013-11-22,39.50,39.50,39.50,39.50,100,39.50
2013-11-21,39.10,40.00,39.00,40.00,3300,40.00
2013-11-20,37.50,39.00,37.50,39.00,4100,39.00
2013-11-19,39.50,39.50,38.30,38.80,11600,38.80
2013-11-18,40.20,41.00,38.70,39.00,7000,39.00
2013-11-15,39.00,40.10,38.20,40.10,13600,40.10
2013-11-14,38.50,39.00,38.50,38.50,29400,38.50
2013-11-13,38.30,38.80,38.30,38.30,4600,38.30
2013-11-12,38.50,39.80,38.10,38.10,18400,38.10
2013-11-11,36.50,38.10,36.50,38.00,23700,38.00
2013-11-08,37.00,37.00,36.50,36.50,1200,36.50
2013-11-07,36.70,37.60,36.60,37.60,5700,37.60
2013-11-06,37.50,37.50,36.60,36.60,1900,36.60
2013-11-05,37.60,37.60,36.90,36.90,400,36.90
2013-11-04,36.90,37.20,36.90,37.20,1000,37.20
2013-11-01,36.90,36.90,36.90,36.90,200,36.90
2013-10-31,37.30,37.30,37.00,37.00,1400,37.00
2013-10-30,37.40,37.80,37.40,37.40,9100,37.40
2013-10-29,37.40,37.60,37.40,37.60,1900,37.60
2013-10-28,37.40,37.40,37.40,37.40,3600,37.40
2013-10-25,37.30,37.70,37.30,37.70,2200,37.70
2013-10-24,37.20,37.20,37.20,37.20,1400,37.20
2013-10-23,36.50,37.30,36.50,37.20,3100,37.20
2013-10-22,37.30,37.40,36.10,37.40,2000,37.40
2013-10-21,37.40,37.90,36.10,37.80,3200,37.80
2013-10-18,37.20,37.20,36.20,36.80,1000,36.80
2013-10-17,37.20,37.20,37.00,37.20,10700,37.20
2013-10-16,37.50,37.50,37.00,37.00,800,37.00
2013-10-15,37.50,37.50,37.00,37.00,1900,37.00
2013-10-14,37.20,37.20,37.10,37.10,800,37.10
2013-10-11,38.60,38.60,38.60,38.60,000,38.60
2013-10-10,37.00,38.60,36.60,38.60,11900,38.60
2013-10-09,38.50,38.50,36.60,37.00,2800,37.00
2013-10-08,37.30,39.90,36.60,38.50,15300,38.50
2013-10-07,37.00,38.00,37.00,37.50,7100,37.50
2013-10-04,36.80,37.70,36.80,37.60,6100,37.60
2013-10-03,37.50,38.00,36.50,38.00,22200,38.00
2013-10-02,40.00,40.00,37.50,38.00,1800,38.00
2013-10-01,39.90,39.90,38.60,39.50,600,39.50
2013-09-30,39.20,39.80,39.20,39.60,500,39.60
2013-09-27,39.20,39.20,38.50,39.20,700,39.20
2013-09-26,39.90,39.90,39.20,39.20,400,39.20
2013-09-25,39.50,39.90,39.00,39.90,1800,39.90
2013-09-24,40.00,40.00,40.00,40.00,000,40.00
2013-09-23,40.30,40.30,37.50,40.00,1100,40.00
2013-09-20,40.50,40.50,40.00,40.00,1300,40.00
2013-09-19,40.00,41.00,40.00,40.00,2800,40.00
2013-09-18,38.40,40.40,38.40,40.40,2400,40.40
2013-09-17,38.20,38.20,38.20,38.20,600,38.20
2013-09-16,40.00,40.00,37.00,38.20,12800,38.20
2013-09-13,39.80,40.00,39.80,40.00,4200,40.00
2013-09-12,38.00,40.00,38.00,40.00,7700,40.00
2013-09-11,37.10,38.00,37.00,38.00,1000,38.00
2013-09-10,36.90,38.00,36.60,38.00,2300,38.00
2013-09-09,36.90,37.70,36.90,37.70,800,37.70
2013-09-06,37.50,37.70,37.50,37.70,500,37.70
2013-09-05,38.50,38.50,38.50,38.50,000,38.50
2013-09-04,38.00,39.50,37.80,38.50,1800,38.50
2013-09-03,39.50,39.50,39.50,39.50,1100,39.50
2013-09-02,38.10,40.00,38.10,39.50,2000,39.50
2013-08-30,38.00,38.20,38.00,38.00,500,38.00
2013-08-29,38.50,38.60,38.50,38.60,900,38.60
2013-08-28,38.60,38.60,38.60,38.60,000,38.60
2013-08-27,39.10,39.10,36.00,38.60,900,38.60
2013-08-26,39.50,39.50,39.10,39.10,1600,39.10
2013-08-23,38.40,38.50,38.40,38.50,4000,38.50
2013-08-22,36.30,38.50,36.30,37.50,2500,37.50
2013-08-21,36.00,36.00,36.00,36.00,200,36.00
2013-08-20,35.70,36.50,35.70,36.30,1900,36.30
2013-08-19,36.00,36.50,35.90,36.50,2500,36.50
2013-08-16,36.20,37.00,36.20,37.00,500,37.00
2013-08-15,37.10,37.10,37.10,37.10,1300,37.10
2013-08-14,37.80,37.80,36.90,37.00,800,37.00
2013-08-13,36.60,37.90,35.40,37.90,5900,37.90
2013-08-12,40.20,40.20,36.00,37.00,12200,37.00
2013-08-09,41.00,41.00,40.20,41.00,400,41.00
2013-08-08,40.30,41.00,40.30,41.00,000,41.00
2013-08-07,41.50,41.50,40.00,40.50,1500,40.50
2013-08-06,40.60,42.00,40.00,42.00,22000,42.00
2013-08-05,41.50,41.50,41.50,41.50,100,41.50
2013-08-02,41.00,41.50,41.00,41.50,600,41.50
2013-08-01,40.30,42.90,40.00,41.20,3900,41.20
2013-07-31,41.10,41.10,40.30,41.00,27200,41.00
2013-07-30,40.00,43.50,40.00,41.60,28800,41.60
2013-07-29,40.50,40.50,40.50,40.50,000,40.50
2013-07-26,40.60,40.60,40.50,40.50,500,40.50
2013-07-25,40.50,40.50,40.50,40.50,000,40.50
2013-07-24,40.10,40.60,40.10,40.10,14800,40.10
2013-07-23,40.50,40.50,40.10,40.10,10000,40.10
2013-07-22,40.80,40.80,40.10,40.10,15000,40.10
2013-07-19,41.60,41.60,40.80,40.80,4600,40.80
2013-07-18,40.30,41.80,40.30,41.80,2900,41.80
2013-07-17,40.40,40.40,40.40,40.40,8000,40.40
2013-07-16,40.90,40.90,40.40,40.40,4300,40.40
2013-07-15,40.50,40.50,40.40,40.40,5900,40.40
2013-07-12,40.50,40.60,40.50,40.50,1400,40.50
2013-07-11,40.00,40.10,40.00,40.10,2100,40.10
2013-07-10,39.90,40.20,39.50,39.50,3400,39.50
2013-07-09,39.20,39.50,39.20,39.50,100,39.50
2013-07-08,39.20,39.90,39.20,39.20,600,39.20
2013-07-05,40.00,40.00,40.00,40.00,200,40.00
2013-07-04,40.60,40.60,40.00,40.00,300,40.00
2013-07-03,40.00,40.00,40.00,40.00,1100,40.00
2013-07-02,40.00,40.10,40.00,40.00,14600,40.00
2013-07-01,40.00,40.00,40.00,40.00,500,40.00
2013-06-28,40.00,40.00,40.00,40.00,3400,40.00
2013-06-27,40.00,40.00,40.00,40.00,1600,40.00
2013-06-26,39.70,41.00,39.70,40.00,2700,40.00
2013-06-25,38.00,39.00,38.00,39.00,43600,39.00
2013-06-24,38.00,38.00,37.30,37.50,4100,37.50
2013-06-21,38.00,38.00,38.00,38.00,000,38.00
2013-06-20,38.00,38.00,38.00,38.00,6400,38.00
2013-06-19,38.40,38.40,38.00,38.00,9800,38.00
2013-06-18,37.00,38.40,36.50,38.40,1900,38.40
2013-06-17,37.70,37.70,37.70,37.70,000,37.70
2013-06-14,37.70,37.70,37.70,37.70,300,37.70
2013-06-13,37.30,38.40,37.30,38.00,900,38.00
2013-06-12,38.00,38.00,38.00,38.00,1000,38.00
2013-06-11,36.00,38.20,35.40,38.00,3800,38.00
2013-06-10,37.40,37.40,35.00,37.40,900,37.40
2013-06-07,38.10,38.10,37.40,37.40,1400,37.40
2013-06-06,38.50,38.50,38.50,38.50,000,38.50
2013-06-05,38.50,38.50,38.50,38.50,3000,38.50
2013-06-04,38.00,38.00,38.00,38.00,000,38.00
2013-06-03,38.30,38.70,38.00,38.70,10000,38.70
2013-05-31,37.70,39.00,37.60,39.00,7900,39.00
2013-05-30,37.00,37.20,37.00,37.20,1700,37.20
2013-05-29,38.00,38.00,37.00,37.20,3300,37.20
2013-05-28,37.70,38.10,37.70,38.00,1500,38.00
2013-05-27,37.20,37.20,37.20,37.20,000,37.20
2013-05-24,36.90,37.20,36.90,37.20,4500,37.20
2013-05-23,36.40,36.40,36.00,36.20,9600,36.20
2013-05-22,37.20,37.40,36.40,37.40,1500,37.40
2013-05-21,37.20,37.20,37.20,37.20,000,37.20
2013-05-20,36.00,36.50,35.30,36.50,1900,36.50
2013-05-17,34.50,37.50,34.50,36.00,9800,36.00
2013-05-16,33.00,34.00,32.00,34.00,13800,34.00
2013-05-15,34.00,34.00,32.80,33.40,4100,33.40
2013-05-14,35.00,35.00,35.00,35.00,2300,35.00
2013-05-13,34.40,35.00,34.40,35.00,300,35.00
2013-05-10,35.20,35.20,34.40,34.40,1500,34.40
2013-05-09,36.00,36.00,36.00,36.00,000,36.00
2013-05-08,36.00,36.00,35.00,36.00,3500,36.00
2013-05-07,37.40,37.40,35.40,36.00,9300,36.00
2013-05-06,38.20,38.20,38.10,38.20,7100,38.20
2013-05-03,38.00,38.60,38.00,38.60,1900,38.60
2013-05-02,38.00,38.90,38.00,38.00,3100,38.00
2013-05-01,37.00,37.00,37.00,37.00,000,37.00
2013-04-30,37.00,37.00,37.00,37.00,000,37.00
2013-04-29,35.80,37.00,35.80,37.00,3500,37.00
2013-04-26,35.40,35.40,35.40,35.40,800,35.40
2013-04-25,34.70,35.40,34.10,35.40,1100,35.40
2013-04-24,35.40,35.50,34.40,35.40,7100,35.40
2013-04-23,35.00,35.80,34.20,35.80,3100,35.80
2013-04-22,35.00,35.80,35.00,35.50,2400,35.50
2013-04-19,35.60,35.70,35.00,35.00,19100,35.00
2013-04-18,36.80,36.80,35.40,36.00,1300,36.00
2013-04-17,37.50,37.50,36.80,36.80,500,36.80
2013-04-16,38.00,38.00,38.00,38.00,400,38.00
2013-04-15,38.60,38.60,38.00,38.00,300,38.00
2013-04-12,38.60,38.60,38.60,38.60,200,38.60
2013-04-11,38.60,38.60,38.00,38.00,1800,38.00
2013-04-10,38.80,38.80,38.60,38.60,4700,38.60
2013-04-09,39.20,39.20,38.90,39.00,6800,39.00
2013-04-08,38.00,38.70,38.00,38.50,5000,38.50
2013-04-05,37.20,38.70,37.20,38.00,5000,38.00
2013-04-04,38.00,38.50,37.10,38.00,7300,38.00
2013-04-03,38.80,38.80,38.20,38.20,800,38.20
2013-04-02,38.90,38.90,38.20,38.80,1000,38.80
2013-04-01,39.50,39.50,39.50,39.50,000,39.50
2013-03-29,39.50,39.50,39.50,39.50,000,39.50
2013-03-28,39.50,39.50,39.50,39.50,000,39.50
2013-03-27,39.50,39.50,39.50,39.50,000,39.50
2013-03-26,38.20,39.60,38.20,39.50,1200,39.50
2013-03-25,39.30,39.30,38.50,39.30,300,39.30
2013-03-22,39.00,39.30,38.60,39.30,1100,39.30
2013-03-21,38.70,39.00,38.70,39.00,800,39.00
2013-03-20,37.70,38.40,37.70,38.40,1200,38.40
2013-03-19,38.00,38.10,36.00,37.00,2200,37.00
2013-03-18,39.20,39.20,38.00,38.30,2300,38.30
2013-03-15,39.40,40.00,37.40,38.50,8700,38.50
2013-03-14,39.90,39.90,39.00,39.00,4700,39.00
2013-03-13,39.00,39.40,38.50,38.50,2600,38.50
2013-03-12,39.70,39.70,38.00,38.40,5400,38.40
2013-03-11,40.50,40.50,39.80,39.80,15600,39.80
2013-03-08,38.50,39.90,38.50,39.80,47100,39.80
2013-03-07,38.80,39.00,38.10,38.50,22300,38.50
2013-03-06,37.50,38.70,37.30,38.00,30800,38.00
2013-03-05,37.50,38.10,35.00,37.00,26300,37.00
2013-03-04,35.00,38.00,34.60,37.30,21800,37.30
2013-03-01,33.50,34.00,33.50,33.90,169800,33.90
2013-02-28,33.50,33.50,33.00,33.00,1200,33.00
2013-02-27,32.60,33.30,31.70,33.30,2200,33.30
2013-02-26,32.80,32.80,32.50,32.50,600,32.50
2013-02-25,32.80,33.20,32.00,32.40,10000,32.40
2013-02-22,32.80,32.80,32.30,32.30,1600,32.30
2013-02-21,32.50,33.00,32.50,32.50,3200,32.50
2013-02-20,32.80,32.80,31.70,32.20,5000,32.20
2013-02-19,33.40,33.40,31.50,32.00,4400,32.00
2013-02-18,32.00,32.50,31.80,32.00,1800,32.00
2013-02-15,31.90,32.00,31.60,31.60,1800,31.60
2013-02-14,32.60,32.60,31.90,31.90,2100,31.90
2013-02-13,33.70,33.70,32.10,33.00,3600,33.00
2013-02-12,34.00,34.00,31.90,33.80,15200,33.80
2013-02-11,34.40,34.40,33.80,34.00,19200,34.00
2013-02-08,34.00,34.40,34.00,34.40,9600,34.40
2013-02-07,33.80,34.00,33.60,34.00,10700,34.00
2013-02-06,33.80,33.90,33.50,33.60,3000,33.60
2013-02-05,34.00,34.00,33.70,33.70,1800,33.70
2013-02-04,33.80,34.50,33.40,33.40,10100,33.40
2013-02-01,33.40,33.70,33.00,33.00,13800,33.00
2013-01-31,33.50,33.50,33.00,33.50,2900,33.50
2013-01-30,33.40,33.60,33.40,33.40,1300,33.40
2013-01-29,33.00,33.00,32.40,32.40,900,32.40
2013-01-28,31.50,33.60,31.50,33.60,9900,33.60
2013-01-25,32.00,32.40,31.60,32.00,3100,32.00
2013-01-24,32.70,32.70,32.10,32.10,500,32.10
2013-01-23,32.70,32.90,32.70,32.70,2000,32.70
2013-01-22,33.80,33.80,32.50,33.00,3300,33.00
2013-01-21,33.00,33.60,33.00,33.50,2100,33.50
2013-01-18,31.60,33.00,31.50,33.00,15300,33.00
2013-01-17,32.40,32.40,32.40,32.40,1400,32.40
2013-01-16,33.20,33.20,32.30,32.30,3100,32.30
2013-01-15,33.00,34.00,32.30,32.30,3000,32.30
2013-01-14,33.00,33.00,32.00,32.00,300,32.00
2013-01-11,32.60,32.60,32.50,32.60,10000,32.60
2013-01-10,32.60,33.20,32.60,32.60,700,32.60
2013-01-09,32.00,33.20,32.00,32.60,9700,32.60
2013-01-08,32.80,33.00,32.00,32.00,18500,32.00
2013-01-07,31.40,32.70,31.40,32.30,2500,32.30
2013-01-04,32.00,32.00,31.40,31.50,2300,31.50
2013-01-03,32.50,32.50,32.00,32.00,400,32.00
2013-01-02,33.00,33.80,33.00,33.80,2600,33.80
2013-01-01,32.80,32.80,32.80,32.80,000,32.80
2012-12-31,32.80,32.80,32.80,32.80,000,32.80
2012-12-28,32.10,32.80,32.10,32.80,4200,32.80
2012-12-27,33.00,33.60,32.00,32.00,2200,32.00
2012-12-26,32.40,32.40,32.40,32.40,000,32.40
2012-12-25,32.40,32.40,32.40,32.40,000,32.40
2012-12-24,32.40,32.40,32.40,32.40,000,32.40
2012-12-21,32.00,32.40,32.00,32.40,100,32.40
2012-12-20,32.00,32.00,32.00,32.00,1100,32.00
2012-12-19,32.90,32.90,32.00,32.10,3600,32.10
2012-12-18,31.90,32.80,31.20,32.80,8100,32.80
2012-12-17,33.50,34.10,33.00,33.00,8400,33.00
2012-12-14,34.90,34.90,33.50,33.80,6400,33.80
2012-12-13,33.70,34.00,33.00,33.70,14000,33.70
2012-12-12,31.20,33.70,31.00,33.70,19500,33.70
2012-12-11,31.40,31.40,30.20,31.00,22500,31.00
2012-12-10,31.20,31.20,30.00,30.00,12200,30.00
2012-12-07,29.20,30.60,29.20,30.60,10200,30.60
2012-12-06,28.50,29.00,28.00,28.70,19900,28.70
2012-12-05,27.00,28.50,27.00,28.50,19800,28.50
2012-12-04,27.00,27.20,27.00,27.00,1800,27.00
2012-12-03,27.50,27.50,26.50,26.80,7900,26.80
2012-11-30,26.00,28.50,25.80,27.00,4900,27.00
2012-11-29,25.40,25.90,25.00,25.90,3900,25.90
2012-11-28,26.00,26.00,25.50,26.00,9400,26.00
2012-11-27,26.00,26.00,25.50,26.00,800,26.00
2012-11-26,25.90,26.10,25.50,26.10,4400,26.10
2012-11-23,26.90,26.90,25.90,25.90,2700,25.90
2012-11-22,26.20,27.30,26.20,26.40,12900,26.40
2012-11-21,27.00,27.00,25.70,25.70,2200,25.70
2012-11-20,27.50,27.50,27.00,27.00,3100,27.00
2012-11-19,27.90,28.00,27.40,27.40,5700,27.40
2012-11-16,28.00,28.10,26.80,27.10,16900,27.10
2012-11-15,24.10,27.10,24.10,26.50,58800,26.50
2012-11-14,27.00,27.00,23.50,23.50,7800,23.50
2012-11-13,23.60,24.80,23.60,24.00,7800,24.00
2012-11-12,24.10,24.10,24.00,24.00,12600,24.00
2012-11-09,24.20,24.50,24.10,24.50,13200,24.50
2012-11-08,24.00,24.20,23.60,24.20,14000,24.20
2012-11-07,23.20,24.20,23.10,24.00,3700,24.00
2012-11-06,23.90,24.20,23.20,23.50,2900,23.50
2012-11-05,23.80,24.20,23.50,24.00,10800,24.00
2012-11-02,23.90,24.00,23.00,23.00,11900,23.00
2012-11-01,22.50,23.60,20.10,23.30,15500,23.30
2012-10-31,22.30,23.30,22.30,22.80,6500,22.80
2012-10-30,24.00,24.00,22.00,22.50,16700,22.50
