Date,Open,High,Low,Close,Volume,Adj Close
2013-09-26,0.37,0.38,0.35,0.37,391900,0.37
2013-09-25,0.37,0.39,0.36,0.39,257000,0.39
2013-09-24,0.39,0.40,0.35,0.39,1082800,0.39
2013-09-23,0.42,0.42,0.38,0.39,1019900,0.39
2013-09-20,0.41,0.44,0.40,0.41,1989800,0.41
2013-09-19,0.43,0.48,0.42,0.45,1378600,0.45
2013-09-18,0.37,0.44,0.33,0.43,1054900,0.43
2013-09-17,0.42,0.42,0.36,0.40,588200,0.40
2013-09-16,0.48,0.48,0.31,0.43,1035500,0.43
2013-09-13,0.54,0.58,0.45,0.50,1351000,0.50
2013-09-12,0.64,0.71,0.50,0.51,4231100,0.51
2013-09-11,0.49,0.62,0.47,0.62,7006800,0.62
2013-09-10,0.29,0.49,0.29,0.47,2684800,0.47
2013-09-09,0.31,0.31,0.24,0.28,492900,0.28
2013-09-06,0.55,0.55,0.32,0.32,2085200,0.32
2013-09-05,0.20,0.94,0.20,0.50,3434200,0.50
2013-09-04,0.15,0.15,0.15,0.15,000,0.15
2013-09-03,0.15,0.15,0.15,0.15,000,0.15
2013-09-02,0.15,0.15,0.15,0.15,000,0.15
2013-08-30,0.15,0.15,0.15,0.15,000,0.15
2013-08-29,0.15,0.15,0.15,0.15,25000,0.15
2013-08-28,0.14,0.14,0.14,0.14,9200,0.14
2013-08-27,0.15,0.15,0.15,0.15,000,0.15
2013-08-26,0.15,0.15,0.15,0.15,000,0.15
2013-08-23,0.15,0.15,0.15,0.15,000,0.15
2013-08-22,0.15,0.15,0.15,0.15,000,0.15
2013-08-21,0.15,0.15,0.15,0.15,000,0.15
2013-08-20,0.12,0.15,0.12,0.15,10100,0.15
2013-08-19,0.12,0.12,0.12,0.12,000,0.12
2013-08-16,0.12,0.12,0.12,0.12,4200,0.12
2013-08-15,0.15,0.15,0.15,0.15,000,0.15
2013-08-14,0.15,0.15,0.15,0.15,000,0.15
2013-08-13,0.15,0.15,0.15,0.15,000,0.15
2013-08-12,0.15,0.15,0.15,0.15,000,0.15
2013-08-09,0.15,0.15,0.15,0.15,44500,0.15
2013-08-08,0.13,0.13,0.13,0.13,000,0.13
2013-08-07,0.13,0.13,0.13,0.13,000,0.13
2013-08-06,0.13,0.13,0.13,0.13,000,0.13
2013-08-05,0.13,0.13,0.13,0.13,000,0.13
2013-08-02,0.13,0.13,0.13,0.13,000,0.13
2013-08-01,0.13,0.13,0.13,0.13,000,0.13
2013-07-31,0.13,0.13,0.13,0.13,000,0.13
2013-07-30,0.13,0.13,0.13,0.13,000,0.13
2013-07-29,0.13,0.13,0.13,0.13,000,0.13
2013-07-26,0.13,0.13,0.13,0.13,000,0.13
2013-07-25,0.13,0.13,0.13,0.13,000,0.13
2013-07-24,0.13,0.13,0.13,0.13,000,0.13
2013-07-23,0.13,0.13,0.13,0.13,000,0.13
2013-07-22,0.14,0.14,0.13,0.13,50000,0.13
2013-07-19,0.11,0.11,0.11,0.11,000,0.11
2013-07-18,0.11,0.11,0.11,0.11,28000,0.11
2013-07-17,0.14,0.14,0.14,0.14,000,0.14
2013-07-16,0.14,0.14,0.14,0.14,000,0.14
2013-07-15,0.14,0.14,0.14,0.14,000,0.14
2013-07-12,0.14,0.14,0.14,0.14,000,0.14
2013-07-11,0.11,0.14,0.11,0.14,6000,0.14
2013-07-10,0.13,0.13,0.13,0.13,000,0.13
2013-07-09,0.13,0.13,0.13,0.13,000,0.13
2013-07-08,0.13,0.13,0.13,0.13,000,0.13
2013-07-05,0.13,0.13,0.13,0.13,60000,0.13
2013-07-04,2.80,2.80,2.80,2.80,000,2.80
2013-07-03,2.80,2.80,2.80,2.80,000,2.80
2013-07-02,2.80,2.80,2.80,2.80,000,2.80
2013-07-01,2.80,2.80,2.80,2.80,000,2.80
2013-06-28,2.80,2.80,2.80,2.80,000,2.80
2013-06-27,2.80,2.80,2.80,2.80,000,2.80
2013-06-26,2.80,2.80,2.80,2.80,000,2.80
2013-06-25,2.80,2.80,2.80,2.80,000,2.80
2013-06-24,2.80,2.80,2.80,2.80,000,2.80
2013-06-21,2.80,2.80,2.80,2.80,000,2.80
