Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,205.50,205.50,203.50,205.30,486400,198.09
2014-02-25,205.70,205.70,204.10,204.50,1038900,197.32
2014-02-21,212.20,212.45,202.50,205.40,2261600,198.18
2014-02-20,213.60,215.00,211.30,213.30,1470000,205.81
2014-02-19,206.50,215.50,205.50,214.30,3486200,206.77
2014-02-18,205.70,205.90,199.70,200.50,947900,193.46
2014-02-17,204.10,205.50,203.80,205.50,907800,198.28
2014-02-14,198.90,204.20,197.70,204.10,1486100,196.93
2014-02-13,197.20,200.20,195.50,198.80,1116400,191.82
2014-02-12,199.00,199.40,196.60,197.10,458700,190.18
2014-02-11,197.30,198.90,196.60,198.80,821100,191.82
2014-02-10,193.30,197.60,193.10,196.40,724200,189.50
2014-02-07,194.40,194.80,192.10,192.80,1030000,186.03
2014-02-06,191.00,193.80,188.70,193.70,1424200,186.90
2014-02-05,190.80,190.90,188.30,190.00,1030200,183.33
2014-02-04,191.40,192.00,189.70,190.30,768000,183.61
2014-02-03,191.80,195.00,191.30,191.50,889300,184.77
2014-01-31,192.40,195.20,189.40,192.00,1146100,185.26
2014-01-30,192.90,193.00,191.10,192.30,932900,185.54
2014-01-29,199.00,199.70,192.60,193.50,1502200,186.70
2014-01-28,197.50,198.90,195.70,198.40,1395300,191.43
2014-01-27,197.30,198.20,196.10,197.20,1062600,190.27
2014-01-24,201.00,201.00,197.10,197.50,1048800,190.56
2014-01-23,201.20,202.50,200.20,201.00,1323300,193.94
2014-01-22,196.80,202.90,196.80,201.40,1348500,194.32
2014-01-21,194.40,196.90,194.10,196.20,829500,189.31
2014-01-20,194.90,195.50,193.90,194.50,724100,187.67
2014-01-17,197.00,197.50,194.80,194.90,1380000,188.05
2014-01-16,194.00,197.10,193.40,197.00,962300,190.08
2014-01-15,195.80,196.30,193.10,194.00,1277000,187.18
2014-01-14,193.00,196.40,191.30,195.60,1706500,188.73
2014-01-13,192.00,195.00,191.90,194.20,1653500,187.38
2014-01-10,190.90,191.70,188.60,189.90,956300,183.23
2014-01-09,194.40,195.00,192.00,192.40,1490200,185.64
2014-01-08,196.60,198.10,192.50,194.40,1496100,187.57
2014-01-07,191.70,200.00,190.90,196.60,2255800,189.69
2014-01-06,208.00,208.00,208.00,208.00,000,200.69
2014-01-03,206.80,208.40,205.30,208.00,527000,200.69
2014-01-02,207.40,207.90,205.60,206.80,400800,199.54
2014-01-01,206.70,206.70,206.70,206.70,000,199.44
2013-12-31,206.70,206.70,206.70,206.70,000,199.44
2013-12-30,207.00,208.20,204.80,206.70,479000,199.44
2013-12-27,208.00,209.70,205.70,206.90,409900,199.63
2013-12-26,205.70,205.70,205.70,205.70,000,198.47
2013-12-25,205.70,205.70,205.70,205.70,000,198.47
2013-12-24,205.70,205.70,205.70,205.70,000,198.47
2013-12-23,205.00,206.20,202.60,205.70,589600,198.47
2013-12-20,202.60,206.70,201.30,204.80,1275000,197.61
2013-12-19,196.70,202.60,196.50,201.90,1049700,194.81
2013-12-18,196.90,197.40,195.20,195.40,670500,188.54
2013-12-17,197.30,197.60,195.00,196.00,409600,189.11
2013-12-16,195.00,197.00,191.60,196.90,611900,189.98
2013-12-13,199.80,199.80,193.60,195.00,920200,188.15
2013-12-12,201.70,202.00,199.00,199.00,564900,192.01
2013-12-11,200.50,203.90,200.10,202.50,726600,195.39
2013-12-10,200.30,201.40,198.00,200.60,804500,193.55
2013-12-09,202.40,202.50,199.70,200.30,561700,193.26
2013-12-06,200.50,202.90,199.30,202.30,766900,195.19
2013-12-05,201.00,203.60,199.70,199.90,1141500,192.88
2013-12-04,201.70,202.80,199.10,201.30,850900,194.23
2013-12-03,204.00,205.00,201.20,201.80,590400,194.71
2013-12-02,203.80,204.90,202.60,204.10,578600,196.93
2013-11-29,205.10,206.50,203.80,203.80,599300,196.64
2013-11-28,207.00,207.20,205.20,205.70,394600,198.47
2013-11-27,205.00,207.10,205.00,206.90,471300,199.63
2013-11-26,207.80,207.80,204.80,205.20,713300,197.99
2013-11-25,204.50,207.60,204.40,207.60,634500,200.31
2013-11-22,202.70,204.40,201.00,204.40,1119400,197.22
2013-11-21,207.10,207.10,202.60,203.10,926100,195.97
2013-11-20,210.50,210.70,204.70,206.80,1012900,199.54
2013-11-19,211.30,212.10,210.10,210.70,582400,203.30
2013-11-18,211.20,213.70,210.50,212.70,515100,205.23
2013-11-15,215.00,215.40,211.70,212.60,775800,205.13
2013-11-14,213.90,218.20,213.60,215.30,969600,207.74
2013-11-13,214.00,214.70,211.10,213.00,563000,205.52
2013-11-12,216.10,216.30,213.80,215.00,670900,207.45
2013-11-11,214.00,216.60,214.00,216.60,496200,208.99
2013-11-08,211.90,214.10,211.90,214.10,520900,206.58
2013-11-07,212.60,213.50,211.60,213.10,977000,205.61
2013-11-06,210.00,213.00,208.70,212.00,647000,204.55
2013-11-05,208.10,211.00,206.80,210.10,886500,202.72
2013-11-04,213.60,215.00,211.90,212.10,461100,204.65
2013-11-01,213.80,214.20,211.30,213.10,217700,205.61
2013-10-31,210.50,215.70,209.80,213.80,1111000,206.29
2013-10-30,212.60,215.30,207.30,210.50,1790000,203.11
2013-10-29,223.10,224.50,213.30,215.10,2766800,207.54
2013-10-28,229.60,230.70,227.30,229.40,369900,221.34
2013-10-25,223.00,230.50,221.40,229.70,681000,221.63
2013-10-24,223.00,226.00,223.00,225.90,311900,217.96
2013-10-23,226.10,226.60,222.60,223.10,547000,215.26
2013-10-22,221.20,225.30,221.20,225.10,577500,217.19
2013-10-21,220.10,224.30,220.10,222.80,568600,214.97
2013-10-18,219.40,221.00,218.70,220.40,726800,212.66
2013-10-17,222.40,223.70,216.80,218.70,1074200,211.02
2013-10-16,224.10,224.10,220.40,223.80,569400,215.94
2013-10-15,225.30,227.70,223.40,224.30,815300,216.42
2013-10-14,222.40,226.00,222.30,224.30,813200,216.42
2013-10-11,223.10,223.90,217.30,221.30,2811300,213.53
2013-10-10,231.10,232.00,228.30,230.90,606000,222.79
2013-10-09,234.20,234.20,230.20,230.90,559100,222.79
2013-10-08,228.10,234.10,227.50,233.80,1612500,225.59
2013-10-07,224.60,225.00,222.30,224.40,633300,216.52
2013-10-04,224.00,225.10,222.60,224.60,520200,216.71
2013-10-03,221.80,224.90,221.00,223.80,457700,215.94
2013-10-02,225.00,225.60,220.10,221.00,813600,213.24
2013-10-01,226.20,226.50,224.10,225.70,392100,217.77
2013-09-30,229.20,229.50,226.10,226.80,602300,218.83
2013-09-27,231.10,232.40,230.70,230.80,368000,222.69
2013-09-26,230.00,232.80,229.00,231.50,492800,223.37
2013-09-25,231.90,232.00,229.60,229.60,596700,221.53
2013-09-24,232.80,234.90,231.50,231.60,505600,223.46
2013-09-23,233.50,234.30,231.80,233.10,336200,224.91
2013-09-20,232.30,235.20,231.70,233.90,593300,225.68
2013-09-19,232.10,233.20,230.20,232.30,662500,224.14
2013-09-18,233.90,233.90,230.10,230.90,703200,222.79
2013-09-17,233.50,235.70,233.00,233.10,643100,224.91
2013-09-16,235.40,235.40,233.90,234.80,739900,226.55
2013-09-13,235.80,236.40,233.70,234.30,345500,226.07
2013-09-12,237.00,237.90,235.60,235.80,362700,227.52
2013-09-11,237.40,237.70,236.10,237.50,330600,229.16
2013-09-10,236.20,238.40,235.80,237.50,357200,229.16
2013-09-09,236.90,237.90,233.20,233.80,401600,225.59
2013-09-06,236.80,238.30,235.00,236.80,679600,228.48
2013-09-05,236.50,238.40,236.20,236.80,527800,228.48
2013-09-04,236.70,237.50,235.30,236.40,701000,228.10
