Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,21.30,21.30,20.40,20.50,119600,20.36
2014-02-25,21.10,21.30,21.10,21.20,77100,21.06
2014-02-24,21.60,21.70,21.10,21.10,113700,20.96
2014-02-21,21.30,21.90,20.90,21.60,274000,21.45
2014-02-20,19.30,21.40,19.10,20.70,1757200,20.56
2014-02-19,19.50,19.60,19.00,19.30,251900,19.17
2014-02-18,18.80,19.00,18.80,18.90,87300,18.77
2014-02-17,19.00,19.20,18.90,18.90,62100,18.77
2014-02-14,18.80,18.80,18.60,18.60,63000,18.47
2014-02-13,18.90,18.90,18.40,18.80,120500,18.67
2014-02-12,19.50,19.70,18.90,18.90,38600,18.77
2014-02-11,18.50,19.00,18.40,18.90,29000,18.77
2014-02-10,18.50,18.50,18.20,18.50,33300,18.37
2014-02-07,18.60,18.60,18.50,18.50,6800,18.37
2014-02-06,18.40,18.70,18.30,18.70,6400,18.57
2014-02-05,18.20,18.70,18.20,18.40,12700,18.27
2014-02-04,18.70,18.70,18.00,18.50,24600,18.37
2014-02-03,18.90,19.00,18.50,18.50,84600,18.37
2014-01-31,19.50,19.70,19.00,19.00,14300,18.87
2014-01-30,19.10,19.20,19.00,19.00,7600,18.87
2014-01-29,19.80,19.80,19.30,19.30,8400,19.17
2014-01-28,20.10,20.10,19.30,19.40,11900,19.27
2014-01-27,19.30,19.30,19.00,19.20,9400,19.07
2014-01-24,19.70,19.90,19.10,19.30,63500,19.17
2014-01-23,19.60,19.80,19.50,19.70,25300,19.57
2014-01-22,19.80,20.00,19.70,19.80,44700,19.66
2014-01-21,19.70,19.90,19.50,19.70,47800,19.57
2014-01-20,19.10,19.70,19.10,19.50,94500,19.37
2014-01-17,19.40,19.60,19.10,19.30,227700,19.17
2014-01-16,19.70,19.70,19.40,19.50,32700,19.37
2014-01-15,20.00,20.30,19.50,19.50,67500,19.37
2014-01-14,20.00,20.00,19.70,20.00,22400,19.86
2014-01-13,20.00,20.20,20.00,20.00,21800,19.86
2014-01-10,20.30,20.40,19.70,20.40,60600,20.26
2014-01-09,20.20,20.50,20.20,20.40,7200,20.26
2014-01-08,20.30,20.50,20.20,20.20,13900,20.06
2014-01-07,20.30,20.50,20.20,20.50,10700,20.36
2014-01-06,20.30,20.30,20.30,20.30,000,20.16
2014-01-03,20.60,20.80,20.00,20.30,32300,20.16
2014-01-02,20.70,21.00,19.90,21.00,15500,20.86
2014-01-01,21.40,21.40,21.40,21.40,000,21.25
2013-12-31,21.40,21.40,21.40,21.40,000,21.25
2013-12-30,21.10,21.50,20.50,21.40,46800,21.25
2013-12-27,21.40,21.40,20.60,21.10,172700,20.96
2013-12-26,21.20,21.20,21.20,21.20,000,21.06
2013-12-25,21.20,21.20,21.20,21.20,000,21.06
2013-12-24,21.20,21.20,21.20,21.20,000,21.06
