Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,50.15,50.25,49.79,50.05,8748800,46.96
2014-02-25,50.25,50.30,49.85,50.15,13280400,47.05
2014-02-24,49.65,50.35,49.36,50.25,11984500,47.15
2014-02-21,49.53,50.10,49.49,49.70,11834200,46.63
2014-02-20,49.24,49.48,49.11,49.41,8529400,46.36
2014-02-19,49.27,49.62,49.04,49.50,9106200,46.44
2014-02-18,49.46,49.51,48.95,49.21,10728600,46.17
2014-02-17,49.31,49.56,49.22,49.31,5969000,46.26
2014-02-14,49.04,49.29,48.87,49.10,5723400,46.07
2014-02-13,48.93,49.18,48.53,49.00,9472000,45.97
2014-02-12,49.19,49.24,48.85,48.86,10876200,45.84
2014-02-11,49.70,49.70,48.52,49.13,17873000,46.10
2014-02-10,49.84,50.15,49.50,49.80,8431300,46.72
2014-02-07,48.81,49.85,48.44,49.55,18600600,46.49
2014-02-06,48.39,48.72,47.84,48.47,15463800,45.48
2014-02-05,47.87,48.39,47.51,48.35,10916300,45.36
2014-02-04,48.20,48.47,47.72,47.88,10602400,44.92
2014-02-03,48.61,48.80,48.27,48.31,10431600,45.33
2014-01-31,48.83,49.01,48.10,48.61,14931500,45.61
2014-01-30,48.74,48.85,47.85,48.77,24317600,45.76
2014-01-29,50.25,50.85,49.67,50.15,12194100,47.05
2014-01-28,51.00,51.10,49.83,50.05,10215000,46.96
2014-01-27,51.55,51.55,50.50,50.95,9329500,47.80
2014-01-24,52.20,52.45,51.25,51.45,7640500,48.27
2014-01-23,52.75,52.90,51.90,52.15,9114500,48.93
2014-01-22,52.85,53.15,52.65,52.85,6766100,49.59
2014-01-21,52.95,53.05,52.60,52.90,8843000,49.63
2014-01-20,52.45,52.95,52.45,52.70,6948000,49.44
2014-01-17,52.40,52.80,52.35,52.50,7826600,49.26
2014-01-16,52.50,52.85,52.25,52.45,6362600,49.21
2014-01-15,52.75,53.20,52.60,53.05,6782700,49.77
2014-01-14,52.40,52.75,52.00,52.70,7296000,49.44
2014-01-13,52.85,52.95,52.60,52.60,5308600,49.35
2014-01-10,53.05,53.15,52.55,52.85,6837200,49.59
2014-01-09,52.50,53.05,52.35,52.85,7520500,49.59
2014-01-08,53.00,53.05,52.40,52.50,7285800,49.26
2014-01-07,53.15,53.20,52.70,52.85,7341200,49.59
2014-01-06,52.95,52.95,52.95,52.95,000,49.68
2014-01-03,52.85,53.30,52.80,52.95,5059400,49.68
2014-01-02,53.50,53.55,52.65,52.95,7290400,49.68
2014-01-01,53.55,53.55,53.55,53.55,000,50.24
2013-12-31,53.55,53.55,53.55,53.55,000,50.24
2013-12-30,53.60,53.80,53.20,53.55,6604200,50.24
2013-12-27,53.55,53.85,53.45,53.70,3646800,50.38
2013-12-26,53.20,53.20,53.20,53.20,000,49.91
2013-12-25,53.20,53.20,53.20,53.20,000,49.91
2013-12-24,53.20,53.20,53.20,53.20,000,49.91
2013-12-23,53.10,53.40,53.00,53.20,7352000,49.91
2013-12-20,52.55,53.25,52.30,53.15,11230700,49.87
2013-12-19,52.00,52.55,51.55,52.55,9671100,49.30
2013-12-18,51.00,51.55,50.95,51.55,11030400,48.37
2013-12-17,50.80,51.45,50.75,50.80,7285600,47.66
2013-12-16,50.40,50.85,50.15,50.80,7038100,47.66
2013-12-13,50.10,50.50,50.05,50.35,10722100,47.24
2013-12-12,50.60,50.90,50.25,50.45,7329000,47.33
2013-12-11,50.60,51.20,50.50,50.90,10079100,47.76
2013-12-10,50.65,51.05,50.30,50.75,10691200,47.62
2013-12-09,51.30,51.65,51.15,51.45,9349900,48.27
2013-12-06,51.35,51.50,50.70,51.40,9276700,48.23
2013-12-05,51.60,52.00,51.25,51.30,6796200,48.13
2013-12-04,52.25,52.35,51.20,51.65,9651700,48.46
2013-12-03,53.25,53.35,52.05,52.20,8930800,48.98
2013-12-02,53.45,53.50,52.95,53.25,7594600,49.96
2013-11-29,53.50,53.55,52.80,53.55,18522200,50.24
2013-11-28,54.40,54.55,54.35,54.45,2891700,51.09
2013-11-27,54.80,54.80,54.25,54.50,4383400,51.13
2013-11-26,54.65,54.90,54.35,54.70,4258300,51.32
2013-11-25,54.45,54.65,54.25,54.65,3535300,51.27
2013-11-22,54.25,54.50,54.10,54.35,4080200,50.99
2013-11-21,53.70,54.30,53.35,54.25,3968000,50.90
2013-11-20,54.35,54.50,53.90,54.10,4140500,50.76
2013-11-19,54.45,54.65,54.30,54.45,3697200,51.09
2013-11-18,54.20,54.75,54.10,54.75,7750000,51.37
2013-11-15,54.00,54.45,53.90,54.25,5367600,50.90
2013-11-14,53.55,54.05,53.50,54.05,5210000,50.71
2013-11-13,53.20,53.80,53.10,53.35,5534100,50.05
2013-11-12,53.65,53.65,53.05,53.35,5058800,50.05
2013-11-11,53.20,53.50,53.00,53.45,2662300,50.15
2013-11-08,53.10,53.50,52.70,53.20,4300300,49.91
2013-11-07,53.15,53.80,53.15,53.45,4586500,50.15
2013-11-06,53.40,53.85,53.05,53.30,5495200,50.01
2013-11-05,54.05,54.05,53.45,53.55,7915800,50.24
2013-11-04,54.05,54.25,53.60,53.85,3495700,50.52
2013-11-01,53.65,54.00,53.45,53.95,1950500,50.62
2013-10-31,54.05,54.20,53.40,53.70,5746700,50.38
2013-10-30,54.30,54.40,53.85,54.00,4800700,50.66
2013-10-29,54.00,54.50,54.00,54.30,6333600,50.95
2013-10-28,53.60,54.45,53.35,54.15,6071300,50.81
2013-10-25,53.00,53.75,52.70,53.50,7854500,50.20
2013-10-24,52.20,53.20,52.10,53.05,6791100,49.77
2013-10-23,52.75,52.85,52.30,52.45,7441700,49.21
2013-10-22,53.00,53.20,52.35,52.85,8795900,49.59
2013-10-21,52.90,53.35,52.70,53.30,6855800,50.01
2013-10-18,52.80,53.20,52.35,52.80,10670400,49.54
2013-10-17,50.60,52.50,50.50,52.45,19623200,49.21
2013-10-16,49.21,49.71,48.96,49.56,6129800,46.50
2013-10-15,49.20,49.41,48.97,49.11,6500200,46.08
2013-10-14,48.79,49.54,48.79,49.00,5447300,45.97
2013-10-11,48.85,49.08,48.76,48.96,5221700,45.94
2013-10-10,48.46,48.80,48.39,48.78,6206200,45.77
2013-10-09,47.86,48.46,47.67,48.15,6818400,45.18
2013-10-08,48.15,48.41,47.92,47.99,7010200,45.03
2013-10-07,48.14,48.25,47.90,48.11,5673700,45.14
2013-10-04,48.42,48.71,48.25,48.27,6168800,45.29
2013-10-03,48.75,48.87,48.36,48.42,9725000,45.43
2013-10-02,48.80,48.96,48.51,48.65,5995800,45.65
2013-10-01,49.20,49.21,48.66,49.04,6661900,46.01
2013-09-30,49.00,49.29,48.76,49.24,10115200,46.20
2013-09-27,49.48,49.66,49.35,49.53,5023200,46.47
2013-09-26,49.23,49.67,49.03,49.55,7275000,46.49
2013-09-25,49.31,49.33,49.05,49.21,9994900,46.17
2013-09-24,48.90,49.26,48.85,49.26,7781500,46.22
2013-09-23,48.65,49.12,48.62,48.87,11125100,45.85
2013-09-20,48.39,48.81,48.30,48.65,9379700,45.65
2013-09-19,48.72,48.73,48.21,48.41,7122900,45.42
