Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,105.00,108.00,104.50,108.00,16000,106.17
2014-02-25,103.75,105.25,103.25,105.25,55600,103.47
2014-02-24,103.25,104.25,103.25,103.75,58000,102.00
2014-02-21,102.75,102.75,102.00,102.50,28800,100.77
2014-02-20,101.75,102.50,101.75,102.50,10600,100.77
2014-02-19,102.75,103.50,101.50,102.00,19800,100.28
2014-02-18,103.25,103.50,102.25,102.50,21700,100.77
2014-02-17,101.50,104.00,101.50,102.50,33200,100.77
2014-02-14,100.50,100.50,99.50,99.75,45100,98.06
2014-02-13,97.25,98.50,97.25,98.00,63300,96.34
2014-02-12,99.00,99.00,97.00,97.00,10100,95.36
2014-02-11,97.50,98.25,97.00,98.00,73000,96.34
2014-02-10,98.25,99.75,97.50,97.50,14200,95.85
2014-02-07,100.00,100.00,97.00,97.50,8300,95.85
2014-02-06,97.50,98.00,97.00,97.00,8000,95.36
2014-02-05,99.50,100.50,97.50,97.50,31500,95.85
2014-02-04,99.50,99.50,95.75,99.25,10700,97.57
2014-02-03,100.00,101.50,99.00,99.25,8300,97.57
2014-01-31,98.75,101.00,98.00,100.25,11200,98.56
2014-01-30,98.00,98.00,96.50,97.25,7000,95.61
2014-01-29,96.00,99.00,96.00,97.75,16200,96.10
2014-01-28,95.75,98.00,93.75,95.75,26100,94.13
2014-01-27,97.75,97.75,95.00,95.00,25500,93.39
2014-01-24,98.25,99.00,96.25,97.25,20300,95.61
2014-01-23,99.75,100.00,97.50,98.25,53700,96.59
2014-01-22,99.50,100.00,98.50,99.00,8700,97.33
2014-01-21,101.50,101.50,98.50,99.50,66200,97.82
2014-01-20,105.00,105.00,102.00,102.00,16000,100.28
2014-01-17,104.25,105.00,103.25,105.00,48900,103.23
2014-01-16,104.50,105.50,103.00,104.25,30500,102.49
2014-01-15,107.50,107.75,100.50,105.25,215800,103.47
2014-01-14,109.75,109.75,106.25,108.50,125300,106.67
2014-01-13,113.50,113.75,112.75,113.50,135500,111.58
2014-01-10,112.50,113.25,111.00,112.50,11000,110.60
2014-01-09,114.50,114.50,111.00,112.00,7100,110.11
2014-01-08,115.00,115.00,113.00,114.00,5500,112.07
2014-01-07,113.25,114.00,113.00,113.50,3900,111.58
2014-01-06,113.00,113.00,113.00,113.00,000,111.09
2014-01-03,113.75,115.00,113.00,113.00,6100,111.09
2014-01-02,115.00,115.75,114.00,114.00,2600,112.07
2014-01-01,114.50,114.50,114.50,114.50,000,112.56
2013-12-31,114.50,114.50,114.50,114.50,000,112.56
2013-12-30,113.00,115.75,113.00,114.50,20800,112.56
2013-12-27,112.75,113.75,110.00,113.75,10000,111.83
2013-12-26,112.50,112.50,112.50,112.50,000,110.60
2013-12-25,112.50,112.50,112.50,112.50,000,110.60
2013-12-24,112.50,112.50,112.50,112.50,000,110.60
2013-12-23,113.00,113.75,110.50,112.50,4700,110.60
2013-12-20,110.25,112.50,109.00,112.25,21900,110.35
2013-12-19,108.25,111.00,108.25,110.25,10800,108.39
2013-12-18,109.50,112.00,107.75,108.25,56000,106.42
2013-12-17,110.00,110.00,108.25,108.25,9900,106.42
2013-12-16,109.50,110.75,109.50,110.50,20500,108.63
2013-12-13,110.00,110.25,109.00,110.00,3300,108.14
2013-12-12,112.25,112.25,109.00,109.00,233500,107.16
2013-12-11,110.50,110.75,110.00,110.00,3900,108.14
2013-12-10,110.00,111.00,110.00,110.50,95700,108.63
2013-12-09,109.00,112.25,109.00,110.00,22200,108.14
2013-12-06,108.00,109.75,107.00,109.00,8600,107.16
2013-12-05,107.00,107.00,104.25,105.75,6000,103.96
2013-12-04,107.00,108.50,105.25,105.25,6100,103.47
2013-12-03,107.50,107.75,105.50,107.50,3100,105.68
2013-12-02,107.75,108.00,106.00,107.75,4500,105.93
2013-11-29,106.50,107.75,106.00,107.75,27800,105.93
2013-11-28,105.00,107.00,105.00,107.00,900,105.19
2013-11-27,106.00,107.00,105.00,105.75,15500,103.96
2013-11-26,104.50,106.00,103.75,105.25,11100,103.47
2013-11-25,105.00,106.50,102.00,104.25,11700,102.49
2013-11-22,104.75,106.00,104.75,106.00,3900,104.21
2013-11-21,104.50,105.00,102.75,104.75,14200,102.98
2013-11-20,104.50,105.25,104.00,104.75,4000,102.98
2013-11-19,107.25,107.50,104.00,105.25,35200,103.47
2013-11-18,104.00,107.50,104.00,107.50,7400,105.68
2013-11-15,105.75,105.75,104.25,104.50,15000,102.73
2013-11-14,102.25,106.00,102.25,105.75,25400,103.96
2013-11-13,103.75,103.75,101.50,102.00,15000,100.28
2013-11-12,107.25,107.25,103.50,104.00,10800,102.24
2013-11-11,107.00,107.75,106.00,107.50,9700,105.68
2013-11-08,104.25,107.50,104.25,106.50,4900,104.70
2013-11-07,107.50,107.50,103.00,105.00,45800,103.23
2013-11-06,108.00,108.00,103.75,105.00,9400,103.23
2013-11-05,106.25,107.25,102.50,104.75,16300,102.98
2013-11-04,107.00,107.00,104.75,106.75,9800,104.95
2013-11-01,107.75,109.00,107.00,107.00,18200,105.19
2013-10-31,106.00,107.75,104.25,107.25,8700,105.44
2013-10-30,102.50,107.50,102.50,106.00,14200,104.21
2013-10-29,102.75,102.75,100.00,102.50,152900,100.77
2013-10-28,107.00,107.00,100.00,102.75,28000,101.01
2013-10-25,106.00,106.75,104.50,105.75,17200,103.96
2013-10-24,105.25,107.00,105.00,105.00,134000,103.23
2013-10-23,113.00,113.00,103.50,105.25,261000,103.47
2013-10-22,115.50,117.00,114.00,114.25,19300,112.32
2013-10-21,116.00,117.75,115.00,115.50,11300,113.55
2013-10-18,115.00,116.75,114.50,115.25,9700,113.30
2013-10-17,116.00,116.25,114.00,115.25,8000,113.30
2013-10-16,115.00,116.00,112.00,116.00,13000,114.04
2013-10-15,114.00,116.75,114.00,115.00,5500,113.06
2013-10-14,114.00,114.50,110.50,114.00,4600,112.07
2013-10-11,118.00,121.75,113.50,113.75,17900,111.83
2013-10-10,112.75,117.75,112.75,116.75,9500,114.78
2013-10-09,118.00,118.75,107.00,112.00,94700,110.11
2013-10-08,119.00,121.75,117.25,118.50,141500,116.50
2013-10-07,109.25,116.00,109.25,116.00,57600,114.04
