Date,Open,High,Low,Close,Volume,Adj Close
2013-09-05,0.60,0.60,0.60,0.60,000,0.60
2013-09-04,0.62,0.68,0.58,0.60,10900,0.60
2013-09-03,0.62,0.62,0.56,0.62,233700,0.62
2013-09-02,0.59,0.59,0.55,0.57,103500,0.57
2013-08-30,0.50,0.57,0.45,0.57,384500,0.57
2013-08-29,0.47,0.53,0.47,0.50,37000,0.50
2013-08-28,0.48,0.48,0.25,0.45,186000,0.45
2013-08-27,0.50,0.62,0.48,0.62,121000,0.62
2013-08-26,0.50,0.56,0.43,0.56,34600,0.56
2013-08-23,0.51,0.51,0.51,0.51,4800,0.51
2013-08-22,0.53,0.53,0.53,0.53,1300,0.53
2013-08-21,0.53,0.58,0.50,0.58,51200,0.58
2013-08-20,0.55,0.59,0.51,0.59,45000,0.59
2013-08-19,0.55,0.55,0.55,0.55,100000,0.55
2013-08-16,0.55,0.67,0.50,0.59,102300,0.59
2013-08-15,0.55,0.67,0.53,0.60,38900,0.60
2013-08-14,0.58,0.59,0.58,0.59,10000,0.59
2013-08-13,0.59,0.67,0.59,0.59,8200,0.59
2013-08-12,0.59,0.59,0.59,0.59,3000,0.59
2013-08-09,0.60,0.65,0.60,0.65,24900,0.65
2013-08-08,0.60,0.60,0.60,0.60,000,0.60
2013-08-07,0.60,0.60,0.60,0.60,000,0.60
2013-08-06,0.60,0.63,0.55,0.60,92000,0.60
