Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,30.80,30.80,30.20,30.20,11100,30.20
2014-02-25,30.60,30.60,30.20,30.30,5500,30.30
2014-02-21,30.20,30.20,29.90,30.20,16200,30.20
2014-02-20,30.70,30.70,30.00,30.00,16300,30.00
2014-02-19,30.70,30.70,30.20,30.40,13100,30.40
2014-02-18,30.10,30.50,30.00,30.20,31500,30.20
2014-02-17,30.00,30.50,30.00,30.40,9900,30.40
2014-02-14,29.80,30.00,29.20,30.00,14300,30.00
2014-02-13,30.50,30.50,28.90,29.80,42300,29.80
2014-02-12,31.20,31.20,26.90,30.00,46500,30.00
2014-02-11,31.20,31.60,29.50,29.90,85800,29.90
2014-02-10,30.10,30.70,30.10,30.60,30700,30.60
2014-02-07,30.00,30.20,29.50,29.90,43300,29.90
2014-02-06,29.30,30.00,29.10,29.90,18600,29.90
2014-02-05,29.20,29.60,29.20,29.30,9800,29.30
2014-02-04,30.10,30.10,29.00,29.10,76300,29.10
2014-02-03,30.20,30.50,30.20,30.20,22300,30.20
2014-01-31,30.70,31.00,30.20,30.30,12400,30.30
2014-01-30,31.00,31.00,30.30,30.30,13100,30.30
2014-01-29,30.70,31.00,30.50,30.80,18700,30.80
2014-01-28,31.00,31.40,30.50,30.60,28700,30.60
2014-01-27,31.50,31.50,30.30,30.50,39300,30.50
2014-01-24,31.90,31.90,31.40,31.80,26700,31.80
2014-01-23,32.10,32.30,31.50,31.90,19800,31.90
2014-01-22,32.50,32.50,32.10,32.10,18300,32.10
2014-01-21,32.10,32.50,31.80,32.50,29400,32.50
2014-01-20,32.40,32.40,31.50,32.00,30600,32.00
2014-01-17,31.00,33.00,30.20,32.00,130200,32.00
2014-01-16,30.90,31.70,29.60,31.00,67200,30.75
2014-01-15,30.80,31.50,30.40,30.50,22800,30.25
2014-01-14,30.50,30.90,30.00,30.80,49000,30.55
2014-01-13,33.30,33.30,30.80,31.00,115600,30.75
2014-01-10,32.50,33.00,32.40,33.00,19100,32.73
2014-01-09,32.50,32.80,32.10,32.40,16200,32.14
2014-01-08,32.90,33.20,32.00,32.80,68000,32.54
2014-01-07,33.00,33.60,32.00,32.40,114800,32.14
2014-01-06,33.10,33.10,33.10,33.10,000,32.83
2014-01-03,32.70,33.10,32.50,33.10,19600,32.83
2014-01-02,33.80,34.40,32.70,32.90,12200,32.63
2014-01-01,33.50,33.50,33.50,33.50,000,33.23
2013-12-31,33.50,33.50,33.50,33.50,000,33.23
2013-12-30,33.50,34.00,32.50,33.50,65700,33.23
2013-12-27,32.60,35.00,32.60,33.60,45500,33.33
2013-12-26,33.50,33.50,33.50,33.50,000,33.23
2013-12-25,33.50,33.50,33.50,33.50,000,33.23
2013-12-24,33.50,33.50,33.50,33.50,000,33.23
2013-12-23,33.00,33.50,32.20,33.50,42300,33.23
2013-12-20,32.90,33.50,32.30,33.50,54700,33.23
2013-12-19,32.70,33.50,32.70,33.20,23600,32.93
2013-12-18,33.00,33.80,32.30,33.30,17300,33.03
2013-12-17,33.30,33.60,33.00,33.00,30000,32.73
2013-12-16,32.40,33.80,32.20,33.80,21600,33.53
2013-12-13,32.70,34.40,32.70,32.70,19600,32.44
2013-12-12,34.60,34.60,31.80,33.10,43700,32.83
2013-12-11,34.10,34.60,33.00,34.60,34700,34.32
2013-12-10,35.50,35.70,33.30,34.60,46500,34.32
2013-12-09,36.30,36.40,35.50,35.50,29300,35.21
2013-12-06,36.80,36.90,36.10,36.40,19700,36.11
2013-12-05,36.80,37.20,36.70,36.70,7400,36.40
2013-12-04,37.50,37.50,36.70,36.80,5600,36.50
2013-12-03,37.50,37.60,36.90,37.00,9200,36.70
2013-12-02,37.10,38.40,37.00,37.50,11100,37.20
2013-11-29,36.90,37.50,36.60,37.50,1700,37.20
2013-11-28,36.20,37.50,36.20,36.90,17300,36.60
2013-11-27,36.30,37.00,35.50,36.10,22700,35.81
2013-11-26,36.70,36.70,35.70,36.20,17400,35.91
2013-11-25,36.40,37.00,36.10,36.50,22800,36.21
2013-11-22,36.20,36.90,36.00,36.40,9400,36.11
2013-11-21,36.80,36.80,35.60,36.00,15600,35.71
2013-11-20,37.40,37.40,35.30,36.80,10900,36.50
2013-11-19,37.80,38.00,37.50,37.50,26900,37.20
2013-11-18,37.80,38.50,37.60,38.00,10300,37.69
2013-11-15,38.30,38.30,37.50,38.20,6300,37.89
2013-11-14,37.80,38.00,37.10,38.00,9600,37.69
2013-11-13,38.30,39.00,37.70,37.80,25900,37.50
2013-11-12,39.90,39.90,38.00,38.30,26300,37.99
2013-11-11,40.70,40.70,39.50,40.00,13700,39.68
2013-11-08,41.00,41.00,39.50,39.70,21800,39.38
2013-11-07,41.00,41.00,40.80,41.00,4700,40.67
2013-11-06,41.80,41.80,40.80,40.80,16000,40.47
2013-11-05,41.40,41.80,40.70,41.80,14700,41.46
2013-11-04,41.50,41.50,40.60,41.40,11500,41.07
2013-11-01,41.50,41.50,40.20,41.00,5300,40.67
2013-10-31,42.00,42.00,40.80,41.10,21200,40.77
2013-10-30,42.00,42.30,41.80,42.00,17900,41.66
2013-10-29,41.20,42.00,40.70,41.50,24600,41.17
2013-10-28,41.30,41.50,40.00,40.70,78800,40.37
2013-10-25,40.10,40.10,39.20,40.00,38500,39.68
2013-10-24,39.70,40.30,39.30,39.30,58400,38.98
2013-10-23,38.80,40.30,38.70,39.70,115400,39.38
2013-10-22,38.20,38.20,37.50,37.50,4300,37.20
2013-10-21,37.50,38.40,37.00,38.20,14900,37.89
2013-10-18,38.40,38.40,37.90,38.40,33300,38.09
2013-10-17,38.50,39.00,38.30,38.30,11600,37.99
2013-10-16,38.80,38.80,38.20,38.20,13900,37.89
2013-10-15,38.60,39.00,38.50,39.00,9500,38.69
2013-10-14,38.90,40.00,38.50,38.50,20400,38.19
2013-10-11,38.00,39.20,36.50,38.90,210200,38.59
2013-10-10,43.50,44.00,37.50,38.10,143100,37.79
2013-10-09,43.50,43.80,43.00,43.00,26600,42.65
2013-10-08,43.00,44.70,43.00,43.50,26900,43.15
2013-10-07,43.20,43.70,43.00,43.00,9000,42.65
2013-10-04,44.00,44.00,43.00,43.00,9900,42.65
2013-10-03,43.10,44.00,43.10,43.80,5000,43.45
2013-10-02,44.00,44.00,43.00,43.90,11800,43.55
2013-10-01,45.00,45.00,43.80,43.80,13700,43.45
2013-09-30,44.50,45.50,43.90,44.80,22200,44.44
2013-09-27,45.40,45.40,44.50,44.50,3600,44.14
2013-09-26,44.50,45.00,44.40,44.70,3400,44.34
2013-09-25,44.50,44.60,44.50,44.60,2400,44.24
2013-09-24,45.00,45.50,44.80,45.00,9900,44.64
2013-09-23,45.50,45.80,45.00,45.00,22800,44.64
2013-09-20,46.90,47.00,45.50,45.50,17700,45.13
2013-09-19,44.10,46.40,43.00,46.00,54400,45.63
