Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,3.53,3.60,3.46,3.58,51800,3.58
2014-02-25,3.49,3.77,3.47,3.52,115100,3.52
2014-02-24,3.40,3.60,3.26,3.49,101200,3.49
2014-02-21,3.36,3.54,3.01,3.37,278300,3.37
2014-02-20,3.79,3.79,3.31,3.42,429300,3.42
2014-02-19,3.78,3.85,3.00,3.49,521200,3.49
2014-02-18,3.87,3.97,3.80,3.86,67600,3.86
2014-02-17,3.89,3.98,3.78,3.78,91100,3.78
2014-02-14,3.94,3.94,3.75,3.89,36900,3.89
2014-02-13,3.97,3.97,3.77,3.80,150400,3.80
2014-02-12,3.89,3.97,3.76,3.94,413700,3.94
2014-02-11,3.79,3.79,3.62,3.73,44100,3.73
2014-02-10,3.71,3.90,3.64,3.74,152700,3.74
2014-02-07,3.69,3.69,3.51,3.60,156100,3.60
2014-02-06,3.54,3.79,3.52,3.60,98500,3.60
2014-02-05,3.71,3.74,3.51,3.58,134400,3.58
2014-02-04,3.98,3.98,3.65,3.79,50400,3.79
2014-02-03,4.03,4.08,3.89,3.96,89100,3.96
2014-01-31,4.20,4.20,3.69,3.89,492900,3.89
2014-01-30,4.50,4.50,4.08,4.20,122600,4.20
2014-01-29,4.79,4.79,4.50,4.56,40400,4.56
2014-01-28,4.84,4.84,4.75,4.78,26700,4.78
2014-01-27,4.92,4.92,4.50,4.87,115200,4.87
2014-01-24,5.00,5.00,4.90,5.00,101700,5.00
2014-01-23,5.05,5.05,4.92,5.05,137700,5.05
2014-01-22,4.88,5.05,4.88,5.05,47600,5.05
2014-01-21,5.00,5.10,4.90,5.05,45300,5.05
2014-01-20,5.00,5.20,5.00,5.05,54200,5.05
2014-01-17,5.20,5.20,5.05,5.15,22000,5.15
2014-01-16,5.30,5.40,5.00,5.20,58500,5.20
2014-01-15,5.05,5.45,5.00,5.40,57600,5.40
2014-01-14,5.00,5.05,5.00,5.05,58400,5.05
2014-01-13,4.93,5.30,4.85,5.10,54900,5.10
2014-01-10,5.10,5.30,5.00,5.05,92500,5.05
2014-01-09,5.00,5.15,5.00,5.05,102200,5.05
2014-01-08,5.00,5.10,4.95,5.05,77600,5.05
2014-01-07,5.20,5.25,4.94,5.05,38700,5.05
2014-01-06,5.15,5.15,5.15,5.15,000,5.15
2014-01-03,4.98,5.35,4.82,5.15,208600,5.15
2014-01-02,4.70,5.10,4.70,4.95,30200,4.95
2014-01-01,4.81,4.81,4.81,4.81,000,4.81
2013-12-31,4.81,4.81,4.81,4.81,000,4.81
2013-12-30,4.80,4.90,4.77,4.81,104500,4.81
2013-12-27,4.81,4.95,4.81,4.90,120500,4.90
2013-12-26,4.85,4.85,4.85,4.85,000,4.85
2013-12-25,4.85,4.85,4.85,4.85,000,4.85
2013-12-24,4.85,4.85,4.85,4.85,000,4.85
2013-12-23,4.77,4.91,4.77,4.85,72200,4.85
2013-12-20,4.76,4.87,4.76,4.87,47700,4.87
2013-12-19,4.79,4.91,4.76,4.84,14900,4.84
2013-12-18,4.65,4.95,4.60,4.81,552100,4.81
2013-12-17,4.80,4.84,4.70,4.75,27500,4.75
2013-12-16,5.00,5.00,4.79,4.84,91200,4.84
2013-12-13,4.83,5.00,4.83,5.00,64600,5.00
2013-12-12,4.96,5.00,4.80,4.88,20000,4.88
2013-12-11,5.05,5.05,4.90,5.05,33100,5.05
2013-12-10,5.10,5.10,4.90,5.05,28300,5.05
2013-12-09,5.00,5.10,4.90,5.10,62900,5.10
2013-12-06,4.89,5.05,4.68,5.05,95600,5.05
2013-12-05,4.81,4.91,4.69,4.88,15600,4.88
2013-12-04,4.68,4.90,4.68,4.81,18800,4.81
2013-12-03,4.87,4.87,4.65,4.80,17700,4.80
2013-12-02,4.98,4.99,4.80,4.91,18500,4.91
2013-11-29,4.87,4.99,4.87,4.98,52900,4.98
2013-11-28,4.65,4.92,4.65,4.87,51300,4.87
2013-11-27,4.63,4.76,4.58,4.76,31600,4.76
2013-11-26,4.73,4.80,4.69,4.75,22800,4.75
2013-11-25,4.78,4.85,4.73,4.84,27400,4.84
2013-11-22,4.89,4.93,4.80,4.90,34900,4.90
2013-11-21,4.82,4.99,4.70,4.90,160600,4.90
2013-11-20,5.05,5.05,4.55,4.82,275000,4.82
2013-11-19,5.30,5.30,5.00,5.10,51000,5.10
2013-11-18,5.35,5.50,5.25,5.45,18800,5.45
2013-11-15,5.25,5.45,5.25,5.35,19400,5.35
2013-11-14,5.20,5.50,5.05,5.40,74000,5.40
2013-11-13,4.84,5.15,4.84,5.10,44000,5.10
2013-11-12,4.74,4.99,4.70,4.90,12300,4.90
2013-11-11,4.73,4.95,4.68,4.85,45200,4.85
2013-11-08,4.83,4.83,4.73,4.73,15300,4.73
2013-11-07,4.73,4.83,4.73,4.83,600,4.83
2013-11-06,4.80,4.83,4.70,4.83,9800,4.83
2013-11-05,4.66,4.84,4.66,4.83,12100,4.83
2013-11-04,4.77,4.80,4.66,4.80,30700,4.80
2013-11-01,4.90,4.94,4.90,4.94,3000,4.94
2013-10-31,4.90,5.00,4.79,4.90,38300,4.90
2013-10-30,4.75,5.25,4.74,4.81,153200,4.81
2013-10-29,4.85,4.85,4.61,4.75,12500,4.75
2013-10-28,4.99,4.99,4.50,4.70,41500,4.70
2013-10-25,5.30,5.50,4.95,4.99,35000,4.99
2013-10-24,5.40,5.65,5.10,5.35,24700,5.35
2013-10-23,5.05,5.80,5.05,5.60,28300,5.60
