Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,2.11,2.32,2.05,2.05,141600,2.05
2014-02-25,2.33,2.40,2.10,2.16,67700,2.16
2014-02-24,2.35,2.35,2.35,2.35,20400,2.35
2014-02-21,2.41,2.42,2.36,2.40,15600,2.40
2014-02-20,2.50,2.60,2.27,2.41,128400,2.41
2014-02-19,2.10,2.12,2.10,2.10,5100,2.10
2014-02-18,2.00,2.08,2.00,2.07,21500,2.07
2014-02-17,1.95,1.98,1.95,1.95,6300,1.95
2014-02-14,1.78,2.00,1.78,1.95,132800,1.95
2014-02-13,1.69,1.77,1.69,1.77,82400,1.77
2014-02-12,1.65,1.65,1.65,1.65,5000,1.65
2014-02-11,1.65,1.65,1.65,1.65,4000,1.65
2014-02-10,1.72,1.81,1.72,1.81,25000,1.81
2014-02-07,1.64,1.84,1.64,1.72,29000,1.72
2014-02-06,1.58,1.58,1.56,1.56,14700,1.56
2014-02-05,1.65,1.65,1.65,1.65,000,1.65
2014-02-04,1.70,1.70,1.64,1.65,13800,1.65
2014-02-03,1.69,1.92,1.69,1.80,5100,1.80
2014-01-31,1.85,1.85,1.85,1.85,200,1.85
2014-01-30,1.56,1.78,1.50,1.78,171400,1.78
2014-01-29,1.69,1.69,1.61,1.61,3000,1.61
2014-01-28,1.72,1.76,1.71,1.76,33000,1.76
2014-01-27,1.65,1.90,1.56,1.81,113500,1.81
2014-01-24,1.80,1.80,1.79,1.80,43000,1.80
2014-01-23,1.75,1.75,1.57,1.74,29000,1.74
2014-01-22,1.90,1.93,1.73,1.79,30100,1.79
2014-01-21,1.93,1.93,1.93,1.93,000,1.93
2014-01-20,1.89,1.95,1.87,1.93,74100,1.93
2014-01-17,1.76,1.80,1.60,1.75,46300,1.75
2014-01-16,1.55,1.76,1.55,1.57,23800,1.57
2014-01-15,1.55,1.74,1.55,1.57,109900,1.57
2014-01-14,1.55,1.55,1.55,1.55,1000,1.55
2014-01-13,1.52,1.55,1.48,1.50,143600,1.50
2014-01-10,1.46,1.54,1.42,1.54,21600,1.54
2014-01-09,1.46,1.46,1.46,1.46,4000,1.46
2014-01-08,1.45,1.45,1.45,1.45,5300,1.45
2014-01-07,1.46,1.47,1.46,1.47,3000,1.47
2014-01-06,1.46,1.46,1.46,1.46,000,1.46
2014-01-03,1.48,1.50,1.45,1.46,36800,1.46
2014-01-02,1.36,1.40,1.35,1.36,32200,1.36
2014-01-01,1.44,1.44,1.44,1.44,000,1.44
2013-12-31,1.44,1.44,1.44,1.44,000,1.44
2013-12-30,1.45,1.45,1.40,1.44,22300,1.44
2013-12-27,1.44,1.44,1.44,1.44,4000,1.44
2013-12-26,1.44,1.44,1.44,1.44,000,1.44
2013-12-25,1.44,1.44,1.44,1.44,000,1.44
2013-12-24,1.44,1.44,1.44,1.44,000,1.44
2013-12-23,1.45,1.45,1.44,1.44,3000,1.44
2013-12-20,1.45,1.45,1.45,1.45,5800,1.45
2013-12-19,1.37,1.45,1.36,1.45,59600,1.45
2013-12-18,1.47,1.47,1.38,1.38,12600,1.38
2013-12-17,1.47,1.47,1.47,1.47,60000,1.47
2013-12-16,1.39,1.39,1.36,1.36,8800,1.36
2013-12-13,1.34,1.44,1.34,1.38,57700,1.38
2013-12-12,1.36,1.36,1.36,1.36,4500,1.36
2013-12-11,1.36,1.36,1.36,1.36,7200,1.36
2013-12-10,1.46,1.47,1.34,1.34,26100,1.34
2013-12-09,1.31,1.46,1.31,1.46,4000,1.46
2013-12-06,1.37,1.38,1.37,1.38,10100,1.38
2013-12-05,1.45,1.45,1.45,1.45,000,1.45
2013-12-04,1.45,1.45,1.45,1.45,10000,1.45
2013-12-03,1.41,1.48,1.40,1.48,42600,1.48
2013-12-02,1.27,1.45,1.27,1.45,15000,1.45
2013-11-29,1.50,1.50,1.45,1.45,32000,1.45
2013-11-28,1.45,1.48,1.45,1.48,6500,1.48
2013-11-27,1.41,1.42,1.41,1.42,8600,1.42
2013-11-26,1.50,1.50,1.39,1.46,13700,1.46
2013-11-25,1.50,1.62,1.50,1.50,36000,1.50
2013-11-22,1.50,1.50,1.45,1.50,6600,1.50
2013-11-21,1.50,1.50,1.48,1.50,45000,1.50
2013-11-20,1.42,1.50,1.42,1.45,9300,1.45
2013-11-19,1.45,1.45,1.45,1.45,5000,1.45
2013-11-18,1.36,1.49,1.36,1.42,18500,1.42
2013-11-15,1.40,1.50,1.36,1.36,49100,1.36
2013-11-14,1.50,1.50,1.30,1.30,90400,1.30
2013-11-13,1.35,1.35,1.35,1.35,8200,1.35
2013-11-12,1.38,1.50,1.38,1.38,6000,1.38
2013-11-11,1.37,1.48,1.37,1.48,11100,1.48
2013-11-08,1.48,1.48,1.48,1.48,2000,1.48
2013-11-07,1.51,1.51,1.48,1.48,6600,1.48
2013-11-06,1.38,1.51,1.38,1.51,18600,1.51
2013-11-05,1.38,1.47,1.38,1.45,41300,1.45
2013-11-04,1.32,1.50,1.32,1.37,124800,1.37
2013-11-01,1.40,1.59,1.40,1.45,70100,1.45
2013-10-31,1.35,1.45,1.35,1.37,21300,1.37
2013-10-30,1.38,1.40,1.38,1.40,20100,1.40
2013-10-29,1.30,1.40,1.30,1.40,14800,1.40
2013-10-28,1.26,1.29,1.25,1.25,18900,1.25
2013-10-25,1.27,1.30,1.27,1.30,76600,1.30
2013-10-24,1.25,1.25,1.25,1.25,13200,1.25
2013-10-23,1.23,1.37,1.23,1.37,6700,1.37
2013-10-22,1.30,1.40,1.30,1.40,12800,1.40
2013-10-21,1.42,1.42,1.35,1.35,9300,1.35
2013-10-18,1.36,1.36,1.36,1.36,29300,1.36
2013-10-17,1.39,1.40,1.35,1.35,31100,1.35
2013-10-16,1.28,1.44,1.25,1.44,46600,1.44
2013-10-15,1.30,1.34,1.26,1.28,14000,1.28
2013-10-14,1.36,1.36,1.36,1.36,5000,1.36
2013-10-11,1.36,1.36,1.26,1.36,11800,1.36
2013-10-10,1.27,1.44,1.25,1.44,25000,1.44
