Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,12.80,12.80,12.00,12.40,105600,12.40
2013-09-12,13.00,13.05,12.30,12.75,46300,12.75
2013-09-11,12.90,13.05,12.30,13.00,29200,13.00
2013-09-10,13.10,13.25,12.50,12.90,65800,12.90
2013-09-09,13.20,13.30,12.80,13.10,51300,13.10
2013-09-06,13.10,13.40,12.75,13.30,64400,13.30
2013-09-05,12.80,13.50,12.65,13.05,86500,13.05
2013-09-04,13.10,13.30,12.50,13.00,49200,13.00
2013-09-03,13.00,13.25,12.65,13.20,22000,13.20
2013-09-02,13.30,13.70,12.55,13.05,244100,13.05
2013-08-30,15.40,15.50,13.50,13.80,224800,13.80
2013-08-29,15.50,15.90,15.00,15.40,110800,15.40
2013-08-28,14.80,15.90,14.80,15.50,97500,15.50
2013-08-27,15.10,15.80,14.50,15.00,79700,15.00
2013-08-26,14.30,15.90,14.30,15.00,138500,15.00
2013-08-23,13.40,14.30,13.00,14.30,65600,14.30
2013-08-22,13.50,13.70,13.00,13.00,61500,13.00
2013-08-21,13.45,13.70,12.95,13.10,40700,13.10
2013-08-20,14.00,14.00,13.10,13.40,49600,13.40
2013-08-19,14.80,14.80,13.60,14.10,85900,14.10
2013-08-16,13.25,15.60,13.25,14.80,220300,14.80
2013-08-15,12.85,13.45,12.75,13.15,96200,13.15
2013-08-14,12.35,12.90,12.30,12.60,40300,12.60
2013-08-13,12.10,12.45,12.00,12.35,51100,12.35
2013-08-12,12.30,12.50,11.85,12.10,58600,12.10
2013-08-09,12.00,12.45,11.85,12.30,60600,12.30
2013-08-08,11.00,12.95,10.80,12.05,271800,12.05
2013-08-07,11.30,11.45,10.90,11.20,22500,11.20
2013-08-06,11.20,11.30,10.90,11.30,20100,11.30
