Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,223.50,224.00,221.20,223.40,423800,217.00
2014-02-21,219.60,222.50,219.40,221.50,258900,215.15
2014-02-20,219.00,220.00,217.10,219.50,433400,213.21
2014-02-19,215.90,220.00,215.90,219.90,389000,213.60
2014-02-18,215.00,216.60,214.40,215.90,552600,209.71
2014-02-17,211.00,214.90,210.20,214.40,619200,208.26
2014-02-14,207.90,210.50,206.20,209.50,640200,203.50
2014-02-13,206.90,207.80,204.10,207.40,755700,201.46
2014-02-12,205.60,207.00,201.00,206.60,617700,200.68
2014-02-11,205.20,205.90,204.40,205.30,313200,199.42
2014-02-10,205.00,206.00,204.10,204.90,224600,199.03
2014-02-07,204.90,205.00,202.80,204.80,421900,198.93
2014-02-06,202.90,205.00,201.90,204.90,454800,199.03
2014-02-05,197.90,201.90,197.50,201.60,330100,195.82
2014-02-04,199.50,199.50,195.60,197.30,379000,191.65
2014-02-03,202.00,202.50,198.70,199.20,184000,193.49
2014-01-31,200.40,202.80,200.10,201.90,306200,196.12
2014-01-30,200.00,201.30,198.00,200.60,170200,194.85
2014-01-29,200.00,202.70,198.00,200.00,315200,194.27
2014-01-28,196.90,199.20,196.50,198.90,248300,193.20
2014-01-27,198.10,198.30,195.30,196.30,310100,190.68
2014-01-24,202.20,202.80,198.00,198.40,281200,192.72
2014-01-23,204.40,204.90,201.50,202.20,403200,196.41
2014-01-22,205.20,205.80,203.20,204.20,152500,198.35
2014-01-21,204.40,206.00,204.10,204.70,104400,198.84
2014-01-20,204.50,205.00,204.00,204.40,121200,198.54
2014-01-17,204.70,205.00,203.30,204.50,149300,198.64
2014-01-16,206.20,206.90,203.70,204.70,221500,198.84
2014-01-15,206.70,207.50,205.80,207.00,272600,201.07
2014-01-14,203.40,206.30,202.00,206.00,279700,200.10
2014-01-13,207.00,207.50,203.60,204.00,377800,198.16
2014-01-10,205.90,207.00,205.50,206.90,256500,200.97
2014-01-09,205.00,206.00,203.00,205.50,170000,199.61
2014-01-08,204.20,206.40,204.10,204.20,340200,198.35
2014-01-07,202.00,204.60,202.00,204.10,300100,198.25
2014-01-06,201.90,201.90,201.90,201.90,000,196.12
2014-01-03,201.00,202.60,200.00,201.90,278400,196.12
2014-01-02,201.00,201.50,199.60,201.00,224100,195.24
2014-01-01,201.00,201.00,201.00,201.00,000,195.24
2013-12-31,201.00,201.00,201.00,201.00,000,195.24
2013-12-30,199.80,201.10,197.60,201.00,294000,195.24
2013-12-27,198.50,201.00,198.40,199.80,372300,194.08
2013-12-26,199.10,199.10,199.10,199.10,000,193.40
2013-12-25,199.10,199.10,199.10,199.10,000,193.40
2013-12-24,199.10,199.10,199.10,199.10,000,193.40
2013-12-23,197.00,199.90,197.00,199.10,194100,193.40
2013-12-20,195.20,197.50,194.50,197.00,281300,191.36
2013-12-19,198.00,198.00,194.30,195.20,231800,189.61
2013-12-18,197.20,197.40,196.00,196.50,176800,190.87
2013-12-17,194.50,197.20,194.40,196.00,357800,190.38
2013-12-16,193.60,195.80,193.50,194.80,192000,189.22
2013-12-13,192.00,193.90,192.00,193.40,267900,187.86
2013-12-12,195.00,195.00,190.40,191.70,379100,186.21
2013-12-11,195.00,196.50,194.00,195.00,134700,189.41
2013-12-10,197.70,198.00,194.00,194.40,255900,188.83
2013-12-09,195.50,198.00,193.10,197.70,263700,192.04
2013-12-06,196.50,196.50,192.20,195.10,256600,189.51
2013-12-05,196.20,197.20,194.70,195.30,156700,189.71
2013-12-04,195.50,197.10,194.20,196.30,286900,190.68
2013-12-03,197.00,197.30,192.70,194.20,287100,188.64
2013-12-02,198.80,199.00,196.30,196.80,191100,191.16
2013-11-29,198.90,199.20,198.20,198.50,144200,192.81
2013-11-28,198.30,199.00,196.50,198.60,269900,192.91
2013-11-27,201.00,201.40,196.60,197.60,670100,191.94
2013-11-26,201.00,202.20,200.10,200.70,203500,194.95
2013-11-25,202.00,202.50,200.20,201.90,247100,196.12
2013-11-22,200.20,201.70,199.90,201.50,98500,195.73
2013-11-21,200.20,201.80,199.20,199.80,197400,194.08
2013-11-20,202.10,202.60,200.20,200.70,167500,194.95
2013-11-19,201.30,202.90,199.70,202.00,175800,196.21
2013-11-18,199.90,201.80,199.60,201.80,145800,196.02
2013-11-15,201.50,201.50,199.10,199.40,209100,193.69
2013-11-14,200.50,201.90,199.30,201.50,228100,195.73
2013-11-13,205.00,206.20,195.60,198.50,481300,192.81
2013-11-12,204.70,205.00,201.50,202.50,198900,196.70
2013-11-11,203.00,205.30,203.00,204.00,195100,198.16
2013-11-08,202.00,203.80,199.90,202.60,305300,196.80
2013-11-07,202.90,206.50,202.10,202.70,287100,196.89
2013-11-06,195.50,203.60,195.50,203.00,474900,197.18
2013-11-05,195.50,195.90,194.30,195.30,419500,189.71
2013-11-04,194.20,195.70,194.00,195.00,258900,189.41
2013-11-01,195.40,195.90,194.00,194.00,87100,188.44
2013-10-31,195.20,196.20,194.40,195.90,155500,190.29
2013-10-30,197.00,199.30,194.50,195.10,327900,189.51
2013-10-29,196.00,196.60,194.90,196.60,580100,190.97
2013-10-28,194.50,196.20,193.70,195.30,136900,189.71
2013-10-25,195.50,195.50,192.50,194.30,365700,188.73
2013-10-24,195.50,195.90,193.50,195.20,140000,189.61
2013-10-23,195.10,195.50,194.50,195.10,196400,189.51
2013-10-22,198.00,198.00,194.90,195.60,200600,190.00
2013-10-21,197.50,198.00,196.10,198.00,153400,192.33
2013-10-18,196.20,196.90,195.10,196.10,300800,190.48
2013-10-17,196.00,197.20,194.00,195.50,266600,189.90
2013-10-16,196.50,196.50,191.90,195.40,323700,189.80
2013-10-15,198.50,201.40,196.90,197.00,442300,191.36
2013-10-14,201.00,201.00,197.70,197.80,168100,192.13
2013-10-11,201.70,203.00,201.50,202.00,410400,196.21
2013-10-10,196.70,200.00,196.60,200.00,214000,194.27
2013-10-09,195.80,196.90,195.30,196.00,163700,190.38
2013-10-08,197.50,197.50,195.50,195.60,134100,190.00
2013-10-07,197.50,198.00,195.80,197.90,221100,192.23
2013-10-04,198.30,199.40,196.50,197.60,203300,191.94
2013-10-03,197.50,199.60,197.00,198.30,222200,192.62
2013-10-02,200.10,200.40,197.00,197.00,206100,191.36
2013-10-01,197.10,200.30,196.50,200.00,158900,194.27
2013-09-30,199.90,199.90,195.50,197.80,237700,192.13
2013-09-27,201.60,202.40,200.00,200.60,314200,194.85
2013-09-26,201.00,201.80,200.00,201.40,215800,195.63
2013-09-25,204.00,204.20,200.30,200.70,255500,194.95
